direction,port_code,port_name,commodity,hs6_description,cty_code,country_name,total_value_ytd,ves_value_ytd,ves_mt_ytd
Export,2001,"New Orleans, LA",070999,"SWEET CORN, FRESH OR CHILLED",2250,PANAMA,218938,218938,133.382
Export,2001,"New Orleans, LA",220291,NON-ALCOHOLIC BEER,2250,PANAMA,107031,107031,129.039
Export,2001,"New Orleans, LA",220300,BEER MADE FROM MALT,1220,CANADA,19641,19641,9.984
Export,2001,"New Orleans, LA",250590,"SANDS OF ALL KINDS, NATURAL, WHETHER OR NOT COLORED, OTHER THAN SILICA, QUARTZ, OR METAL-BEARING SANDS OF CHAPTER 26",2150,HONDURAS,6880,6880,108.0
Export,2001,"New Orleans, LA",251310,"PUMICE, CRUDE OR IN IRREGULAR PIECES INCLUDING CRUSHED, WHETHER OR NOT HEAT-TREATED",2010,MEXICO,10000,10000,14.143
Export,2001,"New Orleans, LA",262190,"ASH AND SLAG, INCLUDING SEAWEED ASH (KELP), NOT ELSEWHERE SPECIFIED OR INCLUDED",2250,PANAMA,6321,6321,48.0
Export,2001,"New Orleans, LA",270119,SUB-BITUMINOUS COAL,2010,MEXICO,9250,9250,77.012
Export,2001,"New Orleans, LA",270900,"PETROLEUM OILS AND OILS OBTAINED FROM BITUMINOUS MINERALS, TESTING UNDER 25 DEGREES API, CRUDE",1220,CANADA,145709053,145709053,293034.894
Export,2001,"New Orleans, LA",270900,"PETROLEUM OILS AND OILS OBTAINED FROM BITUMINOUS MINERALS, TESTING UNDER 25 DEGREES API, CRUDE",4210,NETHERLANDS,23557772,23557772,52964.161
Export,2001,"New Orleans, LA",270900,"PETROLEUM OILS AND OILS OBTAINED FROM BITUMINOUS MINERALS, TESTING UNDER 25 DEGREES API, CRUDE",4280,GERMANY,42165607,42165607,87375.668
Export,2001,"New Orleans, LA",270900,"PETROLEUM OILS AND OILS OBTAINED FROM BITUMINOUS MINERALS, TESTING UNDER 25 DEGREES API, CRUDE",4550,POLAND,48882081,48882081,107309.914
Export,2001,"New Orleans, LA",270900,"PETROLEUM OILS AND OILS OBTAINED FROM BITUMINOUS MINERALS, TESTING UNDER 25 DEGREES API, CRUDE",4759,ITALY,586117885,586117885,1165639.473
Export,2001,"New Orleans, LA",270900,"PETROLEUM OILS AND OILS OBTAINED FROM BITUMINOUS MINERALS, TESTING UNDER 25 DEGREES API, CRUDE",4890,TURKEY,79253347,79253347,150656.875
Export,2001,"New Orleans, LA",270900,"PETROLEUM OILS AND OILS OBTAINED FROM BITUMINOUS MINERALS, TESTING UNDER 25 DEGREES API, CRUDE",5330,INDIA,270761531,270761531,580301.42
Export,2001,"New Orleans, LA",270900,"PETROLEUM OILS AND OILS OBTAINED FROM BITUMINOUS MINERALS, TESTING UNDER 25 DEGREES API, CRUDE",5700,CHINA,70304644,70304644,139701.305
Export,2001,"New Orleans, LA",270900,"PETROLEUM OILS AND OILS OBTAINED FROM BITUMINOUS MINERALS, TESTING UNDER 25 DEGREES API, CRUDE",5800,"KOREA, SOUTH",459361707,459361707,1002648.039
Export,2001,"New Orleans, LA",270900,"PETROLEUM OILS AND OILS OBTAINED FROM BITUMINOUS MINERALS, TESTING UNDER 25 DEGREES API, CRUDE",5830,TAIWAN,87333552,87333552,177216.963
Export,2001,"New Orleans, LA",270900,"PETROLEUM OILS AND OILS OBTAINED FROM BITUMINOUS MINERALS, TESTING UNDER 25 DEGREES API, CRUDE",5880,JAPAN,173825737,173825737,381989.266
Export,2001,"New Orleans, LA",271012,"LEADED GASOLINE, NOT CONTAINING BIODIESEL",2250,PANAMA,114700,114700,77.476
Export,2001,"New Orleans, LA",271019,"NO. 4-TYPE FUEL OILS CONTAINING NOT MORE THAN 500 PPM OF SULFUR, DISTILLATE AND RESIDUAL FUEL OILS TESTING LT 25 DEGREES API, NOT CONTAINING BIODIESEL",2010,MEXICO,639992,639992,651.152
Export,2001,"New Orleans, LA",271019,"NO. 4-TYPE FUEL OILS CONTAINING NOT MORE THAN 500 PPM OF SULFUR, DISTILLATE AND RESIDUAL FUEL OILS TESTING LT 25 DEGREES API, NOT CONTAINING BIODIESEL",2250,PANAMA,3911867,3911867,5037.29
Export,2001,"New Orleans, LA",271019,"NO. 4-TYPE FUEL OILS CONTAINING NOT MORE THAN 500 PPM OF SULFUR, DISTILLATE AND RESIDUAL FUEL OILS TESTING LT 25 DEGREES API, NOT CONTAINING BIODIESEL",3120,GUYANA,579704,579704,201.48
