direction,port_consolidated,group,commodity,cargo,cargo_detail,country,ves_mt,ves_value_usd,records
Import,Lower Miss River,Liquid Bulk,Petroleum Products,Crude Oil,Crude Oil,VENEZUELA,2196959.2,910345092,1
Import,Lower Miss River,Liquid Bulk,Petroleum Products,Dirty Products,Fuel Oil,IRAQ,2070779.4,938393780,2
Import,Lower Miss River,Dry Bulk,Ferrous Raw Materials,Pig Iron,Pig Iron,BRAZIL,1779569.4,746048437,3
Import,Lower Miss River,Dry Bulk,Ferrous Raw Materials,Iron Ore,Iron Ore,BRAZIL,1643992.8,236593892,2
Import,"MORGAN CITY, LA",Liquid Bulk,Petroleum Products,Crude Oil,Crude Oil,MEXICO,1563193.8,684786039,1
Import,Lower Miss River,Dry Bulk,Fertilizer,Urea,Urea,RUSSIA,1466251.7,557692919,3
Import,Lower Miss River,Dry Bulk,Non Ferrous Raw Materials,Bauxite,Bauxite,JAMAICA,1431101.0,35720175,1
Import,Lower Miss River,Dry Bulk,Non Ferrous Raw Materials,Alumina,Alumina,PERU,1402158.1,126427688,1
Import,Lower Miss River,Dry Bulk,Fertilizer,Fertilizer,Fertilizer,RUSSIA,1272911.7,372549590,9
Import,Lower Miss River,Dry Bulk,Ferrous Raw Materials,Pig Iron,Pig Iron,UKRAINE,966286.1,401268172,3
Import,Lower Miss River,Liquid Bulk,Petroleum Products,Dirty Products,Fuel Oil,ALGERIA,911128.3,473001743,2
Import,Lower Miss River,Dry Bulk,Construction Materials,Cement,Cement,VIETNAM,892125.5,39355027,3
Import,"LAKE CHARLES, LA",Liquid Bulk,Petroleum Products,Crude Oil,Crude Oil,MEXICO,776562.2,410093920,1
Import,Lower Miss River,Liquid Bulk,Petroleum Products,Crude Oil,Crude Oil,MEXICO,729218.5,342419768,2
Import,Lower Miss River,Dry Bulk,Ferrous Raw Materials,Iron Ore,Iron Ore,CANADA,689889.2,93000845,2
Import,Lower Miss River,Dry Bulk,Fertilizer,Urea,Urea,QATAR,675708.8,258334513,3
Import,"LAKE CHARLES, LA",Dry Bulk,Construction Materials,Cement,Cement,TURKEY,596445.6,58367490,2
Import,Lower Miss River,Liquid Bulk,Petroleum Products,Dirty Products,Fuel Oil,MEXICO,586731.0,234301300,1
Import,Lower Miss River,Dry Bulk,Fertilizer,Fertilizer,Fertilizer,SAUDI ARABIA,542287.1,332662664,4
Import,Lower Miss River,Dry Bulk,Fertilizer,Fertilizer,Fertilizer,ISRAEL,535791.7,221881720,6
Import,Lower Miss River,Liquid Bulk,Petroleum Products,Crude Oil,Crude Oil,BRAZIL,524005.5,232930599,1
Import,Lower Miss River,Liquid Bulk,Agricultural,"Vegetable Oils, Animal Fats, Sugar Fats",Palm Oil,INDONESIA,516032.7,596874726,2
Import,Lower Miss River,Liquid Bulk,Petroleum Products,Crude Oil,Crude Oil,COLOMBIA,506513.7,215160460,1
Import,Lower Miss River,Dry Bulk,Non Ferrous Raw Materials,Alumina,Alumina,BRAZIL,493457.4,231827500,3
Import,Lower Miss River,Liquid Bulk,Petroleum Products,Crude Oil,Crude Oil,CANADA,450813.2,224807341,3
Import,Lower Miss River,Dry Bulk,Minerals & Ores,Salt,Salt,EGYPT,381458.0,6116453,2
Import,Lower Miss River,Liquid Bulk,Petroleum Products,Dirty Products,Fuel Oil,COLOMBIA,369457.1,173951163,3
Import,Lower Miss River,Liquid Bulk,Petroleum Products,Crude Oil,Crude Oil,UNITED KINGDOM,367374.3,196624388,1
Import,Lower Miss River,Dry Bulk,Minerals & Ores,Magnesia,Magnesia,CHINA,356842.2,109689103,2
Import,Lower Miss River,Dry Bulk,Construction Materials,Slag & Ash,Slag & Ash,CHINA,330351.2,6797296,3
Import,Lower Miss River,Liquid Bulk,Petroleum Products,Dirty Products,Fuel Oil,UNITED ARAB EMIRATES,319604.6,259517862,1
Import,Lower Miss River,Dry Bulk,Fertilizer,Urea,Urea,NIGERIA,290288.6,109438928,1
Import,Lower Miss River,Dry Bulk,Metals,Copper,Copper,CHILE,287380.2,2824176905,1
Import,"LAKE CHARLES, LA",Liquid Bulk,Petroleum Products,Crude Oil,Crude Oil,GUYANA,282876.5,155931146,1
Import,Lower Miss River,Liquid Bulk,Petroleum Products,Dirty Products,Fuel Oil,KUWAIT,278626.5,138735690,1
Import,Lower Miss River,Dry Bulk,Fertilizer,Urea,Urea,ALGERIA,259967.8,91656254,2
Import,"LAKE CHARLES, LA",Dry Bulk,Construction Materials,Aggregates,Aggregates,BAHAMAS,251964.3,3573717,1
Import,Lower Miss River,Dry Bulk,Ferrous Raw Materials,FerroAlloys,FerroAlloys,SOUTH AFRICA,251000.6,276337829,4
Import,Lower Miss River,Dry Bulk,Fertilizer,Fertilizer,Fertilizer,MEXICO,224095.3,144443484,2
Import,Lower Miss River,Liquid Bulk,Agricultural,"Vegetable Oils, Animal Fats, Sugar Fats","Vegetable Oils, Animal Fats, Sugar Fats",BRAZIL,218059.7,238118870,2
Import,Lower Miss River,Dry Bulk,Fertilizer,Fertilizer,Fertilizer,NETHERLANDS,212807.7,68240718,7
Import,Lower Miss River,Dry Bulk,Fertilizer,Fertilizer,Fertilizer,EGYPT,198587.4,103229197,3
Import,Lower Miss River,Dry Bulk,Fertilizer,Fertilizer,Fertilizer,BELGIUM,197779.9,50996861,4
Import,Lower Miss River,Dry Bulk,Minerals & Ores,Fluorspar,Fluorspar,MEXICO,192462.7,89538693,2
Import,Lower Miss River,Dry Bulk,Minerals & Ores,Barite,Barite,INDIA,186413.3,16202570,2
Import,Lower Miss River,Dry Bulk,Steel,Finished Steel,Long Products,JAPAN,182338.9,202903033,8
Import,Lower Miss River,Liquid Bulk,Petroleum Products,Crude Oil,Crude Oil,KUWAIT,179190.9,79878549,2
Import,Lower Miss River,Dry Bulk,Fertilizer,Fertilizer,Fertilizer,LITHUANIA,178182.2,123160826,2
Import,Lower Miss River,Dry Bulk,Steel,Finished Steel,Flat Rolled,TAIWAN,177243.0,191484206,10
Import,Lower Miss River,Dry Bulk,Fertilizer,Urea,Urea,SAUDI ARABIA,176155.0,53637745,1
Import,Lower Miss River,Dry Bulk,Ferrous Raw Materials,FerroAlloys,FerroAlloys,TRINIDAD AND TOBAGO,175759.4,67529114,3
Import,Lower Miss River,Dry Bulk,Fertilizer,Fertilizer,Fertilizer,MOROCCO,173689.1,122022641,4
Import,"LAKE CHARLES, LA",Dry Bulk,Construction Materials,Aggregates,Aggregates,COSTA RICA,172923.0,2202955,1
Import,Lower Miss River,Liquid Bulk,Petroleum Products,Dirty Products,Fuel Oil,CANADA,171691.1,94589906,2
Import,Lower Miss River,Liquid Bulk,Chemicals,Misc Chemicals,Misc Chemicals,CHINA,166583.6,195117752,77
Import,Lower Miss River,Liquid Bulk,Petroleum Products,Dirty Products,Fuel Oil,UNITED KINGDOM,159770.3,93513012,3
Import,Lower Miss River,Dry Bulk,Steel,Finished Steel,Long Products,VIETNAM,158406.4,82470380,5
Import,Lower Miss River,Dry Bulk,Ferrous Raw Materials,Iron Ore,Iron Ore,OMAN,156727.0,19567930,1
Import,Lower Miss River,Dry Bulk,Steel,Finished Steel,Flat Rolled,"KOREA, SOUTH",144345.9,153175441,20
Import,Lower Miss River,Liquid Bulk,Agricultural,"Vegetable Oils, Animal Fats, Sugar Fats",Palm Oil,MALAYSIA,143166.9,193645327,2
Import,Lower Miss River,Dry Bulk,Non Ferrous Raw Materials,Tio2,Tio2,MADAGASCAR,140104.9,44533074,1
Import,Lower Miss River,Liquid Bulk,Chemicals,Misc Chemicals,Misc Chemicals,MEXICO,139706.6,147684290,5
Import,Lower Miss River,Liquid Gas,LPG,LPG,Anhyrous Ammonia,TRINIDAD AND TOBAGO,139621.8,56366790,2
Import,Lower Miss River,Dry Bulk,Agricultural,Rubber,Rubber,INDONESIA,139194.3,270660456,6
Import,Lower Miss River,Dry Bulk,Ferrous Raw Materials,Scrap,Scrap,UNITED KINGDOM,137013.6,44610742,2
Import,Lower Miss River,Dry Bulk,Non Ferrous Raw Materials,Alumina,Alumina,JAMAICA,134701.1,67971207,3
Import,"LAKE CHARLES, LA",Dry Bulk,Non Ferrous Raw Materials,Alumina,Alumina,BRAZIL,133948.6,51782575,1
Import,Lower Miss River,Dry Bulk,Minerals & Ores,Manganese,Manganese,GABON,133328.2,42992971,2
Import,Lower Miss River,Dry Bulk,Ferrous Raw Materials,FerroAlloys,FerroAlloys,INDIA,130547.8,138777364,4
Import,Lower Miss River,Liquid Bulk,Petroleum Products,Dirty Products,Fuel Oil,"KOREA, SOUTH",129687.3,269952804,1
Import,Lower Miss River,Dry Bulk,Misc Bulk,Misc Bulk,Misc Bulk,CHINA,129092.4,74205337,16
Import,Lower Miss River,Dry Bulk,Minerals & Ores,Barite,Barite,CHINA,128482.2,14899593,1
Import,Lower Miss River,Dry Bulk,Minerals & Ores,Barite,Barite,MOROCCO,127010.3,13419769,1
Import,Lower Miss River,Liquid Bulk,Chemicals,Misc Chemicals,Misc Chemicals,INDONESIA,126151.3,237428488,10
Import,Lower Miss River,Dry Bulk,Ferrous Raw Materials,FerroAlloys,FerroAlloys,MALAYSIA,124583.9,132294076,2
Import,Lower Miss River,Liquid Bulk,Fertilizer,UAN,UAN,RUSSIA,122309.9,29584439,2
Import,Lower Miss River,Liquid Bulk,Fertilizer,UAN,UAN,TRINIDAD AND TOBAGO,121658.0,30429204,1
Import,Lower Miss River,Liquid Bulk,Petroleum Products,Crude Oil,Crude Oil,ARGENTINA,119930.2,56353104,1
Import,Lower Miss River,Dry Bulk,Ferrous Raw Materials,Iron Ore,Iron Ore,CHILE,119395.0,12934238,1
Import,Lower Miss River,Liquid Bulk,Petroleum Products,Dirty Products,Light Oils,BELGIUM,118210.7,29890622,1
Import,Lower Miss River,x,x,x,x,BRAZIL,113189.1,807647377,104
Import,"LAKE CHARLES, LA",Dry Bulk,Carbon Products,Petcoke,Petcoke,GERMANY,113062.9,35981195,1
Import,Lower Miss River,Dry Bulk,Minerals & Ores,Barite,Barite,LAOS,112817.6,14677585,1
Import,"LAKE CHARLES, LA",Dry Bulk,Construction Materials,Cement,Cement,EGYPT,110361.9,8126830,1
Import,Lower Miss River,Dry Bulk,Construction Materials,Cement,Cement,TURKEY,107476.2,6161781,3
Import,Lower Miss River,Dry Bulk,Ferrous Raw Materials,Scrap,Scrap,SWEDEN,101925.8,40201316,4
Import,Lower Miss River,Dry Bulk,Construction Materials,Gypsum,Gypsum,SPAIN,101275.0,1719828,2
Import,Lower Miss River,Dry Bulk,Fertilizer,Urea,Urea,BAHRAIN,100668.6,38805020,1
Import,Lower Miss River,Dry Bulk,Minerals & Ores,Salt,Salt,CHILE,100370.0,2052329,1
Import,Lower Miss River,Dry Bulk,Minerals & Ores,Manganese,Manganese,SOUTH AFRICA,99812.1,22657631,2
Import,Lower Miss River,Liquid Bulk,Petroleum Products,Dirty Products,Fuel Oil,BRAZIL,98816.5,44264256,1
Import,Lower Miss River,Dry Bulk,Ferrous Raw Materials,Iron Ore,Iron Ore,SWEDEN,93870.0,11731454,1
Import,Lower Miss River,Liquid Bulk,Agricultural,"Vegetable Oils, Animal Fats, Sugar Fats",Tallow,CHINA,93600.3,82463491,2
Import,Lower Miss River,Liquid Bulk,Agricultural,"Vegetable Oils, Animal Fats, Sugar Fats","Vegetable Oils, Animal Fats, Sugar Fats",ARGENTINA,93040.8,121729166,5
Import,Lower Miss River,Dry Bulk,Non Ferrous Raw Materials,Alumina,Alumina,GERMANY,91928.6,33334338,4
Import,Lower Miss River,Liquid Bulk,Petroleum Products,Dirty Products,Fuel Oil,ITALY,91524.4,52830147,2
Import,Lower Miss River,Liquid Bulk,Petroleum Products,Dirty Products,Light Oils,DENMARK,89291.3,27559041,1
Import,Lower Miss River,Dry Bulk,Construction Materials,Aggregates,Aggregates,TURKEY,88928.6,2117663,9
Import,Lower Miss River,Dry Bulk,Minerals & Ores,Feldspar,Feldspar,TURKEY,86600.0,3763437,2
Import,Lower Miss River,Dry Bulk,Fertilizer,Fertilizer,Fertilizer,LEBANON,85950.0,47515241,1
Import,Lower Miss River,Dry Bulk,Metals,Copper,Copper,CONGO (KINSHASA),83835.4,789061555,1
Import,Lower Miss River,Dry Bulk,Agricultural,Grain,SBM,TURKEY,83330.7,53217051,3
Import,Lower Miss River,Dry Bulk,Construction Materials,Cement,Cement,ALGERIA,82700.0,7323503,1
Import,Lower Miss River,x,x,x,x,VIETNAM,80509.9,369297209,86
Import,Lower Miss River,Dry Bulk,Ferrous Raw Materials,Pig Iron,Pig Iron,INDIA,79285.0,32570822,1
Import,"LAKE CHARLES, LA",Dry Bulk,Forestry,"Lumber, Board","Lumber, Board",GERMANY,79134.4,40087758,6
Import,Lower Miss River,Dry Bulk,Minerals & Ores,Talc,Talc,PAKISTAN,78867.7,14178127,2
Import,Lower Miss River,Liquid Bulk,Petroleum Products,Crude Oil,Crude Oil,TRINIDAD AND TOBAGO,76456.8,35789970,1
Import,Lower Miss River,Dry Bulk,Agricultural,Rubber,Rubber,THAILAND,76272.7,163951229,10
Import,Lower Miss River,Liquid Bulk,Petroleum Products,Dirty Products,Fuel Oil,ECUADOR,75410.4,35193218,1
Import,Lower Miss River,Liquid Bulk,Chemicals,Misc Chemicals,Misc Chemicals,BELGIUM,75287.6,146609242,23
Import,Lower Miss River,Dry Bulk,Minerals & Ores,Salt,Salt,NETHERLANDS,75116.6,7059539,2
Import,Lower Miss River,Liquid Bulk,Petroleum Products,Dirty Products,Fuel Oil,NETHERLANDS,74956.9,44662384,3
Import,Lower Miss River,Liquid Bulk,Agricultural,"Vegetable Oils, Animal Fats, Sugar Fats",Tallow,AUSTRALIA,74203.1,83859997,2
Import,Lower Miss River,Liquid Bulk,Chemicals,Misc Chemicals,Misc Chemicals,GERMANY,73729.6,171890175,69
Import,Lower Miss River,Dry Bulk,Agricultural,Grain,Soybeans,UKRAINE,73151.8,43867656,3
Import,Lower Miss River,Dry Bulk,Non Ferrous Raw Materials,Bauxite,Bauxite,GUYANA,72871.8,26341993,1
Import,Lower Miss River,Dry Bulk,Ferrous Raw Materials,FerroAlloys,FerroAlloys,KAZAKHSTAN,72444.2,134224933,4
Import,Lower Miss River,Liquid Bulk,Petroleum Products,Dirty Products,Fuel Oil,SAUDI ARABIA,72255.9,40738432,2
Import,"MORGAN CITY, LA",Liquid Bulk,Petroleum Products,Crude Oil,Crude Oil,VENEZUELA,72196.8,24209840,1
Import,Lower Miss River,Dry Bulk,Fertilizer,PhosRock,PhosRock,MEXICO,70393.0,77865699,1
Import,Lower Miss River,Liquid Bulk,Chemicals,Benzene,Benzene,NETHERLANDS,69933.8,45790880,2
Import,Lower Miss River,Dry Bulk,Carbon Products,Petcoke,Petcoke,INDIA,66000.0,5297160,1
Import,Lower Miss River,Dry Bulk,Minerals & Ores,Manganese,Manganese,MEXICO,65330.9,12367295,1
Import,Lower Miss River,Liquid Bulk,Petroleum Products,Dirty Products,Fuel Oil,TURKEY,65194.8,37822406,1
Import,Lower Miss River,Dry Bulk,Fertilizer,PhosRock,PhosRock,MOROCCO,64650.6,41151762,1
Import,"LAKE CHARLES, LA",Dry Bulk,Minerals & Ores,Barite,Barite,INDIA,63500.0,3778250,1
Import,Lower Miss River,Dry Bulk,Carbon Products,Petcoke,Petcoke,BRAZIL,62916.7,20861381,1
Import,Lower Miss River,Liquid Bulk,Agricultural,"Vegetable Oils, Animal Fats, Sugar Fats","Vegetable Oils, Animal Fats, Sugar Fats",VIETNAM,62203.0,68642075,1
Import,Lower Miss River,Dry Bulk,Misc Bulk,Misc Bulk,Misc Bulk,BRAZIL,60428.4,194277506,4
Import,Lower Miss River,Dry Bulk,Misc Bulk,Misc Bulk,Misc Bulk,RUSSIA,60379.5,34445226,1
Import,Lower Miss River,Dry Bulk,Carbon Products,Coal,Anthracite,PERU,59944.2,13428735,1
Import,Lower Miss River,Dry Bulk,Ferrous Raw Materials,FerroAlloys,FerroAlloys,NORWAY,58727.7,90333703,3
Import,Lower Miss River,Dry Bulk,Fertilizer,Fertilizer,Fertilizer,SENEGAL,58268.9,40639577,2
