port_code,port_name,country,cty_code,region
01520,"Hamilton, ONT",Canada,1220,North America
01527,"Clarkson, ONT",Canada,1220,North America
01528,"Britt, ONT",Canada,1220,North America
01530,"Lakeview, ONT",Canada,1220,North America
01535,"Toronto, ONT",Canada,1220,North America
01652,"Picton, ONT",Canada,1220,North America
01653,"Bath, ONT",Canada,1220,North America
01670,"Kingston, ONT",Canada,1220,North America
01690,"Saint Catharines, ONT",Canada,1220,North America
01694,"Brockville, ONT",Canada,1220,North America
01696,"Morrisburg, ONT",Canada,1220,North America
01697,"Rocky Point, ONT",Canada,1220,North America
01700,"Port Johnstown, ONT",Canada,1220,North America
01705,"Cardinal, ONT",Canada,1220,North America
01784,"Cornwall, ONT",Canada,1220,North America
01806,"Beauharnoi, QUE",Canada,1220,North America
01807,"Tracy, QUE",Canada,1220,North America
01822,"Montreal, QUE",Canada,1220,North America
01823,"Pointe aux Trembles, ONT",Canada,1220,North America
02566,"Port Stanley, ONT",Canada,1220,North America
02641,"Cayuga, ONT",Canada,1220,North America
02643,"Rockport, ONT",Canada,1220,North America
02645,"Dunnville, ONT",Canada,1220,North America
02649,"Thorold, ONT",Canada,1220,North America
03504,"Amherstburg, ONT",Canada,1220,North America
03506,"Kingsville, ONT",Canada,1220,North America
03507,"Pelee Island, ONT",Canada,1220,North America
03508,"Leamington, ONT",Canada,1220,North America
03510,"Ojibway, ONT",Canada,1220,North America
03512,"Windsor, ONT",Canada,1220,North America
05512,"Sombra, ONT",Canada,1220,North America
05515,"Courtright, ONT",Canada,1220,North America
05517,"Corunna, ONT",Canada,1220,North America
05520,"Sarnia, ONT",Canada,1220,North America
06533,"Goderich, ONT",Canada,1220,North America
06645,"Nanticoke, ONT",Canada,1220,North America
06682,"Victoria Harbor, ONT",Canada,1220,North America
06695,"Depot Harbor, ONT",Canada,1220,North America
06697,"Parry Sound, ONT",Canada,1220,North America
06748,"Little Current, ONT",Canada,1220,North America
06766,"Meldrum Bay, ONT",Canada,1220,North America
06767,"Serpent Harbor, ONT",Canada,1220,North America
06768,"Owen Sound, ONT",Canada,1220,North America
06770,"Oakville, ONT",Canada,1220,North America
07238,"Ottawa, ONT",Canada,1220,North America
08525,"Algoma, ONT",Canada,1220,North America
08526,"Bruce Mine, ONT",Canada,1220,North America
08527,"Thessalon, ONT",Canada,1220,North America
08528,"Fisher Harbour, BC",Canada,1220,North America
08530,"Mitchell Bay, ONT",Canada,1220,North America
09000,"Bridgeburg, ONT",Canada,1220,North America
09554,"Otter Island, ONT",Canada,1220,North America
09555,"Michipicoten Harbor, ONT",Canada,1220,North America
09601,"Marathon, ONT",Canada,1220,North America
09602,"Fort Frances, ONT",Canada,1220,North America
09605,"Walkerville, ONT",Canada,1220,North America
09662,"Fort Williams, ONT",Canada,1220,North America
09663,"Port Weller, ONT",Canada,1220,North America
09665,"Bowmanville, ONT",Canada,1220,North America
09667,"Whitefish River, ONT",Canada,1220,North America
09669,"Heron Bay, ONT",Canada,1220,North America
09670,"Oshawa, ONT",Canada,1220,North America
09671,"Whitby, ONT; Port Whitby, ONT",Canada,1220,North America
10100,Frederikshaab,Greenland,1010,North America
10101,Thule,Greenland,1010,North America
10102,Faeringehavn,Greenland,1010,North America
10104,Godhavn,Greenland,1010,North America
10106,Holsteinsborg,Greenland,1010,North America
10108,Jakobshavn,Greenland,1010,North America
10110,Julianchaab; Julianehaab,Greenland,1010,North America
10115,Narssarsuaq; Narsarsuak;,Greenland,1010,North America
10125,Godthaab; Godthab,Greenland,1010,North America
12200,"Butedale, BC",Canada,1220,North America
12202,"Port Alberni, BC",Canada,1220,North America
12203,"Alert Bay, BC",Canada,1220,North America
12204,"Port Clements, BC",Canada,1220,North America
12205,"Sooke, BC",Canada,1220,North America
12206,"Texada, BC",Canada,1220,North America
12207,"Campbell River, BC",Canada,1220,North America
12208,"Howie Sound, BC",Canada,1220,North America
12209,"Ladysmith, BC",Canada,1220,North America
12210,"Masset, BC",Canada,1220,North America
12211,"Port Hardy, BC",Canada,1220,North America
12212,"Woodfibre, BC",Canada,1220,North America
12213,"Cape Beale, BC",Canada,1220,North America
12214,"Blubber Bay, BC",Canada,1220,North America
12215,"Beale Cove, BC",Canada,1220,North America
12216,"Bella Coola, BC",Canada,1220,North America
12217,"Jervis Inlet, BC",Canada,1220,North America
12218,"Ucuelet, BC",Canada,1220,North America
12219,"Sechelt, BC",Canada,1220,North America
12229,"Chemainus, BC",Canada,1220,North America
