port_code,port_name,district_code,district_name,port_consolidated,port_coast,port_region,port_type
0101,"PORTLAND, ME",01,"PORTLAND, ME",Portland ME,East,North Atlantic,seaport
0102,"BANGOR, ME",01,"PORTLAND, ME",Portland ME,East,North Atlantic,seaport
0103,"EASTPORT, ME",01,"PORTLAND, ME",Portland ME,East,North Atlantic,seaport
0104,"JACKMAN, ME",01,"PORTLAND, ME",Portland ME,East,North Atlantic,seaport
0105,"VANCEBORO, ME",01,"PORTLAND, ME",Portland ME,East,North Atlantic,seaport
0106,"HOULTON, ME",01,"PORTLAND, ME",Portland ME,East,North Atlantic,seaport
0107,"FORT FAIRFIELD, ME",01,"PORTLAND, ME",Portland ME,East,North Atlantic,airport
0108,"VAN BUREN, ME",01,"PORTLAND, ME",Portland ME,East,North Atlantic,seaport
0109,"MADAWASKA, ME",01,"PORTLAND, ME",Portland ME,East,North Atlantic,seaport
0110,"FORT KENT, ME",01,"PORTLAND, ME",Portland ME,East,North Atlantic,seaport
0111,"BATH, ME",01,"PORTLAND, ME",Portland ME,East,North Atlantic,seaport
0112,"BAR HARBOR, ME",01,"PORTLAND, ME",Portland ME,East,North Atlantic,seaport
0115,"CALAIS, ME",01,"PORTLAND, ME",Portland ME,East,North Atlantic,seaport
0118,"LIMESTONE, ME",01,"PORTLAND, ME",Portland ME,East,North Atlantic,seaport
0121,"ROCKLAND, ME",01,"PORTLAND, ME",Portland ME,East,North Atlantic,seaport
0122,"JONESPORT, ME",01,"PORTLAND, ME",Portland ME,East,North Atlantic,seaport
0127,"BRIDGEWATER, ME",01,"PORTLAND, ME",Portland ME,East,North Atlantic,seaport
0131,"PORTSMOUTH, NH",01,"PORTLAND, ME",Portland ME,East,North Atlantic,seaport
0152,"SEARSPORT, ME",01,"PORTLAND, ME",Portland ME,East,North Atlantic,seaport
0182,"MANCHESTER USER FEE AIRPORT, NH",01,"PORTLAND, ME",Portland ME,East,North Atlantic,airport
0201,"ST. ALBANS, VT",02,"ST. ALBANS, VT",Northern Border-VT,Land Ports,Land Ports,seaport
0203,"RICHFORD, VT",02,"ST. ALBANS, VT",Northern Border-VT,Land Ports,Land Ports,land_border
0206,"BEECHER FALLS, VT",02,"ST. ALBANS, VT",Northern Border-VT,Land Ports,Land Ports,land_border
