commodity,hs6_description,commodity,export_ves_mt,import_ves_mt,total
10121,"HORSES, PUREBRED BREEDING, LIVE",x,4.09,0,4.09
10129,"HORSES, LIVE, EXCEPT PUREBRED BREEDING",x,1,0,1
10130,"ASSES, LIVE",x,3.085,0,3.085
10190,"MULES AND HINNIES, LIVE",x,0.226,0,0.226
10221,"CATTLE, LIVE, PUREBRED BREEDING MALE, DAIRY",x,2.56,0,2.56
10229,"CATTLE, LIVE, OTHER THAN PUREBRED BREEDING ANIMALS",x,32.614,0,32.614
10231,"BUFFALO, LIVE, PUREBRED BREEDING",x,0,0,0
10239,"BUFFALO, LIVE, NESOI",x,10.596,0,10.596
10290,"BOVINES, LIVE, NESOI",x,0,0,0
10310,"SWINE, PUREBRED BREEDING, LIVE",x,15.315,0,15.315
10391,"SWINE, WEIGHING LESS THAN 50 KG EACH, LIVE, EXCEPT PUREBRED BREEDING",x,36.569,0,36.569
10392,"SWINE, LIVE, GT=50KG EA, EXC PUREBRED BREEDING",x,0,0,0
10410,"SHEEP, LIVE",x,2.44,0,2.44
10420,"GOATS, LIVE",x,21.2,0,21.2
10511,"CHICKENS, LIVE, WEIGHING NOT MORE THAN 185 G EACH, BREEDING STOCK, LAYER-TYPE (EGG-TYPE)",x,0,0,0
10512,"TURKEYS, LIVE, WEIGHING NOT MORE THAN 185 G EACH",x,0,0,0
10513,"DUCKS, LIVE, WEIGHING NOT MORE THAN 185 G EACH",x,0,0,0
10514,"GEESE, LIVE, WEIGHING NOT MORE THAN 185 G EACH",x,0,0,0
10515,"GUINEA FOWLS, LIVE, WEIGHING NOT MORE THAN 185 G EACH",x,0,0,0
10594,"CHICKENS, LIVE, WEIGHING 185 G OR MORE EACH",x,8.679,0,8.679
10599,"POULTRY, LIVE, WEIGHING 185 G OR MORE EACH, NESOI",x,0,0,0
10611,"PRIMATES, LIVE",x,0.977,0,0.977
10612,"WHALES, DOLPHINS AND PORPOISES; MANATEES AND DUGONGS; SEALS, SEA LIONS AND WALRUSES, LIVE",x,0,0,0
10613,"CAMELS AND OTHER CAMELIDS (CAMELIDAE), LIVE",x,0,0,0
10614,"RABBITS AND HARES, LIVE",x,0,0,0
10619,"MAMMALS, LIVE, EXCEPT PRIMATES, WHALES, DOLPHINS AND PORPOISES; MANATEES AND DUGONGS; RABBITS AND HARES; OR CAMELS, NESOI",x,0,0,0
