registry_id,fac_name,fac_street,fac_city,fac_state,fac_zip,fac_county,fac_epa_region,latitude,longitude,naics_code,facility_type
110017691648,HALLIBURTON BULK CEMENT FACILITY,1429 MINNIE ST,FAIRBANKS,AK,99701,FAIRBANKS NORTH STAR,10.0,64.850192,-147.733905,327310,Cement Manufacturing
110017691657,HALLIBURTON ENERGY / NIKISKI BULK CEMENT,52300 NIKISKI BEACH RD,KENAI,AK,99611,KENAI PENINSULA,10.0,60.737076,-151.30697,327310,Cement Manufacturing
110031019975,ANCHORAGE SAND AND GRAVEL KLATT RD FACILITY,11155 LANG ST,ANCHORAGE,AK,99515,ANCHORAGE,10.0,61.120796,-149.874372,327331,Concrete Block & Brick
110031019975,ANCHORAGE SAND AND GRAVEL KLATT RD FACILITY,11155 LANG ST,ANCHORAGE,AK,99515,ANCHORAGE,10.0,61.120796,-149.874372,327390,Precast & Other Concrete
110031019975,ANCHORAGE SAND AND GRAVEL KLATT RD FACILITY,11155 LANG ST,ANCHORAGE,AK,99515,ANCHORAGE,10.0,61.120796,-149.874372,327320,Ready-Mix Concrete
110063219636,KLONDIKE CONCRETE,17625 OLD GLENN HWY,CHUGIAK,AK,99567,ANCHORAGE MUNICIPALITY,10.0,61.37978,-149.49941,327320,Ready-Mix Concrete
110070102366,SOUTHEAST ROAD BUILDERS - WOLVERINE READY MIX,40 NORTH SAWMILL ROAD,HAINES,AK,99827,HAINES BOROUGH,10.0,59.23707,-135.47085,327320,Ready-Mix Concrete
110071731524,COLASKA INC DBA UNIVERSITY REDI MIX (TWIN RICH),1570 RICHARDSON HWY,NORTH POLE,AK,99705,FAIRBANKS NORTH STAR BOROUGH,10.0,64.797864,-147.540723,327320,Ready-Mix Concrete
110001713655,"CEMEX,INC, BIRMINGHAM TERMINAL",4700 SHUTTLESWORTH ROAD,BIRMINGHAM,AL,35207,JEFFERSON,4.0,33.570864,-86.793419,327310,Cement Manufacturing
110038636937,READY MIX USA INC.,2800 24TH STREET NORTH,BIRMINGHAM,AL,35207,JEFFERSON,4.0,33.5489,-86.82002,327310,Cement Manufacturing
110038636107,HOLNAM INC,3740 JEFFERSON AVE,BIRMINGHAM,AL,35221,JEFFERSON,4.0,33.45637,-86.89549,327310,Cement Manufacturing
110001716732,"DEPENDABLE BAGGING OF ALABAMA, INC.",708 1ST AVENUE NORTH,BIRMINGHAM,AL,35203,JEFFERSON,4.0,33.5064,-86.82273,327310,Cement Manufacturing
110000589015,ARGOS CEMENT LLC. - ROBERTA PLANT,8039 HIGHWAY 25,CALERA,AL,35040,SHELBY,4.0,33.1043,-86.7985,327310,Cement Manufacturing
110038616600,LEFARGE,802 WILSON RD NW,DECATUR,AL,35601,MORGAN,4.0,34.621448,-86.994788,327310,Cement Manufacturing
110007233421,"CEMEX, INC.",STATE DOCKS RD,DECATUR,AL,35601,MORGAN,4.0,34.636944,-87.037222,327310,Cement Manufacturing
110000741298,SYSTECH ENVIRONMENTAL CORP,ARCOLA ROAD,DEMOPOLIS,AL,36732,MARENGO,4.0,32.51256,-87.795181,327310,Cement Manufacturing
110000369645,CEMEX INC DEMOPOLIS PLANT,1617 ARCOLA ROAD,DEMOPOLIS,AL,36732,MARENGO,4.0,32.5127,-87.815631,327310,Cement Manufacturing
110038165936,HM CEMENT SOUTHEAST LLC,8401 SECOND AVENUE,LEEDS,AL,35094,JEFFERSON,4.0,33.5401,-86.5435,327310,Cement Manufacturing
110038613676,ALLIED PRODUCTS COMPANY,3740 BESSEMER AVE,MIDFIELD,AL,35221,JEFFERSON,4.0,33.457356,-86.895742,327310,Cement Manufacturing
110043730200,BIRMINGPORT BARGE FACILITY,2530 ATWOOD FERRY ROAD,MULGA,AL,35118,JEFFERSON,4.0,33.58553,-87.11147,327310,Cement Manufacturing
110001715476,CEMEX,126 TELEGRAPH RD,PRICHARD,AL,36610,MOBILE,4.0,30.73363,-88.06487,327310,Cement Manufacturing
110056970167,"NATIONAL CEMENT COMPANY OF ALABAMA, INC.",80 NATIONAL CEMENT DRIVE,RAGLAND,AL,35131,ST. CLAIR,4.0,33.733584,-86.155217,327310,Cement Manufacturing
110038636946,NATIONAL CEMENT CO,VANDERBILT ROAD,TARRANT,AL,35217,JEFFERSON,4.0,,,327310,Cement Manufacturing
110000369360,HOLCIM (US) INC.,3051 HAMILTON BLVD,THEODORE,AL,36582,MOBILE,4.0,30.5349,-88.1121,327310,Cement Manufacturing
110000747764,OMNISOURCE- BESSEMER PLANT 5,5501 VULCAN RD SE,BESSEMER,AL,35022,JEFFERSON,4.0,33.34643,-86.96828,327331,Concrete Block & Brick
110000588980,USB ALABAMA LLC,8250 HOPEWELL ROAD SE,BESSEMER,AL,35022,JEFFERSON,4.0,33.346844,-86.954677,327331,Concrete Block & Brick
110001714388,SUPEROCK BLOCK CO INC,3301 27TH AVENUE NORTH,BIRMINGHAM,AL,35207,JEFFERSON,4.0,33.549553,-86.799857,327331,Concrete Block & Brick
110070049613,BLAIR BLOCK LLC,3017 35TH STREET NORTH ST,BIRMINGHAM,AL,35207,JEFFERSON,4.0,33.55328,-86.79609,327331,Concrete Block & Brick
110040937118,"KIRKPATRICK CONCRETE,INC. PLANT 13",1121 BROOKSIDE COALING RD,BIRMINGHAM,AL,35205,JEFFERSON,4.0,33.62846,-86.86749,327331,Concrete Block & Brick
110012625748,"SHERMAN INDUSTRIES,INC.",3017 35TH STREET NORTH,BIRMINGHAM,AL,35207,JEFFERSON,4.0,33.554309,-86.793562,327331,Concrete Block & Brick
110055479129,BLAIR BLOCK LLC (CHILDERSBURG),"165 FIRST ROAD, COOSA INDUSTRIAL PARK",CHILDERSBURG,AL,35044,TALLADEGA,4.0,33.353056,-86.327778,327331,Concrete Block & Brick
110043993060,CULLMAN PLANT,9415 HWY 157,CULLMAN,AL,35057,CULLMAN,4.0,34.236623,-86.930995,327331,Concrete Block & Brick
