state,cement_manufacturing,ready_mix,block_brick,concrete_pipe,precast_other,terminals_distributors,total_facilities
FL,24,1012,165,72,230,24,1403
CA,70,731,93,63,116,58,1392
IL,11,1026,45,2,86,37,1205
TX,21,682,34,27,68,9,858
MO,22,622,34,22,13,6,795
CO,18,603,40,14,55,8,735
NC,9,554,42,19,34,7,728
KS,10,662,14,6,19,3,717
VA,6,539,52,21,53,34,664
SC,7,417,37,16,9,16,522
TN,21,371,42,6,29,14,474
IA,5,390,14,2,24,5,443
KY,1,261,28,28,13,3,391
AL,16,266,31,12,40,17,375
OH,7,201,38,3,61,33,337
NE,6,284,26,5,8,9,326
GA,8,249,21,13,17,10,321
WA,8,221,37,5,80,4,301
LA,8,226,10,7,17,2,280
NM,4,225,11,3,9,2,269
MS,4,223,8,8,12,2,261
PA,27,109,29,19,56,17,253
AR,3,188,20,3,20,2,238
MD,7,155,24,16,14,5,221
AZ,14,117,18,6,16,2,203
IN,11,134,14,2,26,5,194
MN,0,105,18,11,28,8,189
MI,7,93,22,5,26,7,184
UT,10,133,10,11,22,1,179
ID,2,159,4,2,10,1,179
NJ,7,94,42,5,13,3,166
MA,2,107,23,4,14,14,166
OK,4,137,5,4,8,10,165
NV,12,93,9,1,7,8,143
NY,14,84,21,0,4,3,132
ME,2,92,9,0,1,0,107
WI,1,45,5,2,13,3,82
SD,2,44,4,3,14,3,70
OR,2,49,5,2,8,4,70
CT,1,44,7,1,11,0,62
WY,5,39,0,0,0,0,62
ND,0,33,3,2,6,0,51
WV,2,21,6,2,1,1,42
NH,3,16,3,0,0,0,37
MT,3,24,1,1,2,0,34
PR,3,22,2,0,0,0,29
DE,0,16,1,1,0,3,21
RI,1,11,3,1,1,3,18
HI,1,3,1,0,2,1,17
VT,0,9,3,0,0,0,15
DC,1,9,0,0,1,0,13
AK,2,4,1,0,1,0,6
VI,0,3,1,0,0,0,4
GU,1,2,1,0,0,0,3
MP,1,1,0,0,0,0,2
