registry_id,facility_name_original,parent_company,fac_street,fac_city,fac_state,fac_zip,fac_county,fac_epa_region,latitude,longitude,naics_code
110042002016,MIDWEST CONCRETE MATERIALS PLANT #1,#1,904 BALDERSON BLVD,WAMEGO,KS,66547,POTTAWATOMIE,7.0,39.20719,-96.29602,327320
110027222066,MIDWEST CONCRETE - PLANT #11-MAN RM (PORTABLE),#11 MAN,OLD HWY 77 PLANT,PORTABLE,KS,00000,PORTABLE SOURCE,7.0,,,327320
110015731911,A MATERIALS GROUP INC - PLANT #13,#13,940 NW 247TH DRIVE,NEWBERRY,FL,32669,ALACHUA,4.0,29.66021,-82.6046,327320
110042001954,PLANT #20,#20,3645 E 23RD AVE,LAWRENCE,KS,66046,DOUGLAS COUNTY,7.0,38.940282,-95.18954,327320
110030899491,PLANT #3,#3,900 W 2200 N,NORTH SALT LAKE,UT,84116,DAVIS,8.0,40.78891,-111.953576,327320
110010335609,MIDWEST CONCRETE MATERIALS - PLANT  #32(PORTABLE)(AIR),#32 PORTABLE,NO STREET ADDRESS,PORTABLE,KS,00000,PORTABLE SOURCE,7.0,,,327320
110005970690,MIDWEST CONCRETE MATERIALS - PLANT #33 (AIR),#33 AIR,21700 US HIGHWAY 75,HOLTON,KS,66436,JACKSON,7.0,39.43951,-95.74791,327320
110001369215,MIDWEST CONCRETE MATERIALS - PLANT #34 (AIR),#34 AIR,1001 WEST 4TH STREET,EMPORIA,KS,66801,LYON,7.0,38.40266,-96.19164,327320
110001369215,MIDWEST CONCRETE MATERIALS - PLANT #34 (AIR),#34 AIR,1001 WEST 4TH STREET,EMPORIA,KS,66801,LYON,7.0,38.40266,-96.19164,327310
110010398088,MIDWEST CONCRETE MATERIALS - PLANT #35 (PORTABLE)(AIR),#35 PORTABLE,NO STREET ADDRESS,PORTABLE,KS,00000,PORTABLE SOURCE,7.0,,,327320
110001384635,MIDWEST CONCRETE MATERIALS - PLANT #36 (AIR),#36 AIR,745 N. LOCUST,OTTAWA,KS,66067,FRANKLIN,7.0,38.62704,-95.272,32732
110001384635,MIDWEST CONCRETE MATERIALS - PLANT #36 (AIR),#36 AIR,745 N. LOCUST,OTTAWA,KS,66067,FRANKLIN,7.0,38.62704,-95.272,327320
110030923874,PLANT #4,#4,950 WEST MAIN STREET,AMERICAN FORK,UT,84003,UTAH,8.0,40.376988,-111.8236,327320
110054108960,PLANT #4 - BUCKEYE,#4 BUCKEYE,12820 S ROOKS RD,BUCKEYE,AZ,85326,MARICOPA,9.0,33.3735,-112.60803,327320
110042001990,PLANT #5,#5,2070 W 52ND AVE,MANHATTAN,KS,66502,RILEY COUNTY,7.0,39.135114,-96.66322,327320
