Vessel Name,IMO Number,Flag,Vessel Type,Gross Tonnage,Deadweight,Length,Beam,Build Year,Operator,Status,Home Port,Current Location
MAERSK ALABAMA,8913866,USA,Container Ship,19200,25644,154.8,25.2,1998,Maersk Line Limited,Operational,Norfolk,At Sea
MAERSK CAROLINA,9321482,USA,Container Ship,51400,59954,277.8,32.2,2007,Maersk Line Limited,Operational,Charleston,Charleston
MAERSK IDAHO,9321494,USA,Container Ship,51400,59954,277.8,32.2,2007,Maersk Line Limited,Operational,Oakland,Oakland
MAERSK ILLINOIS,9321500,USA,Container Ship,51400,59954,277.8,32.2,2007,Maersk Line Limited,Operational,Long Beach,Long Beach
ALOHA EXPRESS,9224280,USA,Container Ship,50794,60240,289.6,32.3,2003,Matson Navigation,Operational,Los Angeles,Honolulu
KAUAI EXPRESS,9226882,USA,Container Ship,50794,60240,289.6,32.3,2003,Matson Navigation,Operational,Honolulu,At Sea
MAHIMAHI,9224292,USA,Container Ship,50794,60240,289.6,32.3,2003,Matson Navigation,Operational,Oakland,At Sea
MANOA,9226894,USA,Container Ship,50794,60240,289.6,32.3,2003,Matson Navigation,Operational,Los Angeles,Los Angeles
POLAR ALASKA,9175144,USA,Container Ship,24817,33528,182.9,30.2,1999,Crowley Maritime,Operational,Seattle,Anchorage
POLAR CALIFORNIA,9175156,USA,Container Ship,24817,33528,182.9,30.2,2000,Crowley Maritime,Operational,Tacoma,Seattle
OVERSEAS BOSTON,9337820,USA,Product Tanker,46627,80474,228.6,32.2,2008,OSG Ship Management,Operational,New York,New York
OVERSEAS CHICAGO,9337832,USA,Product Tanker,46627,80474,228.6,32.2,2008,OSG Ship Management,Operational,Houston,At Sea
OVERSEAS LONG BEACH,9337844,USA,Product Tanker,46627,80474,228.6,32.2,2009,OSG Ship Management,Operational,Long Beach,Long Beach
OVERSEAS NEW YORK,9337856,USA,Product Tanker,46627,80474,228.6,32.2,2009,OSG Ship Management,Operational,New York,At Sea
LIBERTY GRACE,9362483,USA,Product Tanker,29987,50015,183.0,32.2,2008,Liberty Maritime,Operational,Tampa,Gulf of Mexico
LIBERTY PRIDE,9362495,USA,Product Tanker,29987,50015,183.0,32.2,2008,Liberty Maritime,Operational,Houston,Houston
OCEAN FREEDOM,9404829,USA,Crude Oil Tanker,82193,149615,274.2,48.0,2010,American Shipping,Operational,Long Beach,At Sea
OCEAN LIBERTY,9404831,USA,Crude Oil Tanker,82193,149615,274.2,48.0,2010,American Shipping,Operational,San Francisco,At Sea
OVERSEAS MYKONOS,9387654,USA,Product Tanker,46627,80474,228.6,32.2,2009,OSG Ship Management,Operational,Philadelphia,Philadelphia
AMERICAN PHOENIX,9428756,USA,Crude Oil Tanker,80645,149033,274.2,48.0,2011,American Shipping,Operational,Houston,At Sea
CHESAPEAKE TRADER,8214123,USA,Dry Bulk Carrier,26800,43500,190.0,23.1,1984,Keystone Shipping,Operational,Baltimore,Baltimore
COLUMBIA TRADER,8214135,USA,Dry Bulk Carrier,26800,43500,190.0,23.1,1985,Keystone Shipping,Operational,Norfolk,At Sea
GREAT LAKES TRADER,8214147,USA,Dry Bulk Carrier,26800,43500,190.0,23.1,1985,Keystone Shipping,Operational,Duluth,Great Lakes
OCEAN CHAMPION,9156234,USA,Bulk Carrier,32346,56784,190.0,32.2,1998,Great Lakes Shipping,Operational,Cleveland,Great Lakes
PAUL R TREGURTHA,7729057,USA,Lake Freighter,18000,68000,308.5,32.2,1981,Interlake Steamship,Operational,Duluth,Great Lakes
EDWIN H GOTT,7390721,USA,Lake Freighter,14300,74100,304.8,32.2,1979,Great Lakes Fleet,Operational,Superior,Great Lakes
