Cert_Date,Vessel,Port,Field_Office,Grain_Countries,Grain_Grades,Grain_Tons,Inspection_Count,Vessel_Norm,Port_Norm
2023-10-11,AAL NEWCASTLE,S. TEXAS,LEAGUE CITY,ITALY,1,9400,1,AAL NEWCASTLE,S. TEXAS
2023-08-07,ABILITY,MISSISSIPPI R.,NEW ORLEANS,GERMANY,2 O/B,58598,1,ABILITY,MISSISSIPPI R.
2023-03-12,ABU AL ABYAD,MISSISSIPPI R.,NEW ORLEANS,JAPAN,3,49102,1,ABU AL ABYAD,MISSISSIPPI R.
2023-08-05,ABYSSINIAN,MISSISSIPPI R.,NEW ORLEANS,DOMINICN REP,2 O/B,5851,1,ABYSSINIAN,MISSISSIPPI R.
2023-03-07,ACTION TRADER,MISSISSIPPI R.,NEW ORLEANS,EL SALVADOR,2 O/B,35155,1,ACTION TRADER,MISSISSIPPI R.
2023-10-08,ADELINA,MISSISSIPPI R.,NEW ORLEANS,COSTA RICA,2 O/B,15360,1,ADELINA,MISSISSIPPI R.
2023-02-05,ADMIRALTY SPIRIT,MISSISSIPPI R.,NEW ORLEANS,DOMINICN REP,2 O/B,16280,1,ADMIRALTY SPIRIT,MISSISSIPPI R.
2023-08-19,ADRIATICA GRAECA,COLUMBIA R.,PACIFICNW,PHILIPPINES,2 O/B,60500,2,ADRIATICA GRAECA,COLUMBIA R.
2023-03-08,ADRIENNE,MISSISSIPPI R.,NEW ORLEANS,DOMINICN REP,2 O/B,12601,2,ADRIENNE,MISSISSIPPI R.
2023-09-24,ADVANCE,COLUMBIA R.,PACIFICNW,KOREA REP,2 O/B,12230,1,ADVANCE,COLUMBIA R.
2023-09-25,ADVANCE,COLUMBIA R.,PACIFICNW,KOREA REP,2 O/B,23782,2,ADVANCE,COLUMBIA R.
2023-10-08,AEOLIAN FORTUNE,PUGET SOUND,PACIFICNW,CHINA,2 O/B,69295,1,AEOLIAN FORTUNE,PUGET SOUND
2023-03-23,AEOLIAN GRACE,MISSISSIPPI R.,NEW ORLEANS,CHINA,2 O/B,68152,1,AEOLIAN GRACE,MISSISSIPPI R.
2023-01-06,AERIKO,MISSISSIPPI R.,NEW ORLEANS,CHINA,2 O/B,51707,1,AERIKO,MISSISSIPPI R.
2023-12-07,AESCHYLUS GRAECIA,COLUMBIA R.,PACIFICNW,CHINA,2 O/B,67929,1,AESCHYLUS GRAECIA,COLUMBIA R.
2023-07-15,AFRICA GRAECA,COLUMBIA R.,PACIFICNW,PHILIPPINES,2 O/B,62700,2,AFRICA GRAECA,COLUMBIA R.
2023-10-09,AFRICAN ARROW,MISSISSIPPI R.,NEW ORLEANS,COLOMBIA,2 O/B,11550,1,AFRICAN ARROW,MISSISSIPPI R.
2023-10-11,AFRICAN ARROW,MISSISSIPPI R.,NEW ORLEANS,COLOMBIA,2 O/B,10392,1,AFRICAN ARROW,MISSISSIPPI R.
2023-10-12,AFRICAN ARROW,MISSISSIPPI R.,NEW ORLEANS,COLOMBIA,2 O/B,17281,1,AFRICAN ARROW,MISSISSIPPI R.
2023-09-30,AFRICAN AVOCET,MISSISSIPPI R.,NEW ORLEANS,CHINA,2 O/B,57526,1,AFRICAN AVOCET,MISSISSIPPI R.
2023-09-21,AFRICAN BARI BIRD,COLUMBIA R.,PACIFICNW,PHILIPPINES,2 O/B,40931,1,AFRICAN BARI BIRD,COLUMBIA R.
2023-09-22,AFRICAN BARI BIRD,COLUMBIA R.,PACIFICNW,PHILIPPINES,2 O/B,17108,2,AFRICAN BARI BIRD,COLUMBIA R.
2023-03-28,AFRICAN BARI BIRD,N. TEXAS,LEAGUE CITY,ETHIOPIA,2 O/B,6220,1,AFRICAN BARI BIRD,N. TEXAS
