ICST_DESC,Port_Calls,Total_Revenue,Avg_NRT,Avg_GRT,Avg_DWT,Pct_Revenue,Pct_Calls
OTHER BULK CARRIER,7097,"$63,873,000",18321,32311,56551,38.1,14.3
CHEMICAL TANKER,6238,"$23,392,500",10920,23716,38915,13.9,12.5
GENERAL CARGO-MULTI DECK NEI,3890,"$17,505,000",6634,13970,22638,10.4,7.8
CRUISE,5915,"$14,787,500",73487,111160,10381,8.8,11.9
CRUDE OIL TANKER,2730,"$12,285,000",46393,77403,145423,7.3,5.5
LPG CARRIER,2474,"$9,277,500",9335,26928,31639,5.5,5.0
CONTAINER,13793,"$8,965,450",33502,63725,75165,5.3,27.7
LNG CARRIER,938,"$4,221,000",34163,112339,91186,2.5,1.9
CRUDE/PRODUCTS TANKER,832,"$3,744,000",28500,52671,93675,2.2,1.7
OTHER RO-RO CARGO,4127,"$3,095,250",13206,38405,13826,1.8,8.3
OIL PRODUCTS TANKER,403,"$1,813,500",15152,31747,52601,1.1,0.8
OTHER SPECIALIZED CARRIER NEI,392,"$1,764,000",2358,7594,20816,1.1,0.8
REEFER,299,"$1,121,250",5182,10282,10991,0.7,0.6
OTHER TANKER,265,"$993,750",3276,10476,13259,0.6,0.5
OTHER LIQUIFIED GAS CARRIER,70,"$315,000",6866,22887,20864,0.2,0.1
OTHER TANKER NEI,77,"$288,750",6114,19908,23978,0.2,0.2
OTHER BULK/OIL CARRIER,25,"$112,500",21110,54043,82394,0.1,0.1
RO-RO CONTAINER,141,"$105,750",30295,100430,55679,0.1,0.3
LIVESTOCK CARRIER,9,"$40,500",3339,7130,3904,0.0,0.0
OTHER LAKERS,11,$0,13049,22734,38289,0.0,0.0
