ICST_DESC,Agency_Fee
CHEMICAL TANKER,"$3,750 "
CONTAINER,$650 
COVERED DRY CARGO BARGE,$0 
CRUDE OIL TANKER,"$4,500 "
CRUDE/PRODUCTS TANKER,"$4,500 "
CRUISE,"$2,500 "
DECK BARGE,$0 
DREDGER,$0 
DRILLING SHIP,$0 
DRY CARGO BARGE,$0 
FISH CATCHING,$0 
FISH PROCESSING,$0 
GENERAL CARGO-MULTI DECK NEI,"$4,500 "
LIVESTOCK CARRIER,"$4,500 "
LNG CARRIER,"$4,500 "
LPG CARRIER,"$3,750 "
OIL PRODUCTS TANKER,"$4,500 "
OTHER BULK CARRIER,"$9,000 "
OTHER BULK/OIL CARRIER,"$4,500 "
OTHER DRY CARGO BARGE NEI,$0 
OTHER GENERAL CARGO,"$9,000 "
OTHER LAKERS,$0 
OTHER LIQUIFIED GAS CARRIER,"$4,500 "
OTHER NEI,$0 
OTHER OFFSHORE PRODUCTION & SUPPORT,$0 
OTHER PASSENGER,"$2,500 "
OTHER RO-RO CARGO,$750 
OTHER SPECIALIZED CARRIER NEI,"$4,500 "
OTHER TANK BARGE,"$1,500 "
OTHER TANKER,"$3,750 "
OTHER TANKER NEI,"$3,750 "
PUSH BOAT,"$1,500 "
REEFER,"$3,750 "
RESEARCH/SURVEY,"$4,000 "
RO-RO CONTAINER,$750 
RO-RO PASSENGER,$750 
TUG,"$1,500 "
TUG/SUPPLY OFFSHORE SUPPORT,$0 
VEHICLE CARRIER,$750 
