Code,Sked_D_E,Port_Consolidated,Port_Coast,Port_Region, Action ,Note,Sked_D,Action
1103,"Wilmington, Delaware",Delaware River,East,Mid-Atlantic,1,,"WILMINGTON, DE",
1307,"Dover, Delaware",Land Ports,Land  Ports,Land Ports,1,,,
1001,"New York, New York",New York ,East,North Atlantic,1,,"NEW YORK, NY",
0982,"Griffiss International User Fee Airport, Rome, New York",Land Ports,Land  Ports,Land Ports,1,,,
1002,"Albany, New York",New York ,East,North Atlantic,1,,"ALBANY, NY",
1005,"Long Island, New York",Land Ports,Land  Ports,Land Ports,1,,,
1006,"Fishkill, New York",Land Ports,Land  Ports,Land Ports,1,,,
1007,"Napanoch, New York",Land Ports,Land  Ports,Land Ports,1,,,
0101,"Portland, Maine",Boston,East,North Atlantic,1,,"PORTLAND, ME",
0102,"Bangor, Maine",Boston,East,North Atlantic,1,,"BANGOR, ME",
0103,"Eastport, Maine",Boston,East,North Atlantic,1,,"EASTPORT, ME",
0104,"Jackman, Maine",Land Ports,Land  Ports,Land Ports,1,,"JACKMAN, ME",
0105,"Vanceboro, Maine",Land Ports,Land  Ports,Land Ports,1,,"VANCEBORO, ME",
0106,"Houlton, Maine",Land Ports,Land  Ports,Land Ports,1,,"HOULTON, ME",
0107,"Fort Fairfield, Maine",Land Ports,Land  Ports,Land Ports,1,,"FORT FAIRFIELD, ME",
0108,"Van Buren, Maine",Land Ports,Land  Ports,Land Ports,1,,"VAN BUREN, ME",
0109,"Madawaska, Maine",Land Ports,Land  Ports,Land Ports,1,,"MADAWASKA, ME",
0110,"Fort Kent, Maine",Land Ports,Land  Ports,Land Ports,1,,"FORT KENT, ME",
1101,"Philadelphia, Pennsylvania",Delaware River,East,Mid-Atlantic,1,,"PHILADELPHIA, PA",
1102,"Chester, Pennsylvania",Delaware River,East,Mid-Atlantic,1,,"CHESTER, PA",
1104,"Pittsburgh, Pennsylvania",Land Ports,Land  Ports,Land Ports,1,,"PITTSBURGH, PA",
1106,"Wilkes-Barre/Scranton, Pennsylvania",Land Ports,Land  Ports,Land Ports,1,,"WILKES-BARRE/SCRANTON, PA",
1108,"Philadelphia International Airport, Philadelphia, Pennsylvania",Land Ports,Land  Ports,Land Ports,1,,"PHILA. INTL. AIRPORT, PA",
1109,"Harrisburg, Pennsylvania",Land Ports,Land  Ports,Land Ports,1,,"HARRISBURG, PA",
0111,"Bath, Maine",Boston,East,North Atlantic,1,,"BATH, ME",
1110,"Cherry Hill, New Jersey",Land Ports,Land  Ports,Land Ports,1,,,
1119,"Allentown, Pennsylvania",Land Ports,Land  Ports,Land Ports,1,,"ALLENTOWN, PA (LEHIGH VALLEY INTL AIRPT)",
0112,"Bar Harbor, Maine",Land Ports,Land  Ports,Land Ports,1,,"BAR HARBOR, ME",
0114,"Manchester, New Hampshire",Land Ports,Land  Ports,Land Ports,1,,,
0115,"Calais, Maine",Land Ports,Land  Ports,Land Ports,1,,"CALAIS, ME",
0118,"Limestone, Maine",Land Ports,Land  Ports,Land Ports,1,,"LIMESTONE, ME",
1182,"Atlantic City User Fee Airport, New Jersey",Land Ports,Land  Ports,Land Ports,1,,"ATLANTIC CITY USER FEE REGIONAL AIRPORT, NJ",
1183,"Trenton/Mercer County User Fee Airport, New Jersey",Land Ports,Land  Ports,Land Ports,1,,"TRENTON/MERCER COUNTY USER FEE AIRPORT, NJ",
1195,"UPS Courier Hub Facility, Philadelphia, Pennsylvania",Land Ports,Land  Ports,Land Ports,1,,"UPS, PHILADELPHIA, PA",
0121,"Rockland, Maine",Land Ports,Land  Ports,Land Ports,1,,"ROCKLAND, ME",
0122,"Jonesport, Maine",Land Ports,Land  Ports,Land Ports,1,,"JONESPORT, ME",
0127,"Bridgewater, Maine",Land Ports,Land  Ports,Land Ports,1,,"BRIDGEWATER, ME",
1301,"Annapolis, Maryland",Baltimore,East,Mid-Atlantic,1,,"ANNAPOLIS, MD",
1302,"Cambridge, Maryland",Land Ports,Land  Ports,Land Ports,1,,"CAMBRIDGE, MD",
1303,"Baltimore, Maryland",Baltimore,East,Mid-Atlantic,1,,"BALTIMORE, MD",
1304,"Crisfield, Maryland",Land Ports,Land  Ports,Land Ports,1,,"CRISFIELD, MD",
1305,"Baltimore-Washington International Airport, Baltimore, Maryland",Land Ports,Land  Ports,Land Ports,1,,"BALTIMORE-WASHINGTON INTL AIRPORT, MD",
0131,"Portsmouth, New Hampshire",New York ,East,North Atlantic,1,,"PORTSMOUTH, NH",
1401,"Norfolk, Virginia",Hampton Roads,East,Mid-Atlantic,1,,"NORFOLK-NEWPORT NEWS, VA",
1404,"Richmond-Petersburg, Virginia",Hampton Roads,East,Mid-Atlantic,1,,"RICHMOND-PETERSBURG, VA",
1405,"Harrisonburg, Virginia",Land Ports,Land  Ports,Land Ports,1,,,
1409,"Charleston, West Virginia",Land Ports,Land  Ports,Land Ports,1,,"CHARLESTON, WV",
1410,"Front Royal, Virginia",Land Ports,Land  Ports,Land Ports,1,,"FRONT ROYAL, VA",
1411,"Fraudulent Document Lab, McLean, Virginia",Land Ports,Land  Ports,Land Ports,1,,,
0150,"Border Patrol Sector, Hodgdon, Maine",Land Ports,Land  Ports,Land Ports,1,,,
1501,"Wilmington, North Carolina",North Carolina Ports,East,South Atlantic,1,,"WILMINGTON, NC",
1502,"Winston-Salem, North Carolina",Land Ports,Land  Ports,Land Ports,1,,"WINSTON-SALEM, NC",
1503,"Durham, North Carolina",Land Ports,Land  Ports,Land Ports,1,,"DURHAM, NC",
0151,"Houlton Border Patrol, Houlton, Maine",Land Ports,Land  Ports,Land Ports,1,,,
