Port_Code,Port_Name
1000.0,Port Not on File
1001.0,"New York, NY"
1002.0,"Albany, NY"
1003.0,"Newark, NJ"
1004.0,"Perth Amboy, NJ"
101.0,"Portland, ME"
102.0,"Bangor, ME"
103.0,"Eastport, ME"
1101.0,"Philadelphia, PA"
1102.0,"Chester, PA"
1103.0,"Wilmington, DE"
1105.0,"Paulsboro, NJ"
1107.0,"Camden, NJ"
1108.0,Port Not on File
1117,"Mussell Ridge, ME"
112.0,"Bar Harbor, ME"
1191,"Oak Bluffs, MA"
1195.0,Port Not on File
121.0,"Rockland, ME"
12301.0,Port Not on File
1238,"Calvert County, Maryland Cove Point to Holland Point, MD"
1300.0,Port Not on File
1301.0,"Annapolis, MD"
1303.0,"Baltimore, MD"
1307.0,Port Not on File
131.0,"Portsmouth, NH"
132.0,"Belfast, ME"
1324,"Lagoon Pond, Martha's Vineyard, MA"
135,"Portsmouth Harbor, NH"
1401.0,"Norfolk, VA"
1402.0,"Newport News, VA"
1403.0,Port Not on File
1404.0,"Richmond-Petersburg,VA"
1408.0,"Hopewell, VA"
146,"Salem, MA"
150,"Boston, MA Main Waterfront"
1501.0,"Wilmington, NC"
1506,"New Haven, CT"
1511.0,Morehead City-Beaufort
1512.0,Port Not on File
152,"Chelsea River, MA"
152.0,"Searsport, ME"
153,"Mystic River, MA"
1601.0,"Charleston, SC"
162,"Weymouth Fore River, MA"
163,"Town River, MA"
170,"Plymouth, MA"
1701.0,"Brunswick, GA"
1703.0,"Savannah, GA"
1705.0,Port Not on File
1801.0,"Tampa, FL"
1803.0,"Jacksonville, FL"
1805.0,"Fernandina Beach, FL"
1808.0,Port Not on File
1816.0,"Port Canaveral, FL"
1818.0,"Panama City, FL"
1819.0,"Pensacola, FL"
1821.0,"Port Manatee, FL"
1822.0,Port Not on File
1852.0,Port Not on File
1881.0,Port Not on File
1889.0,Port Not on File
189,"Fall River Harbor, MA"
1901.0,"Mobile, AL"
1902.0,"Gulfport, MS"
1903.0,"Pascagoula, MS"
1907.0,Port Not on File
1908.0,Port Not on File
191,"Providence River and Harbor, RI"
1910,"Greater Lafourche Port Commission, LA"
1911,"Port Everglades, FL"
1912,"Guaynabo, PR"
1913,"San Juan, PR"
196,"Narragansett Bay, RI"
1980,"Guayanilla, PR"
1981,"Guayama, PR"
1983,"Port of Palm Beach District, FL"
1986,"Fort Pierce, FL"
1988,"Key West, FL"
1989,"Virgin Islands Port Authority - St. Thomas, VI"
1991,"Port of Pensacola, FL"
1992,"PortMiami, FL"
1995,"Port of Pascagoula, MS"
2,"Lubec Channel, ME"
2000,Mobile Bay Ship Channel
2000.0,Port Not on File
2001.0,"Morgan City, LA"
2002.0,"New Orleans, LA"
2004.0,"Baton Rouge, LA"
2008,"Theodore Ship Channel, AL"
2010.0,"Gramercy, LA"
2012,"Houston Ship Channel, TX"
2014,"Clear Creek, TX"
2017,"Jacksonville, FL"
2017.0,"Lake Charles, LA"
2019.0,Port Not on File
2020.0,Port Not on File
2021,"Tampa Port Authority, FL"
2021.0,Port Not on File
203,"Port of Providence, RI"
2030,"Port of Iberia District, LA"
2031,"Port of Houston Authority of Harris County, TX"
2032,"Mobile, AL"
2053.0,Port Not on File
2066,"Barataria Bay Waterway, LA"
2082,GIWW Morgan City-Port Allen Landside Route (Bayou Boeuf)
2087,"Morgan City Harbor and Terminal District, LA"
2099.0,Port Not on File
2101.0,"Port Arthur, TX"
2102.0,"Sabine, TX"
2104.0,"Beaumont, TX"
2105.0,Port Not on File
2107,"St. Lucie Inlet, FL"
2111,"Key West Harbor, FL"
2139,"Fajardo, PR"
2142,"Virgin Islands Port Authority - St. Johns, VI"
