CTRY_NAME,FORPORT_NAME,FORPORT_CD
Albania,All Other Albania Ports,48100
Albania,Durazzo,48109
Albania,Durres,48109
Albania,San Giovanni di Medua,48100
Albania,Shengjin,48100
Albania,Skele e Vlores,48100
Albania,Vallona,48100
Albania,Vlore,48100
Albania,Volore,48100
Algeria,Alger,72101
Algeria,Algiers,72101
Algeria,All Other Algeria Ports,72100
Algeria,Annaba,72123
Algeria,Arzew,72105
Algeria,Arziw,72105
Algeria,Bejaia,72107
Algeria,Beni Saf,72123
Algeria,Bethioua,72105
Algeria,Bona,72123
Algeria,Bone,72123
Algeria,Cherchell,72100
Algeria,Collo,72100
Algeria,Dellys,72100
Algeria,Djidjelli,72100
Algeria,El Djazair,72101
Algeria,Ghazaouet,72142
Algeria,Ghazawet,72142
Algeria,Jijel,72100
Algeria,Mers El Kebir,72100
Algeria,Mestghanem,72100
Algeria,Mostaganem,72100
Algeria,Nemours,72142
Algeria,Oran,72179
Algeria,Skikda,72189
Algeria,Tenes,72100
Algeria,Wahran,72179
American Samoa,Pago Pago Harbor,95101
Angola,All Other Angola Ports,76299
Angola,Ambriz,76299
Angola,Benguela,76299
Angola,Cabinda,76231
Angola,Cuio,76299
Angola,Lobito,76274
Angola,Lombo,76288
Angola,Lombo Terminal,76288
Angola,Luanda,76278
Angola,Malongo Oil Terminal,76282
Angola,Namibe,76279
Angola,Novo Redondo,76299
Angola,Palanca Terminal,76283
Angola,Port Lombo,76288
Angola,Porto Alexandre,76299
Angola,Porto Amboim,76299
Angola,Soyo Oil Terminal,76281
Angola,Soyo-Quinfuquena term.,76281
Angola,Takula,76284
Angola,Takula Terminal,76284
Angola,Tombua,76299
Anguilla,Anguilla,24821
Anguilla,Sombrero Island,24823
Antigua,"Parham Harbour, Antigua",24831
Antigua,"St. John's, Antigua",24831
Argentina,Acevedo,35700
Argentina,All Other Argentina Ports,35700
Argentina,Bagual,35710
Argentina,Bahia Blanca,35701
Argentina,Buenos Aires,35705
Argentina,Caleta Cordova,35703
Argentina,Caleta Olivares,35703
Argentina,Caleta Olivia,35703
Argentina,Campana,35711
Argentina,Comodoro Rivadavia,35702
Argentina,Concepcion del Uruguay,35700
Argentina,Diamante,35700
Argentina,Ibicuy,35700
Argentina,La Plata,35737
Argentina,Madryn,35740
Argentina,Mar del Plata,35739
Argentina,Necochea,35741
Argentina,Pto. General San Martin,35779
Argentina,Puerto Borghio,35779
Argentina,Puerto Deseado,35745
Argentina,Puerto Madryn,35740
Argentina,Puerto Quequen,35700
Argentina,Puerto San Lorenzo,35779
Argentina,Punta Quilla,35700
Argentina,Rio Gallegos,35700
Argentina,Rivadavia,35702
Argentina,Rosario,35771
Argentina,San Antonio,35700
Argentina,San Lorenzo,35779
Argentina,San Nicolas,35781
Argentina,San Pedro,35785
Argentina,San Sebastian Bay,35700
Argentina,Santa Cruz,35700
Argentina,Santa Fe,35791
Argentina,Ushuaia,35700
Argentina,Villa Constitucion,35795
Argentina,Zarate,35796
Aruba,Barcadera,27703
Aruba,Orangestad,27701
Aruba,Oranjestad,27701
Aruba,Paarden Baai,27701
Aruba,Paarden Bay,27701
Aruba,San Nicolas Bay,27702
Aruba,Sint Nicolaas Baai,27702
Aruba,St. Nicolaas,27702
Australia,Abbot Point,60200
Australia,Adelaide,60201
Australia,Albany,60200
Australia,All Other Australia Ports,60200
