USACE_PORT,USACE_PORT_NAME,Census_Code,Census_Sked_D_E,Port_Consolidated,Port_Coast,Port_Region,Match_Type
2,"Lubec Channel, ME",,,Boston,East,North Atlantic,State Fallback
77,"Searsport, ME",0152,"Searsport, Maine",Boston,East,North Atlantic,City+State Exact
78,"Portsmouth, NH",0131,"Portsmouth, New Hampshire",New York ,East,North Atlantic,City+State Exact
90,"Port of Boston, MA",0401,"Boston, Massachusetts",Boston,East,North Atlantic,City+State Exact
91,"Gloucester, MA",0404,"Gloucester, Massachusetts",Boston,East,North Atlantic,City+State Exact
95,"Falmouth, MA",,,Boston,East,North Atlantic,State Fallback
96,"Bucksport Harbor, ME",,,Boston,East,North Atlantic,State Fallback
97,"Eastport Port Authority, ME",0103,"Eastport, Maine",Boston,East,North Atlantic,City+State Exact
98,"New Bedford Port Authority, MA",0405,"New Bedford, Massachusetts",Boston,East,North Atlantic,City+State Exact
99,"Portland, ME",0101,"Portland, Maine",Boston,East,North Atlantic,City+State Exact
135,"Portsmouth Harbor, NH",0131,"Portsmouth, New Hampshire",New York ,East,North Atlantic,City+State Exact
146,"Salem, MA",,,Boston,East,North Atlantic,State Fallback
150,"Boston, MA Main Waterfront",,,,,,NO MATCH
152,"Chelsea River, MA",,,Boston,East,North Atlantic,State Fallback
153,"Mystic River, MA",,,Boston,East,North Atlantic,State Fallback
162,"Weymouth Fore River, MA",,,Boston,East,North Atlantic,State Fallback
163,"Town River, MA",,,Boston,East,North Atlantic,State Fallback
170,"Plymouth, MA",0406,"Plymouth, Massachusetts",Boston,East,North Atlantic,City+State Exact
189,"Fall River Harbor, MA",0407,"Fall River, Massachusetts",Boston,East,North Atlantic,City Fuzzy+State
191,"Providence River and Harbor, RI",0502,"Providence, Rhode Island",New York ,East,North Atlantic,City+State Exact
196,"Narragansett Bay, RI",,,New York ,East,North Atlantic,State Fallback
203,"Port of Providence, RI",0502,"Providence, Rhode Island",New York ,East,North Atlantic,City+State Exact
