vendor_id,company_name,short_name,city,state,address,phone,email,website,ports_served,services,specialty,notes,data_verified,year_verified
1,American Maritime Services LLC,AMSC,New Orleans,LA,13080 Chef Menteur Hwy New Orleans LA 70129,,bcrouchet@amsnola.com,amsnola.com,"New Orleans, Mississippi River, US Gulf","Hold cleaning (grain standard), cargo hold separations (standard and Japanese style), deslopping, LADEQ wash water permits, HAZ/NONHAZ disposal, barge tank cleaning","Grain-standard hold cleaning; USDA/NCB certified; Standard and Japanese-style cargo separations","Preferred vendor at numerous grain terminals on the Mississippi River. Crews: HAZWOPER 40hr certified, Confined Space Entry and Rescue. State-of-the-art barge cleaning facility on the Industrial Canal. Also operates as AMSIIC.com",web,2026
2,North American Marine Inc.,NAMI,Houston,TX,,,, northamericanmarineinc.com,"Houston, US Gulf","Hold cleaning (hydroblast), tank cleaning, dry cargo hold preparation, USDA-NCB inspection support, sandblasting, painting, gas freeing, water/slops disposal","Hydro blast hold cleaning; 12 units at 3,000–25,000 PSI / up to 275 GPM. 'No Pass No Pay' option","20+ years experience. Rapid response — crews within hours of notification. Hourly or lump-sum basis. Six cleaning guns per unit.",web,2026
3,Global Marine Logistics,GML,New Orleans,LA,,,, gmlnola.com,"US Gulf, US East Coast, US West Coast, Mexico ports","Cargo hold preparations, maritime operations, vessel husbandry","Multi-port US hold cleaning and vessel operations","Gulf Coast + East/West coast + Mexico coverage",web,2026
4,Gulf Inland Marine Services,GIMS,New Orleans,LA,,,,gulfinland.com,"New Orleans, US Gulf","Hold cleaning arrangement and coordination, repairs, supervision, surveys, compliance, inspections, crew changes, medical, spares","Coordination and supervision of hold cleaning; compliance oversight","Agents with decades of experience. No direct cleaning crews — arranges and supervises third-party gangs.",web,2026
5,BIS Construction and Ship Services,BIS NOLA,New Orleans,LA,,,,,New Orleans,"Hold cleaning, ship cleaning, debris removal, construction","Hold and cargo cleaning; debris removal","Website previously at bisnola.com. Status unclear — verify before use.",web,2026
6,Bludworth Marine LLC,Bludworth,Galveston,TX,,,,,  "Galveston, Orange TX, Houston","Tank and vessel cleaning, hydroblasting, ship repair, barge construction, gas freeing","Full-service shipyard cleaning; Texas Gulf coast","Facilities in Galveston and Orange TX, Houston office. Experienced in bulk and liquid cargo vessel preparation.",web,2026
7,MC Marine LLC,MC Marine,Chickasaw,AL,,,,,mcmarinellc.com,"Chickasaw AL, New Orleans LA to Panama City Beach FL","Barge cleaning, full shipyard services","Barge cleaning specialist; covers eastern Gulf from NOLA to FL panhandle","Shipyard in Chickasaw, Alabama",web,2026
8,Patriot Construction Marine Division,Patriot Marine,New Iberia,LA,,,,,patriot-construction.com,"Port of Iberia, between New Orleans and Houston","Barge cleaning, marine construction, special projects","Barge cleaning; based at Port of Iberia in South Louisiana","Operated by Patriot Construction Co.",web,2026
9,Bertucci Contracting Company LLC,Bertucci,Jefferson,LA,,,,,bertucciconstruction.com,"Mississippi River, US Gulf coast","Marine construction, dredging, coastal restoration, river structures","Primarily marine construction/dredging on Mississippi River. Note: William named as hold cleaning vendor — may offer hold/vessel cleaning as a side service beyond their public website.","Operating since 1875. Leading Mississippi River contractor. Verify if they offer vessel hold cleaning directly.",web,2026
10,CLIIN Robotic Hold Cleaning (via Oldendorff),CLIIN,New Orleans,LA,,,,,"New Orleans, US Gulf","Robotic cargo hold cleaning (no chemicals), chemical-free mechanical cleaning","Robotic hold cleaning — no chemical agents used. Hub opened in Mississippi Delta area.","New technology — Oldendorff partnership. Robotic cleaning eliminates chemical wash water MARPOL compliance issues. Verify availability for spot charters.",web,2026
11,Drew Marine,Drew Marine,,,,,,,Global / US ports,"Hold cleaning chemicals supply, technical support, cargo preparation advisory","Chemical product supply for hold cleaning: alkaline cleaners, degreasers, enzymatic products","Supplier of Unitor CargoClean HD and other hold cleaning products. Not a cleaning gang — supplies chemicals and technical guidance.",web,2026
12,Wilhelmsen Ships Service,Wilhelmsen,,,,,,,Global / US ports,"Hold cleaning chemical supply, marine chemicals, technical support","Hold cleaning chemical products: Unitor CargoClean range","Major marine chemicals supplier. Key products for alkaline wash protocols. Not a cleaning gang.",web,2026
