term_bea,destination,states,tons_M,rev_M,num_origins
040,"Jacksonville, FL","FL,GA",11.79,429.6,10
127,"Lubbock, TX","TX,NM",10.47,378.1,11
141,"Salt Lake City, UT",UT,7.67,180.6,7
131,"Dallas, TX",TX,6.91,183.5,4
163,"Los Angeles, CA",CA,4.92,172.8,5
158,"San Francisco, CA",CA,4.66,125.4,5
023,"Staunton, VA","VA,WV",4.24,184.8,10
019,"Wilmington, DE","DE,MD,NJ",3.64,199.2,7
053,"Charleston, WV","WV,KY,OH",3.51,142.1,4
055,"Louisville, KY","KY,IN",3.24,131.5,8
107,"Davenport, IA","IA,IL",3.22,109.4,7
099,"La Crosse, WI","WI,MN",3.18,111.0,8
018,"Philadelphia, PA","PA,NJ,DE,MD",2.23,95.9,5
160,"Fresno, CA",CA,2.19,83.7,8
051,"Knoxville, TN",TN,2.14,94.2,6
167,"Olympia, WA",WA,1.87,66.7,6
164,"San Diego, CA",CA,1.76,47.8,4
025,"Norfolk, VA","VA,NC",1.74,71.0,6
010,"Boston, MA","MA,NH,RI",1.7,71.3,11
169,"Fairbanks, AK",AK,1.66,66.0,3
151,"Redding, CA",CA,1.52,62.9,6
152,"Sacramento, CA",CA,1.41,59.3,9
020,"Baltimore, MD",MD,1.31,61.3,5
015,"Binghamton, NY","NY,PA",1.07,42.0,3
147,"Pendleton, OR",OR,1.07,44.8,4
003,"Burlington, VT",VT,1.06,34.2,4
049,"Huntsville, AL","AL,TN",1.05,34.5,7
064,"Columbus, OH",OH,1.04,24.2,7
029,"Wilmington, NC",NC,1.02,17.9,4
030,"Fayetteville, NC",NC,0.74,11.7,2
067,"Wheeling, WV","WV,OH",0.63,15.7,5
122,"Denver, CO","CO,WY,NE",0.56,18.9,4
090,"Biloxi, MS",MS,0.51,15.4,5
