origin_bea,origin,states,tons_M,rev_M,rev_per_ton,avg_miles,num_dests
096,"Fargo, ND","ND,MN",12.35,437.4,35.41,594.0,21
160,"Fresno, CA",CA,12.19,363.3,29.8,382.0,9
134,"Houston, TX",TX,10.12,362.6,35.84,772.0,16
078,"Fayetteville, AR",AR,7.53,277.2,36.78,304.0,12
127,"Lubbock, TX","TX,NM",6.56,181.8,27.71,322.0,11
124,"Pueblo, CO",CO,6.44,227.5,35.3,448.0,22
013,"Hartford, CT",CT,4.42,179.6,40.65,349.0,14
141,"Salt Lake City, UT",UT,2.03,60.2,29.69,252.0,4
178,,,1.98,77.6,39.19,402.0,9
177,,,1.87,57.5,30.69,522.0,5
026,"Raleigh, NC",NC,1.6,73.8,46.12,268.0,8
010,"Boston, MA","MA,NH,RI",1.25,60.3,48.14,483.0,11
034,"Augusta, GA","GA,SC",1.22,53.8,44.22,507.0,10
017,"Allentown, PA","PA,NJ",1.1,39.8,36.26,165.0,7
167,"Olympia, WA",WA,1.0,38.1,38.14,446.0,9
140,"Casper, WY",WY,0.81,20.1,24.9,454.0,4
067,"Wheeling, WV","WV,OH",0.76,28.0,36.88,264.0,11
020,"Baltimore, MD",MD,0.74,34.1,46.36,502.0,14
099,"La Crosse, WI","WI,MN",0.62,18.5,29.7,413.0,8
064,"Columbus, OH",OH,0.55,22.9,41.99,337.0,14
077,"Fort Smith, AR","AR,OK",0.34,10.9,32.16,198.0,4
028,"Charlotte, NC","NC,SC",0.22,10.3,46.33,425.0,4
164,"San Diego, CA",CA,0.11,3.3,30.07,183.0,3
170,"Juneau, AK",AK,0.11,3.4,29.99,347.0,5
118,"Omaha, NE","NE,IA",0.1,3.9,37.27,363.0,5
