contract_id,railroad,issued_date,effective_date,issuer_name,carriers,commodities,shippers,origins,destinations,ports,effective_date_duration,amendment_effective_date,expiration_date,rail_car_data,rates_and_charges,volume,special_features,special_notice,num_origins,num_destinations,num_commodities,source_file,filing_received_date
STB-UPOTMQ 150381-F,UNION PACIFIC RAILROAD COMPANY,"November 22, 2021","January 1, 2021",Rosa M. La Puente-Flowers,UNION PACIFIC RAILROAD COMPANY,"Wheat, Not Organically Grown Free Of Fertilizer And Or Pesticide Applications; Wheat Exc.Buckwheat See 01139",AGREX INC,"MILWAUKEE, WI; ROBERTS, ID; STRATFORD, TX; ASHTON, ID; AMERICAN FALLS, ID","NOGALES, AZ",Not Applicable,"September 18, 2013","January 1, 2021","December 31, 2021",No cars dedicated to service under this Contract. Cars are provided on a common carrier basis only.,Not applicable,Single Car Shipments,Special Switching Provision,Not applicable,5,1,2,ACS-UP-4Q-11-29-2021.pdf,
STB-UPOTMQ 161123-M,UNION PACIFIC RAILROAD COMPANY,"November 22, 2021","January 1, 2021",Rosa M. La Puente-Flowers,UNION PACIFIC RAILROAD COMPANY,Sorghum Grains; Corn Exc.Popcorn See 01152; Soybeans (Soya Beans),LOUIS DREYFUS COMPANY HOLDING INC,"CANTON, KS; STERLING, IL; HARVARD, IL; SUPERIOR, NE; CHAPPELL, NE; CEDAR RAPIDS, IA","WA - SEATTLE AGS (See Exhibit Definition); ST LOUIS, MO; EDINBURG, TX",Not Applicable,"January 1, 2017","January 1, 2021","December 31, 2021",No cars dedicated to service under this Contract. Cars are provided on a common carrier basis only.,Not applicable,Minimum shipment of 107 carloads.; Multiple Car Shipments; Single Car Shipments DELETION,Special Switching Provision,Not applicable,6,3,3,ACS-UP-4Q-11-29-2021.pdf,
STB-UPOTMQ 162549-M,UNION PACIFIC RAILROAD COMPANY,"November 22, 2021","January 1, 2021",Rosa M. La Puente-Flowers,UNION PACIFIC RAILROAD COMPANY,Sorghum Grains; Corn Exc.Popcorn See 01152; Wheat Exc.Buckwheat See 01139,CHS HEADQUARTERS,"LUVERNE, MN; BRULE, NE; WORTHINGTON, MN; SUPERIOR, WI; SHARON SPRINGS, KS; BINGHAM LAKE, MN; GOWRIE, IA; EMMETSBURG, IA; DOWNS, KS; OGDEN, UT","FAIRMONT, MN; LOS ANGELES, CA; MANKATO, MN; AMES, IA; CHICAGO, IL; KALAMA, WA; OR - PORTLAND AGS (See Exhibit Definition); SUPERIOR, WI; ERDA, UT",Not Applicable,"November 16, 2017","January 1, 2021","December 31, 2021",No cars dedicated to service under this Contract. Cars are provided on a common carrier basis only.,Not applicable,Minimum shipment of 107 carloads.; Multiple Car Shipments; Single Car Shipments DELETION,Special Switching Provision,Not applicable,10,9,3,ACS-UP-4Q-11-29-2021.pdf,
STB-UPOTMQ 163686-T,UNION PACIFIC RAILROAD COMPANY,"November 24, 2021","January 1, 2021",Rosa M. La Puente-Flowers,UNION PACIFIC RAILROAD COMPANY,"Soybeans (Soya Beans); Wheat Bran, Middlings Or Shorts",ARCHER DANIELS MIDLAND COMPANY,"COLUMBUS, NE; AMARILLO, TX; ALBERT CITY, IA; MEMPHIS, TN; KANSAS CITY, MO; CEDAR RAPIDS, IA; ALFALFA, TX; YSLETA, TX; EVE, MO; PRATT, KS; DALHART, TX; CLINTON, IA; SILVER BOW, MT; CLEARFIELD, UT; ARKANSAS CITY, KS","DENVER, CO; LA - SOUTH AGS (See Exhibit Definition); DES MOINES, IA; BRANSON, MO; ARLINGTON, TX; PASADENA, TX; MOCKINGBIRD, TX; PRATT, KS; LEVELLAND, TX; LAREDO, TX; CAMANCHE, IA; TAGUS, CA",Not Applicable,"January 1, 2018","January 1, 2021","December 31, 2021",No cars dedicated to service under this Contract. Cars are provided on a common carrier basis only.,Not applicable,Minimum shipment of 98 carloads. ADDITION; Multiple Car Shipments ADDITION,Special Switching Provision,Not applicable,15,12,2,ACS-UP-4Q-11-29-2021.pdf,
STB-UPOTMQ 163892-CU,UNION PACIFIC RAILROAD COMPANY,"November 23, 2021","January 1, 2021",Rosa M. La Puente-Flowers,KCSM; UNION PACIFIC RAILROAD COMPANY,"Wheat Exc.Buckwheat See 01139; Sorghum Grains; Corn Exc.Popcorn See 01152; Soybeans (Soya Beans); Soybeans, Dried, Not Organically Grown Free Of Fertiziler And Or Pesticide Applications; Corn Meal Or Flour Exc.Animal Or Poultry Feed See 20421- 20423; Wheat Bran, Middlings Or Shorts; Oats",CARGILL; CARGILL INC,"STERLING, IL; HOUSTON, TX; TOPEKA, KS; CHICAGO, IL; BLOOMINGTON, IL; WARNER, UT; BYERS, CO; CHEYENNE WELLS, CO; WAKEENEY, KS; HUTCHINSON, KS; BRIDGEPORT, IA; BUFFALO LAKE, MN; OGALLAH, KS; BLAIR, NE; ST LOUIS, MO; PEORIA, IL; HAVILAND, KS; CEDAR RAPIDS, IA; TARA, IA; FRANKFORT, KS; MOUNT PLEASANT, TX; TEMPLE, TX; SAVAGE, MN; BROWNTON, MN; ATCHISON, KS; GIBBON, NE; ALBION, NE; ORD, NE; CARLETON, NE; SALINA, KS","SALINAS VICTORIA, NL; NOLTE, TX; MFC SPUR, LA; HOUSTON, TX; ST PAUL, MN; WESTWEGO, LA; TIMPIE, UT; KALAMA, WA; EAST ST LOUIS, IL; TARA, IA; MONTERREY, NL; DOULOM, NE; CAMANCHE, IA; TACOMA, WA; BRIDGEPORT, IA; MEMPHIS, TN; CEDAR RAPIDS, IA; HEARNE, TX; KANSAS CITY, MO; FT WORTH, TX; EDDYVILLE, IA; WARNER, UT; EL TULE, AG",Not Applicable,"January 1, 2019","January 1, 2021","December 31, 2021",No cars dedicated to service under this Contract. Cars are provided on a common carrier basis only.,Not applicable,Minimum shipment of 107 carloads. ADDITION; Multiple Car Shipments ADDITION; Single Car Shipments DELETION,Special Switching Provision,Not applicable,30,23,8,ACS-UP-4Q-11-29-2021.pdf,
STB-UPOTMQ 165245-AL,UNION PACIFIC RAILROAD COMPANY,"November 23, 2021","January 1, 2021",Rosa M. La Puente-Flowers,AT & L RAILROAD CO INC; CANADIAN NATIONAL RAILWAYS; FERROCARRIL MEXICANO S A DE C V; KCSM; UNION PACIFIC RAILROAD COMPANY,Wheat Exc.Buckwheat See 01139; Soybeans (Soya Beans),THE ANDERSONS INC,"STRATTON, CO; ID - IDAHO FALLS AGS (See Exhibit Definition); ID - POCATELLO AGS (See Exhibit Definition); AMERICAN FALLS, ID; IDAHO FALLS, ID; CHICAGO, IL; COLLYER, KS; SMITH CENTER, KS; WICHITA, KS; CORPUS CHRISTI, TX; MILWAUKEE, WI; ADRIAN, MO; BUHL, ID; OSBORNE, KS; TX - EL PASO AGS (See Exhibit Definition); DOWNS, KS; KANORADO, KS; WAKEENEY, KS; GRINNELL, KS; GORHAM, KS; GRAINFIELD, KS; HAVILAND, KS; MINGO, KS; OAKLEY, KS; PRATT, KS; QUINTER, KS; SALINA, KS; VICTORIA, KS; MEDFORD, OK; LEBANON, KS; WATONGA, OK","CHICAGO, IL; WA - WALLULA AGS (See Exhibit Definition); TX - HOUSTON AGS (See Exhibit Definition); OR - PORTLAND AGS (See Exhibit Definition); BRAWLEY, CA; KANSAS CITY, MO; LAREDO, TX; NEW BRAUNFELS, TX; SAN ANTONIO, TX; SHERMAN, TX; EAGLE PASS, TX; NOGALES, AZ; GALENA PARK, TX; MIDLAND, TX; TOLLESON, AZ; MORALES, NL; VILLAGRAN, GJ",Not Applicable,"January 1, 2019","January 1, 2021","December 31, 2021",No cars dedicated to service under this Contract. Cars are provided on a common carrier basis only.,Not applicable,Minimum shipment of 107 carloads. ADDITION; Multiple Car Shipments ADDITION,Special Switching Provision,Not applicable,31,17,2,ACS-UP-4Q-11-29-2021.pdf,
STB-UPOTMQ 166753-W,UNION PACIFIC RAILROAD COMPANY,"November 23, 2021","January 1, 2021",Rosa M. La Puente-Flowers,UNION PACIFIC RAILROAD COMPANY,"Nut Or Vegetable Oil Seed Cake Or Meal Or Other By-Products,Nec Exc.Corn See 20469,Cottonseed See 20914,Soybean See 20923 Or Fatty Acids See 28994",ECO SHELL INC; SECURE ENERGY SERVICES INC,"CORNING, CA","MIDLAND, TX; SEAGRAVES, TX; ALEXANDRIA, LA; CYRIL, OK; TEXARKANA, AR",Not Applicable,"October 1, 2017","October 1, 2021","September 30, 2022",No cars dedicated to service under this Contract. Cars are provided on a common carrier basis only.,Not applicable,Single Car Shipments,Special Switching Provision,Not applicable,1,5,1,ACS-UP-4Q-11-29-2021.pdf,
STB-UPUPCQ 100757-BW,UNION PACIFIC RAILROAD COMPANY,"November 23, 2021","June 1, 2021",Rosa M. La Puente-Flowers,"Sacramento Valley Railroad, LLC, a California limited liability company. (SAV); UNION PACIFIC RAILROAD COMPANY","Wheat Flour Clears, Not A Cereal Preparation, Not For Human Consumption; Wheat Flour Exc.Blended Or Prepared See 20451- 20452; Wheat Middlings Or Shorts,Non- Pelletized; Wheat Flour",ARDENT MILLS HDQRS,"EAST ST LOUIS, IL; MEMPHIS, TN; BAIN, WI; OMAHA, NE; COMMERCE CITY, CO; DENVER, CO; CHESTER, IL; WICHITA, KS; MANKATO, MN; ST PAUL, MN; OGDEN, UT; SAGINAW, TX; FT WORTH, TX; KENOSHA, WI; VERNON, CA; COUNCIL BLUFFS, IA","BONNER SPRINGS, KS; LINCOLN, NE; SHREVEPORT, LA; KENOSHA, WI; ALTON, IL; OGDEN, UT; GRANVILLE, WI; MEMPHIS, TN; COLTON, CA; CHICAGO, IL; KANSAS CITY, MO; COUNCIL BLUFFS, IA; SPRINGVILLE, UT; IRONTON, UT; MCCLELLAN PARK, CA; MINNEAPOLIS, MN; ST LOUIS, MO; VERNON, CA; COMMERCE CITY, CO; DANVILLE, IL; ROANOKE, TX; BATESVILLE, AR; ST LOUIS GROUP (See Exhibit Definition); OMAHA, NE; WATSEKA, IL; CALEXICO, CA; VANCOUVER, WA",Not Applicable,"February 8, 2016","June 1, 2021","May 31, 2022",Carrier Equipment not involved.,As published in Tariff(s) 4052; Subject to increases.,Single Car Shipments,Special Switching Provision,Not applicable,16,27,4,ACS-UP-4Q-11-29-2021.pdf,
STB-UPUPCQ 101592-22,UNION PACIFIC RAILROAD COMPANY,"November 23, 2021","June 1, 2021",Rosa M. La Puente-Flowers,UNION PACIFIC RAILROAD COMPANY,"Grits, Nec; Corn Meal; Corn Flour; Wheat, Cracked Or Ground, Steamed And Dried (Bulgur Or Bulghur), For Human Consumption, Requiring Further Cooking; Corn Meal Or Flour Exc.Animal Or Poultry Feed See 20421- 20423",BUNGE LIMITED; BUNGE NORTH AMERICA INC,"ATCHISON, KS; CRETE, NE; EAST ST LOUIS, IL; SEMO PORT, MO; CHICAGO, IL; DANVILLE, IL; SCOTT CITY, MO; KANSAS CITY, MO","CHICAGO, IL; MEMPHIS, TN; HOUSTON, TX; LAREDO, TX; SAN ANTONIO, TX; KANSAS CITY, MO; OMAHA, NE; MOUNT PLEASANT, TX; EAST ST LOUIS, IL; ST LOUIS, MO; PLASTER CITY, CA; CEDAR RAPIDS, IA; SPARKS, NV; MODESTO, CA",Not Applicable,"July 1, 2017","June 1, 2021","May 31, 2022",No cars dedicated to service under this Contract. Cars are provided on a common carrier basis only.,As published in Tariff(s) 4050,Single Car Shipments,Special Switching Provision,Not applicable,8,14,5,ACS-UP-4Q-11-29-2021.pdf,
STB-UPUPCQ 101847-14,UNION PACIFIC RAILROAD COMPANY,"November 23, 2021","June 1, 2021",Rosa M. La Puente-Flowers,UNION PACIFIC RAILROAD COMPANY,"Wheat Exc.Buckwheat See 01139; Wheat Flour Exc.Blended Or Prepared See 20451- 20452; Wheat Bran And 2 1/2 Per- Cent Other Ingredients, Other Than Pelletized; Wheat, Whole, Partially Prepared Requiring Further Processing; Flour Or Other Grain Mill Products,Nec",RSI LOGISTICS INC,"CHICAGO, IL","OMAHA, NE; NORTHFIELD, MN",Not Applicable,"January 20, 2018","June 1, 2021","May 31, 2022",Carrier Equipment not involved.,Subject to increases.,Single Car Shipments,Special Switching Provision,Not applicable,1,2,5,ACS-UP-4Q-11-29-2021.pdf,
