facility_id,facility_name,address1,city,state,state_name,zip,county,latitude,longitude,year,parent_company,primary_naics
1006659,ARGOS CEMENT LLC. - ROBERTA PLANT,8039 HIGHWAY 25,CALERA,AL,ALABAMA,35040,SHELBY COUNTY,33.1043,-86.7985,2023,ARGOS USA LLC (100%),327310
1008033,"CEMEX SOUTHEAST LLC, DEMOPOLIS PLANT",1617 ARCOLA ROAD,DEMOPOLIS,AL,ALABAMA,36732,MARENGO COUNTY,32.5127,-87.815631,2023,CEMEX INC (100%),327310
1006234,HM Cement Southeast LLC,8401 SECOND AVENUE,LEEDS,AL,ALABAMA,35094,JEFFERSON COUNTY,33.5401,-86.5435,2023,HEIDELBERG MATERIALS US CEMENT LLC (100%),327310
1007985,NATIONAL CEMENT COMPANY INC.,80 NATIONAL CEMENT DR.,RAGLAND,AL,ALABAMA,35131,ST. CLAIR COUNTY,33.733584,-86.155217,2023,NATIONAL CEMENT CO INC (100%),327310
1004810,Holcim (US) Inc,3051 Hamilton Boulevard,Theodore,AL,ALABAMA,36582,MOBILE COUNTY,30.5349,-88.1121,2023,HOLCIM PARTICIPATIONS (US) INC (100%),327310
1007606,ASH GROVE CEMENT-FOREMAN,4343 HWY 108,Foreman,AR,ARKANSAS,71836,LITTLE RIVER COUNTY,33.6936,-94.4166,2023,ASH GROVE CEMENT CO (100%),327310
1003643,PHOENIX CEMENT COMPANY\S CLARKDALE FACILITY,601 NORTH CEMENT PLANT ROAD,CLARKDALE,AZ,ARIZONA,86324,YAVAPAI COUNTY,34.779716,-112.083801,2023,PHOENIX CEMENT CO (100%),327310
1001689,Drake Cement,5001 E. Drake Rd.,Paulden,AZ,ARIZONA,86334,YAVAPAI COUNTY,34.98533,-112.37044,2023,DRAKE CEMENT LLC (100%),327310
1006669,CalPortland Company Rillito Plant,11115 North Casa Grande Highway,Rillito,AZ,ARIZONA,85654,PIMA COUNTY,32.4108,-111.15055,2023,TAIHEIYO CEMENT USA INC (100%),327310
1002308,CEMEX Construction Materials Pacific LLC,25220 Black Mountain Quarry Road,Apple Valley,CA,CALIFORNIA,92308,SAN BERNARDINO COUNTY,34.39654,-117.150005,2023,CEMEX INC (100%),327310
1002431,HANSON PERMANENTE CEMENT,24001 STEVENS CREEK BLVD.,CUPERTINO,CA,CALIFORNIA,95014,SANTA CLARA COUNTY,37.3181,-122.091,2022,HANSON LEHIGH INC (100%),327310
1006401,CalPortland Company Colton Plant,695 S Rancho Avenue,Colton,CA,CALIFORNIA,92324,SAN BERNARDINO COUNTY,34.0595,-117.3432,2012,TAIHEIYO CEMENT USA INC (100%),327310
1006642,NATIONAL CEMENT CO OF CALIFORNIA INC,,Lebec,CA,CALIFORNIA,93243,KERN COUNTY,34.819863,-118.748732,2023,NATIONAL CEMENT CO INC (100%),327310
1005662,Mitsubishi Cement Corp Cushenbury Cement Plant,5808 State Highway 18,Lucerne Valley,CA,CALIFORNIA,92356,SAN BERNARDINO COUNTY,34.437557,-116.891034,2023,MITSUBISHI CEMENT CORP (100%),327310
1006842,CalPortland Company Mojave Plant,9350 Oak Creek Road,Mojave,CA,CALIFORNIA,93501,KERN COUNTY,35.03837,-118.2977,2023,TAIHEIYO CEMENT USA INC (100%),327310
1007927,CalPortland Company Oro Grande Plant,19409 National Trails Highway,Oro Grande,CA,CALIFORNIA,92368,SAN BERNARDINO COUNTY,34.6045,-117.3382,2023,TAIHEIYO CEMENT USA INC (100%),327310
1004612,CalPortland Redding Cement Plant,15390 WONDERLAND BOULEVARD,REDDING,CA,CALIFORNIA,96003,SHASTA COUNTY,40.7369,-122.3223,2023,TAIHEIYO CEMENT USA INC (100%),327310
1002566,Tehachapi Cement Plant,13573 TEHACHAPI BLVD.,TEHACHAPI,CA,CALIFORNIA,93561,KERN COUNTY,35.12279,-118.369304,2023,SKANON INVESTMENTS INC (100%),327310
1003008,Holcim (US) Inc. - Portland Plant,3500 Highway 120,Florence,CO,COLORADO,81226,FREMONT COUNTY,38.328631,-105.008989,2023,HOLCIM PARTICIPATIONS (US) INC (100%),327310
1007877,CEMEX CONSTRUCTION MATERIALS SOUTH LLC,5134 UTE HIGHWAY,LYONS,CO,COLORADO,80540,BOULDER COUNTY,40.202236,-105.236697,2023,CEMEX INC (100%),327310
1003067,GCC RIO GRANDE INC,3372 LIME ROAD,PUEBLO,CO,COLORADO,81004,PUEBLO COUNTY,38.129058,-104.606741,2023,GCC OF AMERICA INC (100%),327310
1000533,SUWANNEE AMERICAN CEMENT,5117 US HIGHWAY 27,BRANFORD,FL,FLORIDA,32008,SUWANNEE COUNTY,29.9616,-82.8497,2023,CRH AMERICAS INC (100%),327310
1003303,Brooksville South Cement Plant,10311 CEMENT PLANT ROAD,BROOKSVILLE,FL,FLORIDA,34601,HERNANDO COUNTY,28.582265,-82.430829,2023,CEMEX INC (100%),327310
1003872,Brooksville North Cement Plant,16301 Ponce De Leon Blvd,BROOKSVILLE,FL,FLORIDA,34614,HERNANDO COUNTY,28.661125,-82.462185,2016,CEMEX INC (100%),327310
1007052,TARMAC PENNSUCO COMPLEX,11000 NORTHWEST 121 WAY,MEDLEY,FL,FLORIDA,33178,MIAMI-DADE COUNTY,25.8739,-80.3756,2023,TITAN AMERICA LLC (100%),327310
1004758,CEMEX MIAMI,1200 NW 137TH AVE,MIAMI,FL,FLORIDA,33182,MIAMI-DADE COUNTY,25.786463,-80.421113,2023,CEMEX INC (100%),327310
1005458,Argos Cement LLC,4000 NORTHWEST COUNTY ROAD 235,NEWBERRY,FL,FLORIDA,32669,ALACHUA COUNTY,29.690671,-82.582134,2023,ARGOS USA LLC (100%),327310
