Railroad_Name,Reporting_Marks,State,Route_Miles,Class_I_BNSF,Class_I_UP,Class_I_CSX,Class_I_NS,Class_I_CN,Class_I_CPKC,Primary_Commodities,Transload,Unit_Train,Special_Capabilities,Website
Alabama Southern Railroad,ABS,"AL, MS",85,N,N,N,"Birmingham, AL","Columbus, MS",N,"Energy products, Steel, Paper, Roofing materials, Grain, Chemicals",N,N,KCS lease operations,https://www.watco.com/service/rail/alabama-southern-railroad-abs/
Alabama Warrior Railway,ABWR,AL,15,N,N,"Birmingham, AL","Birmingham, AL",N,N,"Coal, Aggregates, Pipe, Scrap steel, Cement",N,N,Walter Industries plant operations,https://www.watco.com/service/rail/alabama-warrior-railway-abwr/
Agawa Canyon Railroad,ACR,ON,244.5,N,N,N,N,"Oba, ON",N,"Forest products, Paper, Mining products, Tourism",N,N,Passenger excursion train operations,https://www.watco.com/service/agawa-canyon-railroad-acr/
Ann Arbor Railroad,AA,"MI, OH",83,N,N,"Toledo, OH","Toledo, OH","Connection",N,"Automotive parts, Chemicals, Plastics, Grain",N,N,State-owned track operations,https://www.watco.com/service/rail/ann-arbor-railroad-aa/
Arkansas Southern Railroad,ARS,AR,N/A,Y,Y,N,N,N,N,"Forest products, Agricultural products",N,N,Regional short line operations,https://www.watco.com/service/watco-railroads/
Austin Western Railroad,AWRR,TX,190,N,"McNeil, TX",N,N,N,N,"Aggregates, Limestone, Lumber, Beer, Chemicals, Plastics, Paper",N,N,Shared track with Austin commuter rail,https://www.watco.com/service/rail/austin-western-railroad-awrr/
Autauga Northern Railroad,AUT,AL,43.62,N,N,N,"Connection",N,N,"Paper products, Forest products, Pulp",N,N,NS lease operations,https://www.watco.com/service/watco-railroads/
Baton Rouge Southern Railroad,BRS,LA,1.5,N,N,N,N,N,"Baton Rouge area",Chemicals,N,N,Louisiana Chemical Corridor operations,https://www.watco.com/service/rail/baton-rouge-southern-railroad-brs/
Birmingham Terminal Railway,BHRR,AL,76.1,"Birmingham, AL",N,"Birmingham, AL","Birmingham, AL",N,N,"Steel products, Coal, Industrial materials",N,N,Terminal switching services,https://www.watco.com/service/rail/birmingham-terminal-railway-bhrr/
Blue Ridge Southern Railroad,BLU,NC,N/A,N,N,Y,"Connection",N,N,"Wood chips, Paper, Plastics, Cement, Coal, Epsom salt products",N,N,Forest products specialization,https://www.watco.com/service/rail/blue-ridge-southern-railroad-blu/
Boise Valley Railroad,BVRR,ID,70.76,N,"Caldwell, Nampa",N,N,N,N,"Potatoes, Lumber, Fertilizer, Fuels",N,N,Dual branch operations,https://www.watco.com/service/rail/boise-valley-railroad-bvrr/
Cicero Central Railroad,CERR,IL,N/A,"Chicago area",Chicago area,Chicago area,Chicago area,N,N,"Pitch, Chemicals for plastics, Plastics",N,N,Chemical industry specialization,https://www.watco.com/service/rail/cicero-central-railroad-cerr/
Decatur & Eastern Illinois Railroad,DREI,IL,N/A,N,Illinois connections,N,"Decatur, IL","Connection",N,"Grain, Ethanol, Agricultural products",N,Y,Agricultural commodity specialization,https://www.watco.com/service/rail/decatur_and_eastern_illinois/
Dutchtown Southern Railroad,DUSR,LA,1.76,N,N,N,N,"Geismar, LA",N,"Chemicals, Plastics, Gas and energy products",N,N,Chemical industry specialization,https://www.watco.com/service/rail/dutchtown-southern-railroad/
Eastern Idaho Railroad,EIRR,ID,365.17,N,"Idaho Falls, Minidoka",N,N,N,N,"Potatoes, Grain, Agricultural products",N,N,Dual segment operations,https://www.watco.com/service/rail/eastern-idaho-railroad-eirr/
Elwood Joliet & Southern Railroad,EJSR,IL,1.2,"Chicago area","Chicago area",N,N,N,Chicago area,"Plastics, Chemicals, Grain, Scrap metal, Sodium carbonate",N,N,Industrial switching services,https://www.watco.com/service/rail/elwood-joliet-and-southern-railroad-ejsr/
Geaux Geaux Railroad,GOGR,LA,26,N,N,N,N,"Baton Rouge area","Baton Rouge area","Chemicals, Agricultural products",N,N,Louisiana Chemical Corridor operations,https://www.watco.com/service/watco-railroads/
Grand Elk Railroad,GDLK,"IN, MI",123,N,N,"Grand Rapids, MI","Elkhart, Kalamazoo","Kalamazoo, MI",N,"Frac sand, Plastics, Metals, Forest products, Aggregates",N,N,Upper Peninsula Michigan expansion,https://www.watco.com/service/rail/grand-elk-railroad-gdlk/
Great Lakes Central Railroad,GLC,MI,900,N,N,Y,Y,"Connection","Connection","Agricultural products, Plastics, Oil and gas, Chemicals",N,N,$3.7M Watco investment planned,https://www.watco.com/service/rail/great-lakes-railroad-glc/
Great Northwest Railroad,GRNW,"WA, ID",87.1,"Ayer Junction, WA","Ayer Junction, WA",N,N,N,N,"Forest products, Agricultural products, Chemicals, Scrap iron, Frozen vegetables",N,N,Former Camas Prairie Railroad operations,https://www.watco.com/service/rail/great-northwest-railroad-grnw/
