Carrier,Group,Commodity,Cargo,CargoDetail
WLWH,Break Bulk,General Cargo,Machinery & Vehicles,Machinery & Vehicles
KKLU,Break Bulk,General Cargo,Vehicles & Machinery,Vehicles & Machinery
MOLU,Break Bulk,General Cargo,Vehicles & Machinery,Vehicles & Machinery
CCSG,Break Bulk,Refiridgerated,Refridgerated,Refiridgerated
NQSH,Break Bulk,Refiridgerated,Refiridgerated,Refiridgerated
HOEG,Break Bulk,General Cargo,Vehicles & Machinery,Vehicles & Machinery
AROF,Break Bulk,General Cargo,Vehicles & Machinery,Vehicles & Machinery
NYKS,Break Bulk,General Cargo,Vehicles & Machinery,Vehicles & Machinery
ACLU,Break Bulk,General Cargo,Vehicles & Machinery,Vehicles & Machinery
NMCC,Break Bulk,General Cargo,Vehicles & Machinery,Vehicles & Machinery
HDGL,Break Bulk,General Cargo,Vehicles & Machinery,Vehicles & Machinery
EUKO,Break Bulk,General Cargo,Vehicles & Machinery,Vehicles & Machinery
VWTG,Break Bulk,General Cargo,Vehicles & Machinery,Vehicles & Machinery
GESM,Break Bulk,General Cargo,Vehicles & Machinery,Vehicles & Machinery
NMTE,Break Bulk,General Cargo,Vehicles & Machinery,Vehicles & Machinery
PSGP,Break Bulk,General Cargo,Vehicles & Machinery,Vehicles & Machinery
MCGQ,Break Bulk,General Cargo,Vehicles & Machinery,Vehicles & Machinery
TGBS,Break Bulk,General Cargo,Vehicles & Machinery,Vehicles & Machinery
GDSL,Break Bulk,General Cargo,Vehicles & Machinery,Vehicles & Machinery
