Carrier,Carrier Name
CRNV,Carnival Cruise Lines
RCCU,Royal Caribbean Cruise Line
DCRL,Disney Cruise Line
NOCL,Norwegian Cruise Lines
FSHP,"Formel, Stevenson Freight Services Llc"
PNSS,Princess Cruises
CQLY,Celebrity Cruises
HLCU,Hapag Lloyd A G
CMDU,Cma Cgm America Llc
GIMI,Gulf Inland Marine Services Inc
AMYW,Amistad Direct Delivery Services Llc
ADRQ,Andrie Inc
NEDF,Nippon Express Co Ltd
MLTD,Mercury Launch & Tug Ltd
CEPC,Chevron North America Exploration & Production Company
TWNA,Tidewater Transportation Canada Inc
ISSS,Inchcape Shipping Services
AOCS,Ao Container Lines Inc
MOBJ,Mobro Marine Inc
SILJ,Seacor Island Lines
RCGD,Robinsons Cargo & Logistics P.Ltd
AQTY,Ata Freight Line Ltd
COCL,Costa Cruise Lines Inc
LLDL,Lotus Lines Limited
AEZC,Agent Ex Llc
OBLA,Onboard Logistics Usa Inc.
YMPR,Yang Ming (Singapore) Pte Ltd
DSXB,Dolphin Sea Air Services Corp
AIGB,Air Tiger Logistics (Hk) Limited
JTMO,Join The Moment Forwarding Corp
DWCH,De Well Container Shipping Inc
JAPA,Japan Tuna Fisheries Corporation
RQCL,Rq Construction Llc
TVLC,T.V.L. Container Line Limited.
TUIC,Tui Cruises Gmbh
ISTB,Island Tug And Barge Ltd
QCSK,Qcs Quick Cargo Service Gmbh
TECG,"Tech Cargo, Llc"
AWFD,All Ways Forwarding International Inc
