Carrier,Carrier Name,action,Group,Commodity,Cargo,CargoDetail
WLWH,Wallenius Wilhelmsen Logistics Americas Llc,"on match condition Carrier_Code , enter values and lock from further processing",Break Bulk,General Cargo,Machinery & Vehicles,Machinery & Vehicles
KKLU,Kawasaki Kisen Kaisha Ltd,"on match condition Carrier_Code , enter values and lock from further processing",Break Bulk,General Cargo,Vehicles & Machinery,Vehicles & Machinery
MOLU,Mitsui O S K Lines Ltd,"on match condition Carrier_Code , enter values and lock from further processing",Break Bulk,General Cargo,Vehicles & Machinery,Vehicles & Machinery
CCSG,Cool Carriers Ab,"on match condition Carrier_Code , enter values and lock from further processing",Break Bulk,Refiridgerated,Refridgerated,Refiridgerated
NQSH,Network Shipping Ltd,"on match condition Carrier_Code , enter values and lock from further processing",Break Bulk,Refiridgerated,Refiridgerated,Refiridgerated
HOEG,Hoegh Autoliners As,"on match condition Carrier_Code , enter values and lock from further processing",Break Bulk,General Cargo,Vehicles & Machinery,Vehicles & Machinery
AROF,American Roll On Roll Off Carrier Llc,"on match condition Carrier_Code , enter values and lock from further processing",Break Bulk,General Cargo,Vehicles & Machinery,Vehicles & Machinery
NYKS,Nyk Group Americas Inc,"on match condition Carrier_Code , enter values and lock from further processing",Break Bulk,General Cargo,Vehicles & Machinery,Vehicles & Machinery
ACLU,Atlantic Container Line Ab,"on match condition Carrier_Code , enter values and lock from further processing",Break Bulk,General Cargo,Vehicles & Machinery,Vehicles & Machinery
NMCC,Nissan Motor Car Carrier Co Ltd,"on match condition Carrier_Code , enter values and lock from further processing",Break Bulk,General Cargo,Vehicles & Machinery,Vehicles & Machinery
HDGL,Hyundai Glovis Co Ltd,"on match condition Carrier_Code , enter values and lock from further processing",Break Bulk,General Cargo,Vehicles & Machinery,Vehicles & Machinery
EUKO,Eukor Car Carriers,"on match condition Carrier_Code , enter values and lock from further processing",Break Bulk,General Cargo,Vehicles & Machinery,Vehicles & Machinery
VWTG,Volkswagen Konzernlogistik Gmbh & Co Ohg,"on match condition Carrier_Code , enter values and lock from further processing",Break Bulk,General Cargo,Vehicles & Machinery,Vehicles & Machinery
GESM,Grimaldi Euromed S P A,"on match condition Carrier_Code , enter values and lock from further processing",Break Bulk,General Cargo,Vehicles & Machinery,Vehicles & Machinery
NMTE,Nmt Lines,"on match condition Carrier_Code , enter values and lock from further processing",Break Bulk,General Cargo,Vehicles & Machinery,Vehicles & Machinery
PSGP,"Pasha Group, The","on match condition Carrier_Code , enter values and lock from further processing",Break Bulk,General Cargo,Vehicles & Machinery,Vehicles & Machinery
MCGQ,Mitsui & Co Global Logistics Ltd,"on match condition Carrier_Code , enter values and lock from further processing",Break Bulk,General Cargo,Vehicles & Machinery,Vehicles & Machinery
TGBS,Trans Global Shipping,"on match condition Carrier_Code , enter values and lock from further processing",Break Bulk,General Cargo,Vehicles & Machinery,Vehicles & Machinery
GDSL,Grimaldi Deep Sea S P A,"on match condition Carrier_Code , enter values and lock from further processing",Break Bulk,General Cargo,Vehicles & Machinery,Vehicles & Machinery
CRNV,Carnival Cruise Lines,always exclude,,,,
RCCU,Royal Caribbean Cruise Line,always exclude,,,,
DCRL,Disney Cruise Line,always exclude,,,,
NOCL,Norwegian Cruise Lines,always exclude,,,,
FSHP,"Formel, Stevenson Freight Services Llc",always exclude,,,,
PNSS,Princess Cruises,always exclude,,,,
CQLY,Celebrity Cruises,always exclude,,,,
HLCU,Hapag Lloyd A G,always exclude,,,,
CMDU,Cma Cgm America Llc,always exclude,,,,
CINT,Cargill International S A,"no matches, carrier handles more one type of cargo, will have to leave for later stage",,,,
DMNA,Dampskibsselskabet Norden Aktieselskab,"no matches, carrier handles more one type of cargo, will have to leave for later stage",,,,
ALOM,Algoma Central Corporation,"no matches, carrier handles more one type of cargo, will have to leave for later stage",,,,
SXBW,Swire Bulk Pte Ltd,dry bulk unless reclassed later step,,,,
PNFN,Penfield Marine Llc,"always, liquid bulk, can never be dry bulk, break bulk, reefer, roro, or liquified gas",Liquid Bulk,,,
AETK,Aet Inc Pte Ltd,"always, liquid bulk, can never be dry bulk, break bulk, reefer, roro, or liquified gas",Liquid Bulk,,,
CHVV,Chevron Shipping Company Llc,"always, liquid bulk, can never be dry bulk, break bulk, reefer, roro, or liquified gas",Liquid Bulk,,,
TKSH,Teekay Tankers Ltd,"always, liquid bulk, can never be dry bulk, break bulk, reefer, roro, or liquified gas",Liquid Bulk,,,
TGRA,Trafigura Maritime Ventures Ltd,"always, liquid bulk, can never be dry bulk, break bulk, reefer, roro, or liquified gas",Liquid Bulk,,,
AQCV,Ace Tankers C.V.,"always, liquid bulk, can never be dry bulk, break bulk, reefer, roro, or liquified gas",Liquid Bulk,,,
VRON,Vroon B V,"always, liquid bulk, can never be dry bulk, break bulk, reefer, roro, or liquified gas",Liquid Bulk,,,
NTWY,N Two (N2) Tankers B V,"always, liquid bulk, can never be dry bulk, break bulk, reefer, roro, or liquified gas",Liquid Bulk,,,
SEUK,Shell International Trading And Shipping,"always, liquid bulk, can never be dry bulk, break bulk, reefer, roro, or liquified gas",Liquid Bulk,,,
FLUB,Frontline Management As,"always, liquid bulk, can never be dry bulk, break bulk, reefer, roro, or liquified gas",Liquid Bulk,,,
