Order,Group,Commodity,Cargo,Cargo_Detail,Min_Tons,Max_Tons,Keywords,Exceptions,Note
1,Dry Bulk,Non-Ferrous Raw Materials,Manganese,Manganese Products,2,NONE,,,"HS4 7202 statistical alignment (77.5% consensus, 562861 tons remaining)"
2,Break Bulk,Forestry,Pulp & Paper,Lumber,2,NONE,,,"HS4 4407 statistical alignment (86.1% consensus, 537047 tons remaining)"
3,Dry Bulk,Fertilizer,Potassium Fertilizers,Potash,2,NONE,,,"HS4 3104 statistical alignment (97.7% consensus, 300316 tons remaining)"
4,Dry Bulk,Agricultural,Sugar,Sugar,2,NONE,,,"HS4 1701 statistical alignment (95.7% consensus, 299177 tons remaining)"
5,Break Bulk,General Cargo,Vehicles,Vehicles,2,NONE,,,"HS4 6403 statistical alignment (72.7% consensus, 292215 tons remaining)"
6,Break Bulk,Steel,Finished Steel,Tubular Goods,2,NONE,,,"HS4 2809 statistical alignment (93.8% consensus, 267632 tons remaining)"
7,Break Bulk,Forestry,Pulp & Paper,Board,2,NONE,,,"HS4 3103 statistical alignment (100.0% consensus, 241701 tons remaining)"
8,Dry Bulk,Non-Ferrous Raw Materials,Manganese,Manganese Products,2,NONE,,,"HS4 2833 statistical alignment (93.5% consensus, 240508 tons remaining)"
9,Break Bulk,General Cargo,Vehicles,Vehicles,2,NONE,,,"HS4 1214 statistical alignment (95.0% consensus, 234603 tons remaining)"
10,Break Bulk,Steel,Finished Steel,Long Products,2,NONE,,,"HS4 7222 statistical alignment (76.4% consensus, 213341 tons remaining)"
11,Break Bulk,Metals,Aluminum,Aluminum,2,NONE,,,"HS4 7604 statistical alignment (95.4% consensus, 202190 tons remaining)"
12,Liquid Bulk,Petroleum,Crude Oil,Crude Oil,2,NONE,,,"HS4 2709 statistical alignment (95.6% consensus, 153741 tons remaining)"
13,Break Bulk,General Cargo,Vehicles,Vehicles,2,NONE,,,"HS4 1202 statistical alignment (97.3% consensus, 143869 tons remaining)"
14,Break Bulk,General Cargo,Vehicles,Vehicles,2,NONE,,,"HS4 2204 statistical alignment (81.6% consensus, 129742 tons remaining)"
15,Dry Bulk,Carbon Products,Petcoke,Petcoke,2,NONE,,,"HS4 2713 statistical alignment (96.9% consensus, 110000 tons remaining)"
