HS2,Description
01,HORSES
02,CARCASSES AND HALF-CARCASSES OF VEAL
03,KOI (COMMON) CARP (CYPRINUS CARPIO)
04,MILK AND CREAM
05,HUMAN HAIR
06,TULIP BULBS
07,POTATOES
08,COCONUTS
09,COFFEE
10,DURUM WHEAT SEED
11,HARD SPRING WHEAT FLOUR
12,SOYBEAN SEEDS OF A KIND USED FOR SOWING
13,GUM ARABIC
14,BAMBOO
15,LARD
16,PORK SAUSAGES AND SIMILAR PRODUCTS
17,BEET SUGAR
18,COCOA BEANS
19,PREPARATIONS FOR INFANT USE
20,CUCUMBERS INCLUDING GHERKINS
21,INSTANT COFFEE
22,MINERAL WATERS AND AERATED WATERS
23,FLOURS
24,CONNECTICUT SHADE TOBACCO
25,SALT INC TABLE & DENATURED & PURE SODIUM CHLORIDE
26,IRON ORE NONAGGLOMERATED CONCENTRATES
27,ANTHRACITE COAL
28,CHLORINE
29,SATURATED ACYCLIC HYDROCARBONS; n-PENTANE AND ISOPENTANE
30,EXTRACTS OF GLANDS OR OTHER ORGANS OR OF THEIR SECRETIONS
31,ANIMAL/VEG FERTILIZERS
32,QUEBRACHO EXTRACT
33,ESSENTIAL CITRUS FRUIT OILS OF ORANGE
34,CASTILE SOAP
35,MILK PROTEIN CONCENTRATE
36,PROPELLANT POWDERS
37,XRAY FILM FOR MEDICAL
38,ARTIFICIAL GRAPHITE PLATES
39,POLYETHYLENE HAVING A SPECIFIC GRAVITY OF LESS THAN 0.94
40,NATURAL RUBBER LATEX
41,HIDES AND SKINS OF BOVINE ANIMALS
42,DOG LEASHES
43,FURSKINS OF WILD MINK
44,FUEL WOOD
45,NATURAL CORK
46,MATS
47,MECHANICAL WOODPULP
48,NEWSPRINT PAPER
49,REPRODUCTION PROOFS
50,SILKWORM COCOONS SUITABLE FOR REELING
51,SHORN WOOL
52,COTTON WASTE: YARN WASTE (INCLUDING THREAD WASTE)
53,FLAX
54,SEWING THREAD OF MAN-MADE FILAMENTS
55,SYNTHETIC FILAMENT TOW OF ARAMIDS
56,WADDING OF TEXTILE MATERIALS; TEXTILE FIBERS NOT EXCEEDING 5MM IN LENGTH; WADDING
57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS
58,WOVEN PILE FABRICS AND CHENILLE FABRICS
59,TEXTILE FABRICS COATED WITH GUM OR AMYLACOUS SUBSTANCES
60,LONG PILE FABRIC
61,MEN'S OR BOYS' OVERCOATS
62,MEN'S OVERCOATS
63,BLANKETS AND TRAVELING RUGS: ELECTRIC BLANKETS
64,WATERPROOF FOOTWEAR WITH OUTER SOLES AND UPPERS OF RUBBER OR PLASTICS: FOOTWEAR INCORPORATING A PROTECTIVE METAL TOE-CAP
65,HAT FORMS
66,UMBRELLAS
67,ARTICLES OF FEATHERS OR DOWN
68,SETTS
69,BRICKS
70,GLASS IN THE MASS
71,NATURAL PEARLS GRADED AND TEMPORARILY STRUNG FOR CONVENIENCE OF TRANSPORT
72,NONALLOY PIG IRON CONTAINING 0.5 PERCENT OR LESS PHOSPHORUS
73,SHEET PILING OF IRON OR STEEL
74,UNREFINED COPPER
75,NICKEL MATTES
76,UNW ALUM NT ALOYD OF UNIFM CROS SECT THROUT IT LNTH LEST CROS SECT DIMNSON NT GREATER THAN 9.5 MM IN COILS
78,REFINED LEAD
79,ZINC
80,TIN
81,TUNGSTEN (WOLFRAM) POWDERS
82,SPADES AND SHOVELS AND PARTS THEREOF OF BASE METAL
83,PADLOCKS
84,NUCLEAR REACTORS
85,ELECTRIC MOTORS OF AN OUTPUT UNDER 18.65 W
86,RAIL LOCOMOTIVES POWERED FROM AN EXTERNAL SOURCE OF ELECTRICITY
87,TRACTORS
88,HANG GLIDERS
89,CRUISE SHIPS
90,OPTICAL FIBERS FOR TRANSMISSION OF VOICE
91,MOVRMENTS FOR WRIST WATCHES
92,UPRIGHT PIANOS
93,SELF-PROPELLED ARTILLERY WEAPONS (FOR EXAMPLE
94,SEATS OF A KIND USED FOR AIRCRAFT LEATHER UPHOLSTERED
95,INFLATABLE TOY BALLS
96,WORKED IVORY AND ARTICLES OF IVORY
97,PAINTINGS
