HS4,HS2,Description
0101,01,HORSES
0102,01,CATTLE
0103,01,SWINE
0104,01,SHEEP
0105,01,CHICKENS
0106,01,PRIMATES
0201,02,CARCASSES AND HALF-CARCASSES OF VEAL
0202,02,CARCASSES AND HALF-CARCASSES OF VEAL
0203,02,CARCASSES AND HALF-CARCASSES OF SWINE
0204,02,CARCASSES AND HALF-CARCASSES OF LAMB
0205,02,MEAT OF HORSES
0206,02,OFFAL OF BOVINES
0207,02,CHICKENS
0208,02,MEAT AND EDIBLE OFFAL OF RABBITS OR HARES
0209,02,PIG FAT
0210,02,HAMS AND CUTS THEREOF
0301,03,KOI (COMMON) CARP (CYPRINUS CARPIO)
0302,03,RAINBOW TROUT (SALMO GAIRDNERI)
0303,03,SOCKEYE (RED) SALMON (ONCORHYNCHUS NERKA)
0304,03,TILAPIA (OREOCHROMIS) FILLETS
0305,03,STURGEON ROE
0306,03,CARIBBEAN SPINY LOBSTER (PANULIRUS ARGUS)
0307,03,SEED OYSTERS
0308,03,SEA CUCUMBERS
0309,03,FLOURS
0401,04,MILK AND CREAM
0402,04,MILK AND CREAM IN POWDER GRANULES/OTHER SOLID FORMS FAT CONTENT BY WEIGHT NOT EXCEEDING 1.5% WHETHER/NOT SWEETENED
0403,04,YOGURT
0404,04,WHEY PROTEIN CONCENTRATES
0405,04,BUTTER
0406,04,CHONGOS
0407,04,FERTILIZED EGGS FOR INCUBATION OF FOWLS OF THE SPECIES GALLUS DOMESTICUS (CHICKEN)
0408,04,EGG YOLKS
0409,04,COMB HONEY AND HONEY PACKAGED FOR RETAIL SALE
0410,04,EDIBLE INSECTS
0501,05,HUMAN HAIR
0502,05,PIGS'
0504,05,HOG GUTS
0505,05,FEATHERS OF A KIND USED FOR STUFFING
0506,05,OSSEIN AND BONES TREATED WITH ACID
0507,05,IVORY
0508,05,CORAL & SIMILAR MATERIALS
0510,05,AMBERGRIS
0511,05,BOVINE SEMEN
0601,06,TULIP BULBS
0602,06,UNROOTED CUTTINGS AND SLIPS OF PLANTS
0603,06,SPRAY ROSES
0604,06,FOLIAGE
0701,07,POTATOES
0702,07,GRAPE GREENHOUSE TOMATOES
0703,07,PEARL ONIONS NOT OVER 16 MM IN DIAMETER
0704,07,BRUSSELS SPROUTS
0705,07,WITLOOF CHICORY (CICHORIUM INTYBUS VAR. FOLIOSUM)
0706,07,TURNIPS
0707,07,GHERKINS
0708,07,LIMA BEANS
0709,07,ASPARAGUS
0710,07,POTATOES
0711,07,OLIVES
0712,07,ONION POWDER OR FLOUR
0713,07,PEAS (PISUM SATIVUM)
0714,07,CASSAVA (MANIOC) FROZEN
0801,08,COCONUTS
0802,08,ALMONDS
0803,08,PLANTAINS
0804,08,DATES
0805,08,ORANGES
0806,08,GRAPES
0807,08,CANTALOUPES
0808,08,APPLES
0809,08,APRICOTS
0810,08,STRAWBERRIES
0811,08,STRAWBERRIES
0812,08,CHERRIES
0813,08,APRICOTS
0814,08,PEEL OF CITRUS FRUIT
0901,09,COFFEE
0902,09,GREEN TEA (NOT FERMENTED)
0903,09,MATE
0904,09,PEPPER OF THE GENUS PIPER
0905,09,VANILLA
0906,09,CINNAMON
0907,09,CLOVES (WHOLE FRUIT
0908,09,NUTMEG
0909,09,SEEDS OF CORIANDER NEITHER CRUSHED NOR GROUND
0910,09,CERTIFIED ORGANIC GINGER
1001,10,DURUM WHEAT SEED
1002,10,RYE SEEDS OF A KIND FOR SOWING
1003,10,BARLEY SEED
1004,10,OATS
1005,10,YELLOW CORN (MAIZE)
1006,10,RICE IN THE HUSK (PADDY OR ROUGH)
1007,10,GRAIN SORGHUM SEEDS OF A KIND USED FOR SOWING
1008,10,BUCKWHEAT
1101,11,HARD SPRING WHEAT FLOUR
1102,11,CORN (MAIZE) FLOUR
1103,11,GROATS AND MEAL OF WHEAT
1104,11,GRAINS
1105,11,FLOUR
1106,11,FLOUR
1107,11,MALT
1108,11,WHEAT STARCH FOR FOOD USE
1109,11,WHEAT GLUTEN TO BE USED AS ANIMAL FEED
1201,12,SOYBEAN SEEDS OF A KIND USED FOR SOWING
1202,12,PEANUT SEEDS (GROUND-NUTS)
1203,12,COPRA
1204,12,FLAXSEED (LINSEED) FOR SOWING
1205,12,RAPE OR COLZA SEEDS FOR SOWING
1206,12,SUNFLOWER SEEDS
1207,12,PALM NUTS AND KERNELS
1208,12,FLOURS AND MEALS OF SOYBEANS
1209,12,SUGAR BEET SEED OF A KIND USED FOR SOWING
1210,12,HOP CONES
1211,12,GINSENG ROOTS
1212,12,SEAWEEDS AND OTHER ALGAE
1213,12,CEREAL STRAW AND HUSKS
1214,12,ALFALFA (LUCERNE) CUBES
1301,13,GUM ARABIC
1302,13,VEGETABLE SAPS AND EXTRACTS
1401,14,BAMBOO
1404,14,COTTON LINTERS
1501,15,LARD
1502,15,TALLOW
1503,15,LARD STEARIN
1504,15,COD LIVER OIL AND ITS FRACTIONS
1505,15,WOOL GREASE
1506,15,ANIMAL FATS AND OILS AND THEIR FRACTIONS
1507,15,SOYBEAN OIL AND ITS FRACTIONS
1508,15,PEANUT (GROUND-NUT) OIL AND ITS FRACTIONS
1509,15,CERTIFIED ORGANIC OLIVE OIL AND ITS FRACTIONS
1510,15,CRUDE OLIVE POMACE OIL
1511,15,PALM OIL AND ITS FRACTIONS
1512,15,SUNFLOWER-SEED OIL AND FRACTIONS THEREOF
1513,15,COCONUT (COPRA) OIL AND ITS FRACTIONS
1514,15,RAPESEED OR COLZA OIL AND ITS FRACTIONS
1515,15,LINSEED OIL AND ITS FRACTIONS
1516,15,ANIMAL FATS AND OILS AND THEIR FRACTIONS
1517,15,MARGARINE
1518,15,INEDIBLE MIXTURES OR PREPARATIONS OF LINSEED OR FLAXSEED OIL
1520,15,GLYCEROL (GLYCERINE)
1521,15,VEGETABLE WAXES
1522,15,DEGRAS; RESIDUES RESULTING FROM THE TREATMENT OF FATTY SUBSTANCES OR ANIMAL OR VEGETABLE WAXES
1601,16,PORK SAUSAGES AND SIMILAR PRODUCTS
1602,16,OTHER PREPARED OR PRESERVED MEAL
1603,16,CLAM JUICE
1604,16,PINK (HUMPIE) SALMON
1605,16,CRAB PRODUCTS CONTAINING FISH MEAT; PREPARED MEALS; IN AIRTIGHT CONTAINERS
1701,17,BEET SUGAR
1702,17,LACTOSE AND LACTOSE SYRUP
1703,17,CANE MOLASSES IMPORTED FOR THE COMMERCIAL EXTRACTION OF SUGAR OR HUMAN CONSUMPTION
1704,17,CHEWING GUM
1801,18,COCOA BEANS
1802,18,COCOA SHELLS
1803,18,COCOA PASTE
1804,18,COCOA BUTTER
1805,18,COCOA POWDER
1806,18,DESCRIBED IN GENERAL NOTE 15 OF THE TARIFF SCHEDULE AND ENTERED PURSUANT TO IT PROVISIONS: COCOA POWDER
1901,19,PREPARATIONS FOR INFANT USE
1902,19,PASTA
1903,19,TAPIOCA AND SUBSTITUTES PREPARED FROM ARROWROOT
1904,19,PREPARED FOODS OBTAINED BY THE SWELLING OR ROASTING OF CEREALS OR CEREAL PRODUCTS
1905,19,CRISPBREAD
2001,20,CUCUMBERS INCLUDING GHERKINS
2002,20,TOMATOES
2003,20,MUSHROOMS (EXCEPT STRAW) WHOLE
2004,20,YELLOW POTATOES (SOLANO) EXCEPT FRENCH FRIES
2005,20,POTATO CHIPS
2006,20,CHERRIES
2007,20,CITRUS FRUIT PASTES AND PUREES
2008,20,PEANUT BUTTER AND PASTE
2009,20,ORANGE JUICE
2101,21,INSTANT COFFEE
2102,21,YEASTS
2103,21,SOY SAUCE
2104,21,SOUPS
2105,21,ICE CREAM
2106,21,FOOD PREPS
2201,22,MINERAL WATERS AND AERATED WATERS
2202,22,CARBONATED SOFT DRINKS
2203,22,BEER MADE FROM MALT IN GLASS CONTAINERS NOT OVER 4 LITERS EACH
2204,22,SPARKLING WINE OF FRESH GRAPES VALUED NOT OVER $1.59/LITER
