HS6,HS4,HS2,Description
010121,0101,01,"HORSES, LIVE, PUREBRED BREEDING MALE"
010129,0101,01,"HORSES, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER"
010130,0101,01,"ASSES, LIVE"
010190,0101,01,"MULES AND HINNIES, IMPORTED FOR IMMEDIATE SLAUGHTER, LIVE"
010221,0102,01,"CATTLE, LIVE, PUREBRED BREEDING MALE, DAIRY"
010229,0102,01,"CATTLE, IMPORTED SPECIALLY FOR DAIRY PURPOSES, WEIGHING LESS THAN 90 KG EACH, LIVE, EXCEPT PUREBRED BREEDING"
010231,0102,01,"BUFFALO, LIVE, PUREBRED BREEDING, MALE, EXCEPT DAIRY"
010239,0102,01,"BISON, LIVE"
010290,0102,01,"BOVINES, LIVE, OTHER THAN CATTLE OR BUFFALO"
010310,0103,01,"SWINE, PUREBRED BREEDING, LIVE"
010391,0103,01,"SWINE, WEIGHING LESS THAN 7 KG EACH, LIVE, EXCEPT PUREBRED BREEDING"
010392,0103,01,"SWINE, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER, WEIGHING 50 KG OR MORE EACH, EXCEPT PUREBRED BREEDING"
010410,0104,01,"SHEEP, LIVE"
010420,0104,01,"GOATS, LIVE"
010511,0105,01,"CHICKENS, LIVE, WEIGHING NOT MORE THAN 185 G EACH, BREEDING STOCK, LAYER-TYPE (EGG-TYPE)"
010512,0105,01,"TURKEYS, LIVE, WEIGHING NOT MORE THAN 185 G EACH"
010513,0105,01,"DUCKS, LIVE, WEIGHING NOT MORE THAN 185 G EACH"
010514,0105,01,"GEESE, LIVE, WEIGHING NOT MORE THAN 185 G EACH"
010515,0105,01,"GUINEA FOWLS, LIVE, WEIGHING NOT MORE THAN 185 G EACH"
010594,0105,01,"CHICKENS, LIVE, WEIGHING 185 G OR MORE EACH"
010599,0105,01,"POULTRY, LIVE, WEIGHING 185 G OR MORE EACH, NESOI"
010611,0106,01,"PRIMATES, LIVE"
010612,0106,01,"WHALES, DOLPHINS AND PORPOISES; MANATEES AND DUGONGS; SEALS, SEA LIONS AND WALRUSES, LIVE"
010613,0106,01,"CAMELS AND OTHER CAMELIDS (CAMELIDAE), LIVE"
010614,0106,01,"RABBITS AND HARES, LIVE"
010619,0106,01,"FOXES, LIVE"
010620,0106,01,"REPTILES (INCLUDING SNAKES AND TURTLES), LIVE"
010631,0106,01,"BIRDS OF PREY, LIVE"
010632,0106,01,"PSITTACIFORMES (INCLUDING PARROTS, PARAKEETS, MACAWS AND COCKATOOS), LIVE"
010633,0106,01,"OSTRICHES; EMUS (DROMAIUS NOVAEHOLLANDIAE), LIVE"
