port_code,sked_d_name,cbp_appendix_e_name,district_code,district_name,state,port_consolidated,port_coast,port_region,port_type
0101,"PORTLAND, ME","Portland, Maine",01,"PORTLAND, ME",ME,Portland ME,East,North Atlantic,seaport
0102,"BANGOR, ME","Bangor, Maine",01,"PORTLAND, ME",ME,Portland ME,East,North Atlantic,seaport
0103,"EASTPORT, ME","Eastport, Maine",01,"PORTLAND, ME",ME,Portland ME,East,North Atlantic,seaport
0104,"JACKMAN, ME","Jackman, Maine",01,"PORTLAND, ME",ME,Portland ME,East,North Atlantic,seaport
0105,"VANCEBORO, ME","Vanceboro, Maine",01,"PORTLAND, ME",ME,Portland ME,East,North Atlantic,seaport
0106,"HOULTON, ME","Houlton, Maine",01,"PORTLAND, ME",ME,Portland ME,East,North Atlantic,seaport
0107,"FORT FAIRFIELD, ME","Fort Fairfield, Maine",01,"PORTLAND, ME",ME,Portland ME,East,North Atlantic,airport
0108,"VAN BUREN, ME","Van Buren, Maine",01,"PORTLAND, ME",ME,Portland ME,East,North Atlantic,seaport
0109,"MADAWASKA, ME","Madawaska, Maine",01,"PORTLAND, ME",ME,Portland ME,East,North Atlantic,seaport
0110,"FORT KENT, ME","Fort Kent, Maine",01,"PORTLAND, ME",ME,Portland ME,East,North Atlantic,seaport
0111,"BATH, ME","Bath, Maine",01,"PORTLAND, ME",ME,Portland ME,East,North Atlantic,seaport
0112,"BAR HARBOR, ME","Bar Harbor, Maine",01,"PORTLAND, ME",ME,Portland ME,East,North Atlantic,seaport
0115,"CALAIS, ME","Calais, Maine",01,"PORTLAND, ME",ME,Portland ME,East,North Atlantic,seaport
0118,"LIMESTONE, ME","Limestone, Maine",01,"PORTLAND, ME",ME,Portland ME,East,North Atlantic,seaport
0121,"ROCKLAND, ME","Rockland, Maine",01,"PORTLAND, ME",ME,Portland ME,East,North Atlantic,seaport
0122,"JONESPORT, ME","Jonesport, Maine",01,"PORTLAND, ME",ME,Portland ME,East,North Atlantic,seaport
0127,"BRIDGEWATER, ME","Bridgewater, Maine",01,"PORTLAND, ME",ME,Portland ME,East,North Atlantic,seaport
0131,"PORTSMOUTH, NH","Portsmouth, New Hampshire",01,"PORTLAND, ME",NH,Portland ME,East,North Atlantic,seaport
0152,"SEARSPORT, ME","Searsport, Maine",01,"PORTLAND, ME",ME,Portland ME,East,North Atlantic,seaport
0182,"MANCHESTER USER FEE AIRPORT, NH","Manchester User Fee Airport, New Hampshire",01,"PORTLAND, ME",NH,Portland ME,East,North Atlantic,airport
0201,"ST. ALBANS, VT","St. Albans, Vermont",02,"ST. ALBANS, VT",VT,Northern Border-VT,Land Ports,Land Ports,land_border
0203,"RICHFORD, VT","Richford, Vermont",02,"ST. ALBANS, VT",VT,Northern Border-VT,Land Ports,Land Ports,land_border
0206,"BEECHER FALLS, VT","Beecher Falls, Vermont",02,"ST. ALBANS, VT",VT,Northern Border-VT,Land Ports,Land Ports,land_border
0207,"BURLINGTON, VT","Burlington, Vermont",02,"ST. ALBANS, VT",VT,Northern Border-VT,Land Ports,Land Ports,land_border
0209,"DERBY LINE, VT","Derby Line, Vermont",02,"ST. ALBANS, VT",VT,Northern Border-VT,Land Ports,Land Ports,land_border
0211,"NORTON, VT","Norton, Vermont",02,"ST. ALBANS, VT",VT,Northern Border-VT,Land Ports,Land Ports,land_border
0212,"HIGHGATE SPRINGS/ALBURG, VT","Highgate Springs/Alburg, Vermont",02,"ST. ALBANS, VT",VT,Northern Border-VT,Land Ports,Land Ports,land_border
0221,,"Northeast Region, Boston, Massachusetts",02,,MA,Northern Border-VT,Land Ports,Land Ports,
0401,"BOSTON, MA","Boston, Massachusetts",04,"BOSTON, MA",MA,Boston,East,North Atlantic,seaport
0402,"SPRINGFIELD, MA","Springfield, Massachusetts",04,"BOSTON, MA",MA,Boston,East,North Atlantic,airport
0403,"WORCESTER, MA","Worcester, Massachusetts",04,"BOSTON, MA",MA,Boston,East,North Atlantic,seaport
0404,"GLOUCESTER, MA","Gloucester, Massachusetts",04,"BOSTON, MA",MA,Boston,East,North Atlantic,seaport
0405,"NEW BEDFORD, MA","New Bedford, Massachusetts",04,"BOSTON, MA",MA,Boston,East,North Atlantic,seaport
0406,"PLYMOUTH, MA","Plymouth, Massachusetts",04,"BOSTON, MA",MA,Boston,East,North Atlantic,seaport
0407,"FALL RIVER, MA","Fall River, Massachusetts",04,"BOSTON, MA",MA,Boston,East,North Atlantic,seaport
0408,"SALEM, MA","Beverly, Massachusetts",04,"BOSTON, MA",MA,Boston,East,North Atlantic,seaport
0410,"BRIDGEPORT,CT","Bridgeport, Connecticut",04,"BOSTON, MA",CT,Connecticut,East,North Atlantic,seaport
0411,HARTFORD. CT,"Hartford, Connecticut",04,"BOSTON, MA",CT,Connecticut,East,North Atlantic,seaport
