Zone,Facility,Vessel Types,Activity,Cargoes,ZoneType,Note
110 Buoys,110 Buoys,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",Mid-Stream,
111 Buoys,111 Buoys,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",Mid-Stream,
112 Buoys,112 Buoys,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",Mid-Stream,
140.5 Buoys,140.5 Buoys,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",Mid-Stream,
1st Street,1st Street,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",General Cargo,
7th Street,7th Street,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",General Cargo,
12 Mile Anch,9/12 Mile Anch,All,Anchoring - Only,All,Anchorage,
9 Mile Anch,9/12 Mile Anch,All,Anchoring - Only,All,Anchorage,
Burnside Terminal,ABT Burnside ,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",Bulk Terminal,
Burnside Buoys,ABT Burnside Buoys,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",Mid-Stream,
ADM AMA,ADM AMA,Bulk - Only,Load - Only ,Grain - Only,Elevator,
ADM Destrehan,ADM Destrehan,Bulk - Only,Load - Only ,Grain - Only,Elevator,
ADM Destrehan Buoys Lower,ADM Destrehan Buoys,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",Mid-Stream,
ADM Destrehan Buoys Upper,ADM Destrehan Buoys,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",Mid-Stream,
ADM Reserve,ADM Reserve,Bulk - Only,Load - Only ,Grain - Only,Elevator,
Avondale,AGG,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",General Cargo,
Alabo St,Alabo St,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",General Cargo,
AMA Anch,Ama/Kenner Bend Anch,All,Anchoring - Only,All,Anchorage,
Upr Kenner Bend Anch,Ama/Kenner Bend Anch,All,Anchoring - Only,All,Anchorage,
Lwr Kenner Bend Anch,Ama/Kenner Bend Anch,All,Anchoring - Only,All,Anchorage,
Americas Styrenics,Americas Styrenics,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Chemical Plant,
Andry St,Andry St,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",General Cargo,
Apex Baton Rouge,Apex Baton Rouge,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,"Nodes are nestled in close proximity , often ais signal gets mixed between zones, terminal name/type may need correction"
Apex Mt Airy,Apex Mt Airy,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,
Shell Convent 1,Aramco Convent,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Refinery,
Shell Convent 2,Aramco Convent,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Refinery,
ADM 110 Buoys,ARTCO 110-111 Buoys,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",Mid-Stream,
ADM 110-1 Buoys,ARTCO 110-111 Buoys,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",Mid-Stream,
ADM 110-2 Buoys,ARTCO 110-111 Buoys,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",Mid-Stream,
ADM 110-3 Buoys,ARTCO 110-111 Buoys,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",Mid-Stream,
ADM 110-4 Buoys,ARTCO 110-111 Buoys,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",Mid-Stream,
ADM 111 Buoys,ARTCO 110-111 Buoys,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",Mid-Stream,
Arabi Terminal,AST Arabi Dolphins,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",Mid-Stream,"Nodes are nestled in close proximity , often ais signal gets mixed between zones, terminal name/type may need correction"
Chalmette Buoys,AST Chalmette Buoys,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",Mid-Stream,"Nodes are nestled in close proximity , often ais signal gets mixed between zones, terminal name/type may need correction"
Chalmette Slip,AST Chalmette Slip,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",General Cargo,"Nodes are nestled in close proximity , often ais signal gets mixed between zones, terminal name/type may need correction"
167 Buoys,AST Convent Buoys,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",Mid-Stream,
Globalplex,AST Globalplex,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",General Cargo,
140 Buoys,AST Gramercy  Buoys,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",Mid-Stream,
Meraux Buoys Lower,AST Meraux Buoys ,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",Mid-Stream,
Meraux Buoys Upper,AST Meraux Buoys ,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",Mid-Stream,
158 Buoys Lower,AST St James Buoys,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",Mid-Stream,
158 Buoys Middle,AST St James Buoys,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",Mid-Stream,
158 Buoys Upper,AST St James Buoys,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",Mid-Stream,
Axiall Plaquemine,Axiall Plaquemine,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Chemical Plant,
Baton Rouge Gen Anch,Baton Rouge Anch,All,Anchoring - Only,All,Anchorage,
Baton Rouge Mid Anch,Baton Rouge Anch,All,Anchoring - Only,All,Anchorage,
Meal Anch,Baton Rouge Anch,All,Anchoring - Only,All,Anchorage,
Belle Chasse Anch,Belle Chasse Anch,All,Anchoring - Only,All,Anchorage,
Belmont Anch,Belmont Anch,All,Anchoring - Only,All,Anchorage,
Blackwater Harvey,Blackwater Harvey,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,
Blackwater Westwego,Blackwater Westwego,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,
Bonnet Carre Anch,Bonnet Carre Anch,All,Anchoring - Only,All,Anchorage,
Boothville Anch,Boothville Anch,All,Anchoring - Only,All,Anchorage,
Buck Kreihs,Buck Kreihs,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",General Cargo,
Buckeye Marrero 2,Buckeye Marrero ,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,
Bunge Destrehan,Bunge Destrehan,Bulk - Only,Load - Only ,Grain - Only,Elevator,
Burnside Anch,Burnside Anch,All,Anchoring - Only,All,Anchorage,
Capline St James 1,Capline St James ,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,"Nodes are nestled in close proximity , often ais signal gets mixed between zones, terminal name/type may need correction"
Capline St James 2,Capline St James ,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,"Nodes are nestled in close proximity , often ais signal gets mixed between zones, terminal name/type may need correction"
Cargill Molasses,Cargill Molasses,Tanker - Only,Load - Only ,Vegetable Oil - Only,Tank Storage,
Cargill Reserve Lower,Cargill Reserve ,Bulk - Only,Load - Only ,Grain - Only,Elevator,
Cargill Reserve Upper,Cargill Reserve ,Bulk - Only,Load - Only ,Grain - Only,Elevator,
Cargill Westwego Lower,Cargill Westwego ,Bulk - Only,Load - Only ,Grain - Only,Elevator,
Cargill Westwego Upper,Cargill Westwego ,Bulk - Only,Load - Only ,Grain - Only,Elevator,
Cenex Harvest States,Cenex Harvest States,Bulk - Only,Load - Only ,Grain - Only,Elevator,
CFI Donaldsonville,CFI Donaldsonville,Tank or Bulk,Load or Discharge,Chemicals and dry fertilizer,Chemical Plant,
CFI Donaldsonville 106,CFI Donaldsonville ,Tank or Bulk,Load or Discharge,Chemicals and dry fertilizer,Chemical Plant,
CFI Donaldsonville 101,CFI Donaldsonville 101,Tank or Bulk,Load or Discharge,Chemicals and dry fertilizer,Chemical Plant,
CGB 111 Buoys,CGB 111 Buoys,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",Mid-Stream,
