Entity_ID,Canonical_Name,Entity_Type,Parent_Company,Match_Keywords,Match_Strategy,Category,Active,Notes,Estimated_Tons,Master_Party_ID,ISO_Country,Latitude,Longitude,Facility_Type
ADM-001,Archer Daniels Midland,Grain,ADM,ARCHER DANIELS MIDLAND,Contains,All,True,Major grain trader and processor,1088661,GRN-XX-ARCHERDANIELSMI-HQ,XX,,,Headquarters
ABU-DHABI-001,Abu Dhabi National Oil Company,Oil & Gas,ADNOC,ABU DHABI NATIONAL;ABU DHABI NATIONAL OIL,Contains,All,True,UAE state oil company,2300000,PET-XX-ABUDHABINATIONA-HQ,XX,,,Headquarters
AES-PR-001,AES Puerto Rico,Power Generation,AES Corporation,AES PUERTO RICO,Contains,All,True,AES power generation in Puerto Rico,2545800,PWR-PR-AESPUERTORICO-HQ,XX,,,Headquarters
CMT-0194,Afyon Cimento Sanayi Turk A.S,Company,AFYON CIMENTO SANAYI TURK A.S,AFYON CIMENTO SANAYI TURK,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.039,,Tu,,,Cement
CMT-0182,Assiut Cement Company,Company,ASSIUT CEMENT COMPANY,ASSIUT CEMENT COMPANY,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.044,,Eg,,,Cement
CMT-0043,Adocim Cimento Beton San.Ve Tic.A.S,Company,Adocim,ADOCIM CIMENTO BETON SANVE,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.714,,Tu,,,Cement
SONATRACH-001,Sonatrach,Oil/Gas,Algerian Government,SONATRACH,Contains,All,True,Algerian state oil company,1316130,PET-XX-SONATRACH-HQ,XX,,,Headquarters
CMT-0238,Allied Cement LLC,Company,Allied Cement LLC,ALLIED CEMENT LLC,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.019,,US,,,Cement
CMT-0253,Allied Cemetn LLC,Company,Allied Cemetn LLC,ALLIED CEMETN LLC,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.008,,US,,,Cement
CMT-0078,American Cement Advisors,Company,American Cement Advisors,AMERICAN CEMENT ADVISORS,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.268,,US,,,Cement
CMT-0044,Amreyah Cement Company,Company,Amreyah Cement,AMREYAH CEMENT COMPANY,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.707,,Eg,,,Cement
ARCELORMITTAL-001,ArcelorMittal,Steel,ArcelorMittal,ARCELORMITTAL,Contains,All,True,World's largest steel producer - multiple US entities,8000000,STL-XX-ARCELORMITTAL-HQ,XX,,,Headquarters
CMT-0165,Asher Materials LLC,Company,Asher Materials LLC,ASHER MATERIALS LLC,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.05,,US,,,Cement
CMT-0081,Asia Cement Corporation,Company,Asia Cement Corporation,ASIA CEMENT CORPORATION,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.253,,Ta,,,Cement
CMT-0196,Asia Cement Corporation 30 Th Floor,Company,Asia Cement Corporation,ASIA CEMENT CORPORATION 30,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.037,,Ta,,,Cement
CMT-0097,Batisoke Soke Cimento Sanayii T.A.S,Company,BATISOKE,BATISOKE SOKE CIMENTO SANAYII,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.164,,Tu,,,Cement
BP-001,BP,Oil & Gas,BP plc,BP PRODUCTS,Contains,All,True,British petroleum major,5000000,PET-XX-BP-HQ,XX,,,Headquarters
BP-INTL-001,BP Oil International,Oil/Gas,BP plc,BP OIL INTERNATIONAL,Contains,All,True,BP international trading operations,1355240,PET-XX-BPOILINTERNATIO-HQ,XX,,,Headquarters
CMT-0103,Buzzi Unicem Sp A,Company,BUZZI UNICEM,BUZZI UNICEM SP A,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.151,,It,,,Cement
CMT-0193,Buzzi Unicem Srl,Company,BUZZI UNICEM,BUZZI UNICEM SRL,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.039,,It,,,Cement
CMT-0115,Brunet Trading Limited,Company,Brunet Trading Limited,BRUNET TRADING LIMITED,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.126,,US,,,Cement
CMT-0144,Calucem D.O.O.,Company,CALUCEM,CALUCEM DOO,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.078,,It,,,Cement
CMT-0262,Cementos Tudela Veguin Sa,Company,CEMENTOS TUDELA VEGUIN SA,CEMENTOS TUDELA VEGUIN SA,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.006,,Sp,,,Cement
CMT-0228,Ciftay Insaat Taah. Ve Tic. A.S. Tebatisoke Soke Cimento Sanayii T.A.S,Company,CIFTAY INSAAT TAAH. VE TIC A.S.,CIFTAY INSAAT TAAH VE,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.024,,Tu,,,Cement
CMT-0174,Ciftay Insaat Taah. Ve Tic A.S.,Company,CIFTAY INSAAT TAAH. VE TIC A.S.,CIFTAY INSAAT TAAH VE,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.047,,Tu,,,Cement
CMT-0272,Ciments Du Maroc,Company,CIMENTS DU MAROC,CIMENTS DU MAROC,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.002,,Mo,,,Cement
CMT-0266,Consorcio Minero Dominicano,Company,CONSORCIO MINERO DOMINICANO,CONSORCIO MINERO DOMINICANO,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.005,,Do,,,Cement
CMT-0120,Crc Rota Sanayi Ve Dis Tic Limited Sti.,Company,CRC ROTA SANAYI VE DIS TIC LIMITED STI.,CRC ROTA SANAYI VE,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.115,,Tu,,,Cement
CMT-0003,Glacier Northwest Incorporatedorporated,Company,CRH,GLACIER NORTHWEST INCORPORATEDORPORATED,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,4.71,,US,,,Cement
CMT-0153,Crh Us,Company,CRH,CRH US,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.063,,US,,,Cement
CMT-0213,Glacier Northwest Incorporatedorporated 2025 E.,Company,CRH,GLACIER NORTHWEST INCORPORATEDORPORATED 2025,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.03,,US,,,Cement
HOUSTON-CEMENT-001,Houston Cement,Cement/Aggregates,CRH,HOUSTON CEMENT,Contains_All,Consignee,True,Houston area cement operations,2300928,CMT-XX-HOUSTONCEMENT-HQ,XX,,,Headquarters
CMT-0017,Houston Cement Companympany L.P.,Company,CRH,HOUSTON CEMENT COMPANYMPANY LP,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,1.896,,US,,,Cement
ASH-GROVE-001,Ash Grove Cement,Cement/Aggregates,CRH,ASH GROVE;ASH GROVE CEMENT,Contains_All,Consignee,True,Major US cement producer - now CRH subsidiary,1561861,CMT-XX-ASHGROVECEMENT-HQ,XX,,,Headquarters
CMT-0037,Ash Grove Cement Companympany,Company,CRH,ASH GROVE CEMENT COMPANYMPANY,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.833,,US,,,Cement
CMT-0008,Houston Cement Companympany,Company,CRH,HOUSTON CEMENT COMPANYMPANY,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,3.188,,US,,,Cement
CSI-001,California Steel Industries,Steel,CVRD/JFE JV,CALIFORNIA STEEL INDUSTRIES,Contains,Consignee,True,Steel producer - Fontana CA,1623869,STL-XX-CALIFORNIASTEEL-HQ,XX,,,Headquarters
GLACIER-001,Glacier Northwest,Aggregates,CalPortland,GLACIER NORTHWEST,Contains,All,True,CalPortland subsidiary - aggregates,3200000,AGG-XX-GLACIERNORTHWES-HQ,XX,,,Headquarters
CMT-0143,Calucem Incorporatedorporated,Company,Calucem,CALUCEM INCORPORATEDORPORATED,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.078,,US,,,Cement
CELANESE-001,Celanese,Chemicals,Celanese Corporation,CELANESE,Contains,All,True,Chemical manufacturer - Mexico and Europe entities,9000000,CHM-XX-CELANESE-HQ,XX,,,Headquarters
CMT-0085,Cemeco Trading LLC,Company,Cemeco Trading LLC,CEMECO TRADING LLC,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.237,,US,,,Cement
CMT-0139,Cemco Trading LLC,Company,Cemeco Trading LLC,CEMCO TRADING LLC,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.083,,US,,,Cement
CMT-0141,Cement It Incorporatedorporated,Company,Cement It,CEMENT IT INCORPORATEDORPORATED,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.082,,US,,,Cement
CMT-0242,Cementco Usa LLC,Company,Cementco Usa LLC,CEMENTCO USA LLC,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.016,,US,,,Cement
CMT-0176,Cementos Progreso S.A.,Company,Cementos Progreso S.A.,CEMENTOS PROGRESO SA,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.047,,US,,,Cement
CMT-0054,Cemex Puerto Rico Incorporatedorporated,Company,Cemex,CEMEX PUERTO RICO INCORPORATEDORPORATED,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.546,,US,,,Cement
CMT-0084,Cemex Companynstruction Materials Pacific LLC,Company,Cemex,CEMEX COMPANYNSTRUCTION MATERIALS PACIFIC,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.244,,US,,,Cement
CMT-0053,Cemex Incorporatedorporated,Company,Cemex,CEMEX INCORPORATEDORPORATED,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.558,,US,,,Cement
CMT-0049,Cemex Southeast LLC,Company,Cemex,CEMEX SOUTHEAST LLC,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.619,,US,,,Cement
CMT-0251,Cemex Companynstruction Materials South,Company,Cemex,CEMEX COMPANYNSTRUCTION MATERIALS SOUTH,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.01,,US,,,Cement
