commodity,commodity_class,class_name,first_date,last_date,years_active,distinct_vessels,ports,countries,certificates,total_metric_tons,avg_annual_metric_tons,wtd_avg_sf,wtd_avg_sf_untrimmed,wtd_avg_test_weight,min_sf,max_sf
CORN,YC,Yellow Corn,1983-01-02,2026-02-05,44,15715,8,153,67717,1801568750.0,40944744.0,48.89,51.82,57.05,34.99,61.22
SOYBEANS,YSB,Yellow Soybeans,1983-01-02,2026-02-05,44,12708,9,99,40776,1265263095.0,28755979.0,50.04,53.04,55.82,45.04,545.61
WHEAT,HRW,Hard Red Winter,1983-01-03,2026-02-04,44,9304,9,148,25268,440800489.0,10018193.0,45.69,48.43,61.04,35.94,49.48
WHEAT,HRS,Hard Red Spring,1983-01-03,2026-02-05,44,8016,9,134,23043,285826909.0,6496066.0,45.5,48.23,61.3,35.29,52.64
WHEAT,SRW,Soft Red Winter,1983-01-05,2026-02-05,44,5299,9,119,11551,175501310.0,3988666.0,46.92,49.73,59.45,36.05,52.54
WHEAT,SWW,Soft White Wheat,1990-05-01,2026-02-04,37,4691,8,57,11744,174789371.0,4724037.0,45.29,48.0,61.58,33.28,49.49
SORGHUM,S,Sorghum,1993-06-03,2026-02-05,34,3381,6,62,6255,131478885.0,3867026.0,47.85,50.72,58.28,45.04,50.7
SORGHUM,YS,Yellow Sorghum,1983-01-04,1993-05-29,11,1592,9,54,3527,52269120.0,4751738.0,48.04,50.93,58.04,46.24,50.69
WHEAT,WW,Western White Wheat,1983-01-02,1990-04-28,8,1066,4,35,3210,39985966.0,4998246.0,45.64,48.38,61.1,40.06,47.98
WHEAT,DUWH,Durum Wheat,1983-01-03,2026-01-28,44,2027,9,55,4144,39665028.0,901478.0,45.82,48.57,60.87,42.08,49.57
CORN,WHC,White Corn,1983-03-15,2026-02-05,44,1966,5,32,2778,32759819.0,744541.0,46.72,49.52,59.69,44.23,58.45
BARLEY,BAR,Barley,1985-10-03,2017-05-27,32,812,7,38,1620,26739160.0,835599.0,55.68,59.02,50.15,47.68,64.94
WHEAT,XWHT,Unclassed/Mixed Wheat,1983-02-18,2026-01-21,31,178,5,34,216,4976047.0,160518.0,45.67,48.42,61.09,43.63,51.24
BARLEY,,BARLEY,1983-01-04,1985-09-26,3,187,5,23,333,4118381.0,1372794.0,55.93,59.29,49.85,55.93,55.93
SUNFLOWER,,SUNFLOWER,1983-04-18,2001-12-12,13,187,2,13,364,2906130.0,223548.0,96.41,102.19,28.97,88.85,116.07
WHEAT,HDWH,Hard White Wheat,1991-11-27,2022-09-08,28,126,4,20,204,2058346.0,73512.0,45.31,48.03,61.56,43.91,47.83
CANOLA,,CANOLA,1992-08-18,2025-07-24,21,60,3,11,67,819482.0,39023.0,56.18,59.55,49.63,55.43,56.19
FLAXSEED,,FLAXSEED,1983-04-15,2012-12-04,17,50,1,3,58,521983.0,30705.0,55.64,58.98,50.11,54.35,56.85
CANOLA,K,Canola,2013-10-04,2020-12-09,8,25,2,2,25,435325.0,54416.0,56.06,59.42,49.74,54.5,57.0
MIXED,,MIXED,1992-03-14,1992-08-04,1,11,1,1,18,213841.0,213841.0,46.41,49.2,60.08,45.31,47.06
RYE,,RYE,1983-09-19,1989-09-07,6,20,3,8,21,139913.0,23319.0,47.66,50.52,58.5,47.21,48.52
SOYBEANS,,SOYBEANS,2025-12-30,2025-12-30,1,1,1,1,1,67498.0,67498.0,50.1,53.11,55.65,50.1,50.1
SORGHUM,WHS,White Sorghum,1991-04-10,2017-01-27,3,3,2,3,3,62342.0,20781.0,47.4,50.24,58.82,46.77,47.66
OATS,,OATS,1983-07-05,1996-10-19,6,9,2,2,10,17612.0,2935.0,65.61,69.54,42.57,62.23,70.02
FLAXSEED,FLAX,Flaxseed,2016-04-27,2016-10-27,1,2,1,1,2,11500.0,11500.0,55.68,59.02,50.08,55.66,55.71
CORN,XC,Mixed Corn,1989-06-09,2024-06-20,4,5,2,4,5,6950.0,1738.0,47.18,50.01,59.11,46.24,48.83
