commodity,class_code,class_name,grade_code,grade_name,records,avg_test_weight,min_test_weight,max_test_weight,median_test_weight,avg_sf_ft3_per_lt,median_sf_ft3_per_lt,avg_sf_untrimmed_ft3_per_lt,median_sf_untrimmed_ft3_per_lt
BARLEY,BAR,Barley,2 O/B,US No. 2 or Better,1443,50.02,45.33,58.48,49.73,55.83,56.06,59.18,59.43
BARLEY,BAR,Barley,3 O/B,US No. 3 or Better,111,49.84,45.04,57.06,49.5,56.1,56.32,59.46,59.7
BARLEY,BAR,Barley,4 O/B,US No. 4 or Better,33,53.91,51.7,56.27,53.25,51.76,52.36,54.86,55.5
BARLEY,BAR,Barley,1,US No. 1,17,53.8,49.4,56.59,54.23,51.9,51.41,55.01,54.5
BARLEY,BAR,Barley,2,US No. 2,6,52.17,48.05,55.69,52.07,53.57,53.57,56.79,56.78
BARLEY,BAR,Barley,,Ungraded,4,49.85,49.85,49.85,49.85,55.93,55.93,59.29,59.29
BARLEY,BAR,Barley,4,US No. 4,2,52.01,51.09,52.93,52.01,53.62,53.62,56.85,56.85
BARLEY,BAR,Barley,5,US No. 5,1,42.93,42.93,42.93,42.93,64.94,64.94,68.84,68.84
BARLEY,BAR,Barley,SG O/B,Sample Grade or Better,1,54.96,54.96,54.96,54.96,50.73,50.73,53.77,53.77
BARLEY,BAR,Barley,3,US No. 3,1,49.0,49.0,49.0,49.0,56.9,56.9,60.31,60.31
BARLEY,BAR,Barley,5 O/B,US No. 5 or Better,1,50.71,50.71,50.71,50.71,54.98,54.98,58.28,58.28
BARLEY,,BARLEY,2 O/B,US No. 2 or Better,264,49.85,49.85,49.85,49.85,55.93,55.93,59.29,59.29
BARLEY,,BARLEY,3 O/B,US No. 3 or Better,55,49.85,49.85,49.85,49.85,55.93,55.93,59.29,59.29
BARLEY,,BARLEY,2,US No. 2,7,49.85,49.85,49.85,49.85,55.93,55.93,59.29,59.29
BARLEY,,BARLEY,1,US No. 1,5,49.85,49.85,49.85,49.85,55.93,55.93,59.29,59.29
BARLEY,,BARLEY,3,US No. 3,2,49.85,49.85,49.85,49.85,55.93,55.93,59.29,59.29
CANOLA,K,Canola,SG O/B,Sample Grade or Better,14,49.69,48.91,50.67,49.61,56.11,56.21,59.48,59.58
CANOLA,K,Canola,SG,Sample Grade,7,49.61,49.56,49.62,49.62,56.2,56.19,59.57,59.56
CANOLA,K,Canola,2 O/B,US No. 2 or Better,3,49.62,49.62,49.62,49.62,56.19,56.19,59.56,59.56
CANOLA,K,Canola,1,US No. 1,1,51.16,51.16,51.16,51.16,54.5,54.5,57.77,57.77
CANOLA,,CANOLA,1,US No. 1,61,49.63,49.62,50.3,49.62,56.18,56.19,59.55,59.56
CANOLA,,CANOLA,SG,Sample Grade,2,49.62,49.62,49.62,49.62,56.19,56.19,59.56,59.56
CANOLA,,CANOLA,3 O/B,US No. 3 or Better,2,49.62,49.62,49.62,49.62,56.19,56.19,59.56,59.56
CANOLA,,CANOLA,2,US No. 2,1,49.62,49.62,49.62,49.62,56.19,56.19,59.56,59.56
CANOLA,,CANOLA,2 O/B,US No. 2 or Better,1,49.62,49.62,49.62,49.62,56.19,56.19,59.56,59.56
CORN,WHC,White Corn,2 O/B,US No. 2 or Better,1532,59.55,55.7,63.03,59.62,46.83,46.76,49.64,49.57
CORN,WHC,White Corn,1,US No. 1,814,59.71,56.1,62.55,59.72,46.7,46.69,49.5,49.49
CORN,WHC,White Corn,2,US No. 2,268,59.37,55.0,62.25,59.5,46.97,46.86,49.79,49.67
CORN,WHC,White Corn,3 O/B,US No. 3 or Better,68,59.62,56.61,62.2,59.88,46.79,46.56,49.6,49.36
CORN,WHC,White Corn,3,US No. 3,56,58.79,52.8,61.0,59.2,47.46,47.1,50.31,49.92
CORN,WHC,White Corn,4,US No. 4,12,58.79,54.0,61.5,58.5,47.48,47.67,50.33,50.53
CORN,WHC,White Corn,SG,Sample Grade,8,58.82,56.3,60.02,59.44,47.42,46.91,50.27,49.72
CORN,WHC,White Corn,OT,OT,7,57.32,57.32,57.32,57.32,48.64,48.64,51.56,51.56
CORN,WHC,White Corn,5,US No. 5,4,55.4,47.7,58.8,57.55,50.69,48.45,53.73,51.36
CORN,WHC,White Corn,,Ungraded,3,57.41,57.32,57.6,57.32,48.56,48.64,51.48,51.56
CORN,WHC,White Corn,5 O/B,US No. 5 or Better,2,56.6,55.4,57.8,56.6,49.29,49.29,52.24,52.24
CORN,WHC,White Corn,NG,No Grade,2,59.71,59.29,60.13,59.71,46.7,46.7,49.5,49.5
CORN,WHC,White Corn,SGO/B,Sample Grade or Better,1,59.12,59.12,59.12,59.12,47.16,47.16,49.99,49.99
CORN,WHC,White Corn,SG O/B,Sample Grade or Better,1,59.4,59.4,59.4,59.4,46.94,46.94,49.75,49.75
CORN,XC,Mixed Corn,2,US No. 2,2,58.8,57.8,59.8,58.8,47.43,47.43,50.28,50.28
CORN,XC,Mixed Corn,2 O/B,US No. 2 or Better,2,59.65,59.0,60.3,59.65,46.75,46.75,49.55,49.55
CORN,XC,Mixed Corn,5,US No. 5,1,57.1,57.1,57.1,57.1,48.83,48.83,51.76,51.76
CORN,YC,Yellow Corn,2 O/B,US No. 2 or Better,34551,57.22,53.98,69.53,57.32,48.74,48.64,51.66,51.56
CORN,YC,Yellow Corn,3 O/B,US No. 3 or Better,24119,56.86,52.0,69.45,57.15,49.06,48.79,52.0,51.71
CORN,YC,Yellow Corn,2,US No. 2,3603,57.7,53.96,61.39,57.82,48.34,48.22,51.24,51.11
CORN,YC,Yellow Corn,1,US No. 1,2800,58.32,55.95,63.5,58.3,47.82,47.82,50.69,50.69
CORN,YC,Yellow Corn,3,US No. 3,1983,57.49,52.0,60.85,57.6,48.52,48.4,51.43,51.31
CORN,YC,Yellow Corn,4 O/B,US No. 4 or Better,189,56.55,49.5,59.67,56.96,49.35,48.95,52.31,51.88
CORN,YC,Yellow Corn,SG,Sample Grade,106,57.13,45.54,79.69,57.64,48.95,48.37,51.89,51.28
CORN,YC,Yellow Corn,4,US No. 4,92,55.54,49.5,60.4,56.3,50.32,49.52,53.34,52.5
CORN,YC,Yellow Corn,,Ungraded,84,57.15,54.44,57.32,57.32,48.79,48.64,51.72,51.56
CORN,YC,Yellow Corn,OT,OT,62,57.32,57.32,57.32,57.32,48.64,48.64,51.56,51.56
