year,port,commodity,vessels,certificates,metric_tons,long_tons,wtd_avg_sf,wtd_avg_sf_untrimmed,wtd_avg_test_weight,min_sf,max_sf,sf_stddev
1983,Columbia River,BARLEY,43,80,967748.0,952465.0,55.93,59.29,49.85,55.93,55.93,0.0
1983,Columbia River,CORN,21,22,963620.0,948403.0,48.64,51.56,57.32,48.64,48.64,0.0
1983,Columbia River,SOYBEANS,4,4,75985.0,74785.0,49.79,52.77,56.0,49.79,49.79,0.0
1983,Columbia River,WHEAT,305,1147,10722088.0,10552664.0,45.71,48.45,61.0,45.71,45.71,0.0
1983,Corpus Christi,CORN,4,5,13293.0,13084.0,48.64,51.56,57.32,48.64,48.64,0.0
1983,Corpus Christi,SORGHUM,65,101,723536.0,712111.0,47.86,50.73,58.26,47.86,47.86,0.0
1983,Corpus Christi,WHEAT,12,12,249547.0,245607.0,45.71,48.45,61.0,45.71,45.71,0.0
1983,Great Lakes,BARLEY,51,75,834819.0,821640.0,55.93,59.29,49.85,55.93,55.93,0.0
1983,Great Lakes,CORN,109,156,2087811.0,2054837.0,48.64,51.56,57.32,48.64,48.64,0.0
1983,Great Lakes,FLAXSEED,1,1,1025.0,1009.0,55.65,58.99,50.1,55.65,55.65,
1983,Great Lakes,OATS,2,2,4725.0,4651.0,64.29,68.14,43.37,64.29,64.29,0.0
1983,Great Lakes,RYE,4,4,23373.0,23004.0,47.59,50.45,58.58,47.59,47.59,0.0
1983,Great Lakes,SORGHUM,3,4,3455.0,3400.0,47.86,50.73,58.26,47.86,47.86,0.0
1983,Great Lakes,SOYBEANS,32,45,576295.0,567193.0,49.79,52.77,56.0,49.79,49.79,0.0
1983,Great Lakes,SUNFLOWER,49,81,639902.0,629803.0,96.11,101.87,29.01,96.11,96.11,0.0
1983,Great Lakes,WHEAT,153,329,2821079.0,2776524.0,45.71,48.45,61.0,45.71,45.71,0.0
1983,Houston,CORN,63,72,1074274.0,1057310.0,48.64,51.56,57.32,48.64,48.64,0.0
1983,Houston,SORGHUM,61,144,1243222.0,1223585.0,47.86,50.73,58.26,47.86,47.86,0.0
1983,Houston,SOYBEANS,22,26,315967.0,310977.0,49.79,52.77,56.0,49.79,49.79,0.0
1983,Houston,WHEAT,363,511,12376822.0,12181350.0,45.71,48.45,61.0,45.71,45.71,0.0
1983,Lake Charles,SORGHUM,5,5,27568.0,27133.0,47.86,50.73,58.26,47.86,47.86,0.0
1983,Lake Charles,SOYBEANS,27,28,357440.0,351793.0,49.79,52.77,56.0,49.79,49.79,0.0
1983,Lake Charles,WHEAT,97,115,2546988.0,2506761.0,45.71,48.45,61.0,45.71,45.71,0.0
1983,Mississippi River,CORN,756,1166,30851223.0,30363979.0,48.64,51.56,57.32,48.64,48.64,0.0
1983,Mississippi River,OATS,1,1,1071.0,1054.0,64.29,68.14,43.37,64.29,64.29,
