Facility,Group,Commodity,ImportTons,ExportTons,TotalTons,Direction
Valero St Charles,Liquid Bulk,Petroleum,12273349.0,,12273349.0,Import
Nucor Steel,Dry Bulk,Ferrous Raw Materials,5136278.0,,5136278.0,Import
ADM Destrehan Buoys,Dry Bulk,Fertilizer,3455063.0,,3455063.0,Import
AST St James Buoys,Dry Bulk,Fertilizer,3219764.0,,3219764.0,Import
PBF Chalmette,Liquid Bulk,Petroleum,2299016.0,,2299016.0,Import
Nashville Ave,Break Bulk,Steel,1745358.0,,1745358.0,Import
110 Buoys,Dry Bulk,Fertilizer,1736292.0,,1736292.0,Import
Genesis Baton Rouge,Liquid Bulk,Petroleum,1556845.0,,1556845.0,Import
IMTT,Liquid Bulk,Agricultural,1532513.0,,1532513.0,Import
Copper Dockside Buoys,Dry Bulk,Ferrous Raw Materials,1472560.0,,1472560.0,Import
AST St James Buoys,Dry Bulk,Construction Materials,1441533.0,,1441533.0,Import
IMTT,Liquid Bulk,Petroleum,1381213.0,,1381213.0,Import
KMI Harvey,Liquid Bulk,Agricultural,1225239.0,,1225239.0,Import
Laplace Buoys,Dry Bulk,Ferrous Raw Materials,1209856.0,,1209856.0,Import
AST Meraux Buoys,Dry Bulk,Minerals & Ores,1209700.0,,1209700.0,Import
ARTCO 110-111 Buoys,Dry Bulk,Fertilizer,1094167.0,,1094167.0,Import
MPLX Garyville,Liquid Bulk,Petroleum,1085756.0,,1085756.0,Import
Copper Darrow Buoys,Dry Bulk,Ferrous Raw Materials,921560.0,,921560.0,Import
Noranda Alumina,Dry Bulk,Non-Ferrous Raw Materials,795779.0,,795779.0,Import
AST Meraux Buoys,Dry Bulk,Non-Ferrous Raw Materials,766199.0,,766199.0,Import
Ergon St James,Liquid Bulk,Petroleum,705106.0,,705106.0,Import
Plains St James,Liquid Bulk,Petroleum,690424.0,,690424.0,Import
ADM Destrehan Buoys,Break Bulk,General Cargo,681228.0,,681228.0,Import
Laplace Buoys,Break Bulk,General Cargo,649911.0,,649911.0,Import
AST St James Buoys,Dry Bulk,Non-Ferrous Raw Materials,619241.0,,619241.0,Import
ABT Burnside Buoys,Dry Bulk,Construction Materials,618566.0,,618566.0,Import
PCS Nitrogen,Liquid Bulk,Chemicals,580888.0,,580888.0,Import
AGG,Break Bulk,Steel,580662.0,,580662.0,Import
AST Meraux Buoys,Dry Bulk,Ferrous Raw Materials,521368.0,,521368.0,Import
AST St James Buoys,Dry Bulk,Minerals & Ores,514852.0,,514852.0,Import
AST Meraux Buoys,Dry Bulk,Fertilizer,502553.0,,502553.0,Import
