IMO,VesselName,TotalVoyages,CompleteVoyages,AvgInboundDurationHours,AvgOutboundDurationHours,AvgPortDurationHours,AvgVesselUtilizationPct,MostFrequentDischargeTerminal,TotalCargoEstimateTonnes,AvgCargoPerVoyageTonnes
1012919,Dreamboat,1,1,395.28,,,,,,
1013676,Aquadonna,1,1,81.55,13.60,36.85,27.9,Convent Marine Terminal,,
1013688,Soral,2,2,27.84,47.27,50.62,53.3,UBT Davant,,
1013705,African Lorikeet,2,1,24.05,7.63,132.38,80.7,AST Meraux Buoys,,
1013987,Jal Prerana,1,1,38.30,7.83,55.30,54.5,Valero Meraux,,
1014034,Seamerit,2,2,12.20,8.30,79.91,73.2,KMI Harvey,,
1014163,Crimson Sapphire,2,2,49.52,13.95,71.90,53.1,ABT Burnside,,
1014424,Brave Eagle,2,1,10.25,9.65,38.70,66.0,Nashville Ave,,
1014436,Brave Hawk,3,3,96.44,15.22,77.64,42.3,Cargill Westwego,,
1014589,Aquaglory,1,1,30.78,12.42,107.48,71.3,Cargill Reserve,,
1014606,Sea Goat,1,1,25.88,7.12,134.93,80.3,AST Meraux Buoys,,
1014618,Bird Of Paradise,1,1,9.78,223.57,49.05,17.4,7th Street,,
1014644,Yasa Sun,1,1,222.82,5.63,97.08,29.8,Cenex Harvest States,,
1014840,Allegra,1,1,35.08,10.50,132.83,74.5,Reserve Buoys,,
1014864,Invictus,1,0,,,,,Valero St Charles,,
1014967,Carpe Diem,1,1,527.62,22.60,67.80,11.0,Cenex Harvest States,,
1015325,Anneliese,2,2,74.26,12.00,97.68,56.3,Bunge Destrehan,,
1015349,Century Beijing,1,1,39.13,131.57,95.32,35.8,AST St James Buoys,,
1015519,Maple Island,3,3,29.81,76.73,88.58,45.7,AST Arabi Dolphins,,
1015741,Hsl Geraldton,1,1,142.90,8.70,68.97,31.3,Cargill Westwego,,
1016496,Opal Wealth,1,1,83.87,12.25,84.32,46.7,Cargill Reserve,,
1018030,Desert Lion,1,1,44.35,45.48,89.47,49.9,AGG,,
1018133,Ssi Daring II,1,1,179.88,13.55,25.72,11.7,Zen-Noh,,
1018872,Silver Moon,2,2,29.80,8.77,74.44,59.9,KMI Harvey,,
1019840,Xh Deep Cover,1,1,80.32,19.58,141.22,58.6,Dreyfuss,,
1020447,Bbc Neptune,2,1,8.58,224.17,153.15,39.7,AST Chalmette Slip,,
1020459,Bbc Pluto,1,1,125.68,12.50,40.28,22.6,Cargill Reserve,,
1021374,Cl Spruce,1,1,9.98,288.78,29.58,9.0,AST Arabi Dolphins,,
1022706,Stena Continent,2,2,30.38,9.05,108.77,73.5,KMI Harvey,,
1023968,America,1,1,59.82,6.28,47.78,42.0,Cenex Harvest States,,
1024211,Avra,1,1,98.65,13.10,96.40,46.3,Cargill Reserve,,
1024429,Ssi Formidable II,1,1,10.38,8.87,46.68,70.8,Nashville Ave,,
1024431,African Sandpiper,1,0,,,,,,,
1024649,Bh Power,1,1,264.93,12.20,94.17,25.4,ADM Reserve,,
1026491,Shandong Xin Xing,1,0,,,,,Cargill Reserve,,
1026506,Shandong Xin Fu,1,1,170.28,12.07,55.78,23.4,ADM Reserve,,
1026544,Shandong Xin Shun,2,1,107.90,11.07,80.70,40.4,Bunge Destrehan,,
1026568,Shan Dong Xin Xiang,1,1,85.23,40.35,22.47,15.2,Zen-Noh,,
1026879,Intelligence Diva,1,1,9.33,146.35,74.35,32.3,AST Chalmette Buoys,,
1027809,Aqualucky,2,2,138.44,13.04,83.50,41.4,Copper Darrow Buoys,,
1027897,Marex Nina,1,1,78.42,,,,,,
1028188,Nord Bay,1,1,176.77,12.38,72.68,27.8,ADM Reserve,,
