IMO_Clean,IMO_Original,VesselName,ShipType,DWT,Draft_m,TPC,MatchQuality
1004156,1004156,SUMURUN,,0,3.32,0.0,Exact
1004338,1004338,MAKAI,,0,1.52,0.0,Exact
1006025,1006025,ARRIVEDERCI IV,,0,1.2,0.0,Exact
1007823,1007823,LEVERAGE,,66,2.395,0.0,Exact
1011903,1011903,W,,0,3.45,0.0,Exact
1012270,1012270,ADVENTURESS,,0,2.9,0.0,Exact
1012373,1012373,ONIKA,,0,2.29,0.0,Exact
1012531,1012531,AMADEA,,559,4.1,0.0,Exact
1012995,1012995,COLUMBIA,,0,2.91,0.0,Exact
1013169,1013169,MSC SERENA,Containership-Sub New Panamax,139000,16.0,0.0,Exact
1013171,1013171,MSC ELIANA,Containership-Sub New Panamax,139000,16.0,0.0,Exact
1013315,1013315,MARTA COSULICH,"Tanker-7,500-9,999dwt",7957,7.07,17.5,Exact
1013327,1013327,MARINE GINZA,"Tanker-7,500-9,999dwt",7950,7.07,17.5,Exact
1013432,1013432,JFE KOKURYU,Ro-ro cargo <=499 LM,5026,5.168,0.0,Exact
1013602,1013602,MERANTI 706,,240,0.0,0.0,Exact
1013638,1013638,SG DAWN,Bulk Carrier-Newcastlemax,210125,18.436,0.0,Exact
1013640,1013640,CAPE SUZURAN,Bulk Carrier-Capesize,182098,18.246,0.0,Exact
1013652,1013652,BOOTES,Bulk Carrier-Handymax,40093,10.483,0.0,Exact
1013664,1013664,AFRICAN PEACOCK,Bulk Carrier-Handymax,40093,10.483,0.0,Exact
1013676,1013676,AQUADONNA,Bulk Carrier-Supra/Ultramax,63526,13.53,0.0,Exact
1013688,1013688,SORAL,Bulk Carrier-Supra/Ultramax,63771,13.526,0.0,Exact
1013690,1013690,TRINITY ISLAND,Bulk Carrier-Handymax,40490,10.49,0.0,Exact
1013705,1013705,AFRICAN LORIKEET,Bulk Carrier-Supra/Ultramax,63425,13.53,0.0,Exact
1013717,1013717,HONG FA 199,,11082,6.1,0.0,Exact
