VesselName,EventCount,VesselType,Recommendation
"Allisonk",6028,"Unknown","EXCLUDE - Likely dredge/service vessel"
"Allins K",1671,"Unknown","EXCLUDE - Likely dredge/service vessel"
"Keeneland",709,"Unknown","EXCLUDE - Likely dredge/service vessel"
"Chesapeake Bay",375,"Unknown","EXCLUDE - Likely dredge/service vessel"
"Jadwin Discharge",250,"Unknown","EXCLUDE - Likely dredge/service vessel"
"Dixie Raider",167,"Unknown","EXCLUDE - Likely dredge/service vessel"
"Jesse A Mollineaux",99,"Unknown","REVIEW - High activity"
"Gol Warrior",92,"Unknown","REVIEW - High activity"
"Amy Clemons Mccall",61,"Unknown","REVIEW - High activity"
"Sarah Dann",42,"Unknown","KEEP - Low activity"
"French Warship",21,"Unknown","KEEP - Low activity"
"Bella Margherita",17,"Unknown","KEEP - Low activity"
"Usace Mat Sink Unit",16,"Unknown","KEEP - Low activity"
"Kenny Billiot Jr",15,"Unknown","KEEP - Low activity"
"Kritical Mass",13,"Unknown","KEEP - Low activity"
"Shop",11,"Unknown","KEEP - Low activity"
"Terrel Williams",10,"Unknown","KEEP - Low activity"
"Lady Sandals",9,"Unknown","KEEP - Low activity"
"Nao Santa Maria",9,"Unknown","KEEP - Low activity"
"m Mumbai",8,"Unknown","KEEP - Low activity"
"Valor Tender Boat 20",8,"Unknown","KEEP - Low activity"
"T Jungfrau",8,"Unknown","KEEP - Low activity"
"Rbns Mashhoor",8,"Unknown","KEEP - Low activity"
"Rayshell Lee",8,"Unknown","KEEP - Low activity"
"Heino",7,"Unknown","KEEP - Low activity"
"Us Gov Vessel",6,"Unknown","KEEP - Low activity"
"Strategic Savannah",6,"Bulk","KEEP - Low activity"
"Sea Rhino",6,"Unknown","KEEP - Low activity"
"Gisdylan",5,"Unknown","KEEP - Low activity"
"Abc Test",5,"Unknown","KEEP - Low activity"
"Shameless",4,"Unknown","KEEP - Low activity"
"Leviathan 1",4,"Unknown","KEEP - Low activity"
"Corinthian",4,"Unknown","KEEP - Low activity"
"Al Sloss",4,"Unknown","KEEP - Low activity"
"Ais Escort",4,"Unknown","KEEP - Low activity"
"Oasis",4,"Unknown","KEEP - Low activity"
"Lady Zelda",3,"Unknown","KEEP - Low activity"
"Kookaburra",3,"Unknown","KEEP - Low activity"
"Rbns Alareen",3,"Unknown","KEEP - Low activity"
"Rv Savannah",3,"Unknown","KEEP - Low activity"
"Alliance",2,"Unknown","KEEP - Low activity"
"Weeks Const Crew Bt",2,"Unknown","KEEP - Low activity"
"Ncl Escape Rb Sb",2,"Unknown","KEEP - Low activity"
"B Ware",2,"Unknown","KEEP - Low activity"
"Carnival Valor Rb2",2,"Unknown","KEEP - Low activity"
"Egret",2,"Unknown","KEEP - Low activity"
"Eva",2,"Unknown","KEEP - Low activity"
"Wildchild",2,"Unknown","KEEP - Low activity"
"Vamoose",2,"Unknown","KEEP - Low activity"
"Carnival Liberty Rb2",1,"Unknown","KEEP - Low activity"
"Carnival Liberty Rb1",1,"Unknown","KEEP - Low activity"
"Dream Star",1,"Unknown","KEEP - Low activity"
"Fatso",1,"Unknown","KEEP - Low activity"
"Hosanna",1,"Unknown","KEEP - Low activity"
"Sundog",1,"Unknown","KEEP - Low activity"
