state,parent_company,facilities,facility_types
AK,ANCHORAGE SAND,3,"Precast & Other, Ready-Mix Concrete, Concrete Block & Brick"
AK,COLASKA DBA,1,Ready-Mix Concrete
AK,HALLIBURTON BULK,1,Cement Manufacturing
AK,HALLIBURTON ENERGY,1,Cement Manufacturing
AK,KLONDIKE,1,Ready-Mix Concrete
AK,SOUTHEAST ROAD,1,Ready-Mix Concrete
AL,HANSON PIPE,21,"Concrete Pipe, Other, Precast & Other, Concrete Block & Brick"
AL,BAMA BIRMINGHAM,11,"Ready-Mix Concrete, Other, Concrete Block & Brick"
AL,USA,11,"Ready-Mix Concrete, Precast & Other, Cement Manufacturing"
AL,CEMEX USA,8,"Ready-Mix Concrete, Other"
AL,AMERICAN SUPPLY,7,Ready-Mix Concrete
AL,SHERMAN N,6,"Precast & Other, Other, Concrete Block & Brick, Ready-Mix Concrete"
AL,HEIDELBERG SOUTHEAST,4,"Ready-Mix Concrete, Precast & Other"
AL,KIRKPATRICK,4,"Precast & Other, Ready-Mix Concrete, Other"
AL,SHERMAN,4,"Concrete Block & Brick, Ready-Mix Concrete, Other"
AL,BLAIR BLOCK,3,"Concrete Block & Brick, Ready-Mix Concrete"
AL,BLOCK USA,3,"Concrete Block & Brick, Ready-Mix Concrete"
AL,BUILDERS SUPPLY,3,"Ready-Mix Concrete, Concrete Block & Brick"
AL,CEMEX,3,"Cement Manufacturing, Other"
AL,CULLMAN,3,"Precast & Other, Ready-Mix Concrete, Concrete Block & Brick"
AL,GATE,3,"Precast & Other, Other"
AL,JAMES HARDIE,3,Precast & Other
AL,MMC,3,Ready-Mix Concrete
AL,SHELBY,3,Ready-Mix Concrete
AL,SHERMAN CITY,3,"Ready-Mix Concrete, Precast & Other, Other"
AL,SMYRNA,3,"Ready-Mix Concrete, Concrete Block & Brick"
AL,USA LAKESHORE,3,"Ready-Mix Concrete, Precast & Other"
AL,USA PHENIX,3,"Other, Ready-Mix Concrete"
AL,ALABAMA,2,Ready-Mix Concrete
AL,ALABAMA STRINGFIELD,2,"Ready-Mix Concrete, Other"
AL,ARGOS EUFAULA,2,"Ready-Mix Concrete, Other"
AL,ARGOS ROBERTA,2,"Other, Cement Manufacturing"
AL,BAY,2,Ready-Mix Concrete
AL,FOLEY,2,Concrete Pipe
AL,HEIDELBERG,2,"Other, Ready-Mix Concrete"
AL,JENKINS BRICK,2,Concrete Block & Brick
AL,KERR'S REDI,2,"Other, Ready-Mix Concrete"
AL,KIRKPATRICK PELL,2,Ready-Mix Concrete
AL,LAFARGE DECATUR,2,"Other, Ready-Mix Concrete"
AL,LAFARGE DOTHAN,2,"Other, Ready-Mix Concrete"
AL,LAFARGE GULF,2,"Ready-Mix Concrete, Other"
AL,LAFARGE LILLIAN,2,"Other, Ready-Mix Concrete"
AL,LAFARGE STATE,2,"Other, Ready-Mix Concrete"
AL,LAFARGE THEODORE,2,"Other, Ready-Mix Concrete"
AL,LAFARGE TUSCALOOSA,2,"Other, Ready-Mix Concrete"
AL,LAKESHORE BATCH,2,"Ready-Mix Concrete, Precast & Other"
AL,LANE,2,Ready-Mix Concrete
AL,MODULAR CONNECTIONS,2,"Precast & Other, Ready-Mix Concrete"
AL,MOON SERVICES,2,Ready-Mix Concrete
AL,NATIONAL ALABAMA,2,"Other, Cement Manufacturing"
AL,NOV AMERON,2,"Precast & Other, Other"
AL,OCONEE,2,Ready-Mix Concrete
AL,SEQUATCHIE SERVICE,2,"Concrete Block & Brick, Ready-Mix Concrete"
AL,SHERMAN PRATTVILLE,2,Ready-Mix Concrete
AL,TUSKEGEE,2,Ready-Mix Concrete
AL,USA CEMEX,2,"Ready-Mix Concrete, Other"
AL,USA METRO,2,"Other, Ready-Mix Concrete"
AL,USA TARRANT,2,Ready-Mix Concrete
AL,WARRIOR,2,Ready-Mix Concrete
AL,WAYNE DAVIS,2,Ready-Mix Concrete
AL,1,1,Ready-Mix Concrete
AL,2 LOXLEY,1,Ready-Mix Concrete
AL,4 MALCOLM,1,Ready-Mix Concrete
AL,ALABAMA BRAGG,1,Ready-Mix Concrete
AL,ALABAMA BURGREEN,1,Ready-Mix Concrete
AL,ALABAMA JASPER,1,Ready-Mix Concrete
AL,ALABAMA MITCHELL,1,Ready-Mix Concrete
AL,ALABAMA POWER,1,Ready-Mix Concrete
AL,ALABASTER,1,Ready-Mix Concrete
AL,ALBERTVILLE,1,Ready-Mix Concrete
AL,ALCRETE,1,Ready-Mix Concrete
AL,ALL AMERICAN,1,Ready-Mix Concrete
AL,ALLIED,1,Cement Manufacturing
AL,AM/NS CALVERT,1,Ready-Mix Concrete
AL,ANNISTON,1,Ready-Mix Concrete
AL,ANNISTON MOBILE,1,Ready-Mix Concrete
AL,ARAB,1,Ready-Mix Concrete
AL,AXIS BATCH,1,Ready-Mix Concrete
AL,BALDWIN LIGHTING,1,Precast & Other
AL,BALDWIN SPANISH,1,Ready-Mix Concrete
AL,BALLARD COTTONDALE,1,Ready-Mix Concrete
AL,BALLARD DEER,1,Ready-Mix Concrete
AL,BALLARD NORTHPORT,1,Ready-Mix Concrete
AL,BAMA HUNTSVILLE,1,Ready-Mix Concrete
AL,BAMA MUSCLE,1,Ready-Mix Concrete
AL,BAMA NORTHPORT,1,Ready-Mix Concrete
AL,BAMA PROD,1,Ready-Mix Concrete
AL,BAMA TUSCALOOSA,1,Ready-Mix Concrete
AL,BAMA WHITSON,1,Ready-Mix Concrete
AL,BAYOU,1,Other
AL,BAYOU AM/NS,1,Ready-Mix Concrete
AL,BAYOU CANAL,1,Ready-Mix Concrete
AL,BAYOU CREOLA,1,Ready-Mix Concrete
AL,BAYOU FOLEY,1,Ready-Mix Concrete
AL,BAYOU JACKSON,1,Ready-Mix Concrete
AL,BAYOU MCINTOSH,1,Ready-Mix Concrete
AL,BIRMINGHAM,1,Ready-Mix Concrete
AL,BIRMINGPORT BARGE,1,Cement Manufacturing
AL,BRIDGE BUILDERS,1,Ready-Mix Concrete
AL,BROTHERS SUPPLY,1,Ready-Mix Concrete
AL,BROWNS CONSTRUCTION,1,Ready-Mix Concrete
AL,BUDDY'S SAND,1,Ready-Mix Concrete
AL,BULLARD FLORALA,1,Ready-Mix Concrete
AL,C &,1,Ready-Mix Concrete
AL,CALHOUN COUNTY,1,Ready-Mix Concrete
AL,CASTONE,1,Precast & Other
AL,CEMEX BIRMINGHAM,1,Cement Manufacturing
AL,CEMEX DEMOPOLIS,1,Cement Manufacturing
AL,CEMEX SOUTHEAST,1,Precast & Other
AL,CENTRAL,1,Ready-Mix Concrete
AL,COASTAL,1,Ready-Mix Concrete
AL,COASTAL MCINTOSH,1,Ready-Mix Concrete
AL,COASTAL THEODORE,1,Ready-Mix Concrete
AL,CONN EQUIPMENT,1,Ready-Mix Concrete
AL,COSBY CARMICHAEL,1,Other
AL,COUCH INLAND,1,Ready-Mix Concrete
AL,CUSTOM WALLS,1,Ready-Mix Concrete
AL,D C,1,Ready-Mix Concrete
AL,DCA DECATUR,1,Ready-Mix Concrete
AL,DCA USA,1,Ready-Mix Concrete
AL,DELTA,1,Ready-Mix Concrete
AL,DEPENDABLE BAGGING,1,Cement Manufacturing
AL,DORIC,1,Concrete Block & Brick
AL,ENTERPRISE,1,Ready-Mix Concrete
AL,EVERGREEN,1,Ready-Mix Concrete
AL,FAIRHOPE,1,Ready-Mix Concrete
AL,FIREROCK,1,Concrete Block & Brick
AL,FLORENCE BLOCK,1,Concrete Block & Brick
AL,FOLEY ATHENS,1,Concrete Pipe
AL,FOLEY CLANTON,1,Concrete Pipe
AL,FOLEY CULLMAN,1,Concrete Pipe
AL,FORT PAYNE,1,Ready-Mix Concrete
AL,GADSDEN,1,Ready-Mix Concrete
AL,GARDENDALE,1,Ready-Mix Concrete
AL,GOLDEN TRIANGE,1,Ready-Mix Concrete
AL,GRASSELLI,1,Precast & Other
AL,GULF SHORES,1,Ready-Mix Concrete
AL,GULF STATES,1,Ready-Mix Concrete
AL,GULF WILBERT,1,Precast & Other
AL,GUNTERSVILLE,1,Ready-Mix Concrete
AL,HEIDELBERG LEEDS,1,Other
AL,HENRY BRICK,1,Concrete Block & Brick
AL,HM SOUTHEAST,1,Cement Manufacturing
AL,HOBBS ISLAND,1,Ready-Mix Concrete
AL,HOLBROOK,1,Concrete Block & Brick
AL,HOLCIM US,1,Cement Manufacturing
AL,HOLNAM,1,Cement Manufacturing
AL,IKARD SEPTIC,1,Precast & Other
AL,INDIAN SPRINGS,1,Ready-Mix Concrete
AL,ISBELL HUNTSVILLE,1,Ready-Mix Concrete
AL,JOHNSON BROS,1,Precast & Other
AL,KIRKPATRICK 13,1,Concrete Block & Brick
AL,KIRKPATRICK CROSSVILLE,1,Ready-Mix Concrete
