parent_company,facility_type,facility_count,states
#1,Ready-Mix Concrete,1,KS
#11 MAN,Ready-Mix Concrete,1,KS
#13,Ready-Mix Concrete,1,FL
#20,Ready-Mix Concrete,1,KS
#3,Ready-Mix Concrete,1,UT
#32 PORTABLE,Ready-Mix Concrete,1,KS
#33 AIR,Ready-Mix Concrete,1,KS
#34 AIR,Cement Manufacturing,1,KS
#34 AIR,Ready-Mix Concrete,1,KS
#35 PORTABLE,Ready-Mix Concrete,1,KS
#36 AIR,Other,1,KS
#36 AIR,Ready-Mix Concrete,1,KS
#4,Ready-Mix Concrete,1,UT
#4 BUCKEYE,Ready-Mix Concrete,1,AZ
#5,Ready-Mix Concrete,1,KS
#5 AIRPORT,Ready-Mix Concrete,1,KS
#8 AIRPORT,Ready-Mix Concrete,1,KS
#9,Ready-Mix Concrete,1,KS
#9 JC,Ready-Mix Concrete,1,KS
& BLOCK,Concrete Block & Brick,1,IL
& BUILDING,Ready-Mix Concrete,2,KS
& CONSTRUCTION,Ready-Mix Concrete,1,TN
& L,Ready-Mix Concrete,1,IL
& L'S,Ready-Mix Concrete,1,IL
& M,Ready-Mix Concrete,1,ME
& READY,Ready-Mix Concrete,2,CA
& READY,Cement Manufacturing,1,CA
& READY,Other,1,CA
& SUPPLY,Ready-Mix Concrete,5,CA
& SUPPLY,Other,4,CA
& SUPPLY,Cement Manufacturing,2,CA
& SUPPLY,Concrete Block & Brick,2,FL
& T,Ready-Mix Concrete,1,IN
& W,Ready-Mix Concrete,1,TN
/BLOCK,Other,1,KY
1,Other,1,CA
1,Ready-Mix Concrete,1,AL
1 11,Ready-Mix Concrete,1,WY
1 AGGREGATES,Ready-Mix Concrete,1,CA
1 BLOCK,Ready-Mix Concrete,6,FL
1 BLOCK,Concrete Block & Brick,5,FL
1 QUALITY,Ready-Mix Concrete,1,NM
10 SWPP,Ready-Mix Concrete,1,KS
10TH ST,Ready-Mix Concrete,1,FL
12,Ready-Mix Concrete,1,TN
120 CU,Ready-Mix Concrete,1,NM
121 CD,Precast & Other,1,PA
125 CU,Ready-Mix Concrete,1,NM
13,Ready-Mix Concrete,1,TX
15,Ready-Mix Concrete,1,TN
150 CU,Ready-Mix Concrete,1,NM
18,Ready-Mix Concrete,1,MO
18TH ST,Ready-Mix Concrete,1,NJ
2 LOXLEY,Ready-Mix Concrete,1,AL
200 CU,Ready-Mix Concrete,2,NM
2118 CROSSING,Ready-Mix Concrete,1,TX
22TPH BATCH,Ready-Mix Concrete,1,NM
24,Ready-Mix Concrete,1,TN
240TPH BATCH,Ready-Mix Concrete,2,NM
281 MIDWAY,Ready-Mix Concrete,1,PA
3,Ready-Mix Concrete,1,TX
350TPH BATCH,Ready-Mix Concrete,1,NM
3D,Ready-Mix Concrete,2,NV
3D PIERING,Ready-Mix Concrete,1,CO
3D TRICO,Ready-Mix Concrete,1,NV
4 MALCOLM,Ready-Mix Concrete,1,AL
4 TRANSPORT,Other,1,CA
404,Ready-Mix Concrete,1,SC
404 BATCH,Ready-Mix Concrete,1,GA
404 DRY,Ready-Mix Concrete,1,GA
4110 NOVA,Ready-Mix Concrete,1,FL
4300 CANAL,Ready-Mix Concrete,1,FL
43RD ST,Ready-Mix Concrete,1,PA
43RD STREET,Ready-Mix Concrete,1,PA
4D,Concrete Block & Brick,1,MI
5 KATY,Ready-Mix Concrete,1,TX
50 CUBIC,Ready-Mix Concrete,1,NM
500 TEMPORARY,Cement Manufacturing,1,UT
50TPH BATCH,Ready-Mix Concrete,1,NM
51,Ready-Mix Concrete,1,TN
51 MILLINGTON,Other,1,TN
51 RIPLEY,Ready-Mix Concrete,1,TN
520 PONTOON,Ready-Mix Concrete,1,WA
54TPH BATCH,Ready-Mix Concrete,1,NM
6,Ready-Mix Concrete,1,TX
60 CU,Ready-Mix Concrete,1,NM
65TH ST,Ready-Mix Concrete,1,AR
67 THEODOSIA,Ready-Mix Concrete,1,MO
7,Ready-Mix Concrete,1,TX
7 85TH,Other,1,MO
7 85TH,Ready-Mix Concrete,1,MO
7/11,Ready-Mix Concrete,5,CA
7/11,Other,3,CA
7/11,Precast & Other,1,CA
7/11 BISHOP,Ready-Mix Concrete,1,CA
7/11 HAIWEE,Ready-Mix Concrete,1,CA
70 W,Ready-Mix Concrete,1,CO
711 WELDON,Ready-Mix Concrete,1,CA
749 E,Ready-Mix Concrete,1,NY
76 MATERIAL,Concrete Pipe,1,MO
77 LEICESTER,Ready-Mix Concrete,2,MA
8 HOLMES,Ready-Mix Concrete,1,TX
8 PORT,Ready-Mix Concrete,1,MO
80 CU,Ready-Mix Concrete,1,NM
80TPH PUG,Ready-Mix Concrete,1,NM
82 BOWLING,Ready-Mix Concrete,1,MO
84 FLORENCE,Ready-Mix Concrete,1,SC
89 DILLON,Ready-Mix Concrete,1,SC
9,Ready-Mix Concrete,1,TX
95176 MARSHALL,Ready-Mix Concrete,1,MN
973,Ready-Mix Concrete,1,TX
A,Ready-Mix Concrete,7,FL
A&A,Ready-Mix Concrete,1,CA
A&A READY,Other,3,CA
A&A READY,Ready-Mix Concrete,2,CA
A&A SUPPLY,Other,3,CA
A&A SUPPLY,Cement Manufacturing,1,CA
A&A SUPPLY,Ready-Mix Concrete,1,CA
A1 QUALITY,Ready-Mix Concrete,1,NM
A1 REDIMIX,Ready-Mix Concrete,1,WA
AA,Concrete Pipe,1,FL
AA,Other,1,FL
AA,Precast & Other,1,FL
AA READY,Other,1,CA
AA READY,Ready-Mix Concrete,1,CA
AA ROBBINS,Concrete Block & Brick,1,PA
AA U,Ready-Mix Concrete,1,UT
AAA,Concrete Block & Brick,1,GA
AAA II,Ready-Mix Concrete,2,WA
AAA ZOELLNER,Ready-Mix Concrete,1,MO
AAC,Concrete Block & Brick,1,SC
AACTION RECYCLING,Concrete Pipe,1,FL
ABBOTT,Ready-Mix Concrete,2,CO
ABC BLOCK,Concrete Block & Brick,7,AR
ABC READY,Ready-Mix Concrete,2,KS
ABCAR BATCH,Ready-Mix Concrete,1,FL
ABERNATHY,Ready-Mix Concrete,1,TN
ABEST,Ready-Mix Concrete,1,IL
ABHW,Other,1,NC
ABHW,Ready-Mix Concrete,1,NC
ABILENE,Ready-Mix Concrete,1,TX
ABILENE #2,Ready-Mix Concrete,1,KS
ABILENE &,Ready-Mix Concrete,1,KS
ABILENE 1,Ready-Mix Concrete,1,TX
ABINGDON,Ready-Mix Concrete,1,VA
ABITUA SEWER,Ready-Mix Concrete,1,IL
ABRAM BELLEVILLE,Ready-Mix Concrete,2,KS
ABRAM BELOIT,Ready-Mix Concrete,1,KS
ABRAM CONCORDIA,Ready-Mix Concrete,1,KS
ABRAM DOWNS,Ready-Mix Concrete,1,KS
ABRAM LINCOLN,Ready-Mix Concrete,1,KS
ABRAM MINNEAPOLIS,Ready-Mix Concrete,1,KS
ABRAM READY,Ready-Mix Concrete,1,KS
ABRASIVE BLAST,Precast & Other,1,TX
ABSOLUTE,Ready-Mix Concrete,1,OH
AC MILLER,Precast & Other,1,PA
ACA,Precast & Other,2,CO
ACA,Ready-Mix Concrete,1,CO
ACA PORTABLE,Ready-Mix Concrete,1,CO
ACC HARRISONBURG,Ready-Mix Concrete,1,VA
ACC STAUNTON,Ready-Mix Concrete,1,VA
ACC WAYNESBORO,Ready-Mix Concrete,1,VA
ACC ZIONS,Ready-Mix Concrete,1,VA
