parent_company,total_facilities,states_present,unique_names,with_latitude,with_longitude
CEMEX,206,10,22,195,195
READY MIXED,109,8,68,103,103
HANSON PIPE,105,18,61,105,105
ARGOS USA,80,6,24,78,78
VCNA PRAIRIE,80,3,57,79,79
KNIFE RIVER,65,12,60,61,61
OLDCASTLE,65,22,8,65,65
ROBERTSON'S,64,2,5,61,61
HANSON AGGREGATES,55,3,28,54,54
HOLLIDAY ROCK,55,1,33,55,55
AMERICAN,52,12,20,52,52
WELLS,51,6,8,47,47
S &,49,10,39,48,48
CROELL REDI,48,5,41,43,43
IRVING,48,5,7,48,48
THOMAS CAROLINA,43,2,35,41,41
HOLCIM US,41,16,20,40,40
FORTERRA PIPE,39,12,19,39,39
PREFERRED,38,2,3,38,38
IMI,38,3,4,38,38
TARMAC AMERICA,38,2,13,36,36
MEYER MATERIAL,37,3,20,33,33
OLDCASTLE INFRASTRUCTURE,35,14,9,35,35
CENTRAL PRE,33,3,18,32,32
MARTIN MARIETTA,33,6,24,30,30
CENTRAL SUPPLY,32,3,19,30,30
GLACIER NORTHWEST,31,2,18,31,31
OLDCASTLE SW,31,2,16,15,15
SUPPLY,30,8,11,29,29
LAFARGE AMERICA,30,10,19,29,29
CENTRAL,30,11,14,24,24
SMYRNA,30,6,7,29,29
LAFARGE,30,8,9,25,25
BEST BLOCK,29,13,27,29,29
DAWKINS SITE,28,6,28,27,27
GENEVA ROCK,28,2,21,26,26
AGGREGATE WCR,28,1,18,24,24
S T,27,1,21,26,26
BATCH GCP5,27,1,22,7,7
PRAIRIE MATERIAL,26,1,9,19,19
ASH GROVE,26,9,14,23,23
USA,26,5,6,26,26
TRANSIT MIX,25,5,17,21,21
VCNA PRESTIGE,25,2,22,25,25
IMI TENNESSEE,25,1,22,23,23
HYDRO CONDUIT,24,10,13,21,21
ROCKINGHAM REDI,24,1,22,24,24
EMERY SAPP,24,3,20,13,13
OZINGA,22,2,6,20,20
APAC ATLANTIC,22,3,21,21,21
OLDCASTLE APG,22,11,16,22,22
CLARKSON CONSTRUCTION,21,2,16,7,7
CORESLAB STRUCTURES,21,10,13,21,21
SERVICE ROCK,21,2,12,21,21
THOMAS,21,4,5,21,21
VAN EATON,21,3,13,4,4
CEMEX ATLANTIC,21,4,13,19,19
SUPERIOR,21,9,10,19,19
COUNTY,20,6,4,20,20
CENTRAL SUPERMIX,20,1,12,19,19
GERHOLD,20,2,3,20,20
