Bill of Lading Number,Count,Arrival Date,Matching Fields,Consignee,Consignee Industry,Consignee (Original Format),Consignee Ultimate Parent,Shipper,Shipper (Original Format),Shipper Ultimate Parent,Carrier,Notify Party,Notify Party SCAC,Shipment Origin,Shipment Destination,Shipment Destination Region,Port of Unlading,Port of Unlading Region,Port of Unlading roll,Port of Lading,Port of Lading Region,Port of Lading Country,Place of Receipt,Transport Method,Cargo,Vessel,Vessel Voyage ID,Vessel IMO,Quantity,Measurement,Weight (kg), Weight (t) ,Weight (Original Format), Value of Goods (USD) ,FROB,Manifest Number,Inbond Code,Industry - GICS,Number of Containers,Container Numbers,HS Code,Goods Shipped,Container Type of Service
PCMV223015,1,8/8/2023,"Consignee: St Marys Cement Mary's Cement Co., Detroit Plant; Goods Shipped: Cement Clinker; Consignee (Original Format): St Marys Cement; Vessel: St Marys Cement Ii; Shipper (Original Format): St Marys Cement; Shipper: Mary's Cement Corp.; Notify Party: St Marys Cement",Votorantim,Construction Materials,"ST MARYS CEMENT
9333 DEARBORN RD
DETROIT, MICH., 48209",Hejoassu Administração S.A.,Votorantim,"ST MARYS CEMENT
400, Waverly Road South
Bowmanville
Ontario
L1C 3K3
Canada",Hejoassu Administração S.A.,PCMV - Port City Marine Services,"ST MARYS CEMENT
9333 DEARBORN RD., DETROIT, MICH., 48209",,Canada,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,Great Lakes,"Bath, Ont, Canada",North America,Canada,"CLEVELAND, OHIO",Maritime,CEMENT CLINKER,ST MARYS CEMENT II,3015,,1 DBK, ,13505278," 13,505 ",14887 ST," $7,833,000.00 ",,000001,,15102010,1,NC,Classified: 6904.10,CEMENT CLINKER,
PCMV223014,1,8/1/2023,"Consignee: St Marys Cement Mary's Cement Corp., Detroit Plant; Goods Shipped: Portland Cement; Consignee (Original Format): St Marys Cement; Vessel: St Marys Cement Ii; Shipper (Original Format): St Marys Cement; Shipper: Mary's Cement Corp.; Notify Party: St Marys Cement",Votorantim,Construction Materials,"ST MARYS CEMENT
250 JEFFERSON AVE
CLEVELAND, OHIO, 44113",Hejoassu Administração S.A.,Votorantim,"ST MARYS CEMENT
400, Waverly Road South
Bowmanville
Ontario
L1C 3K3
Canada",Hejoassu Administração S.A.,PCMV - Port City Marine Services,"ST MARYS CEMENT
250 JEFFERSON AVE., CLEVELAND, OHIO, 44113",,Canada,"Port Of Cleveland, Cleveland, Ohio",North Central Region,"Port Of Cleveland, Cleveland, Ohio",North Central Region,Great Lakes,"Bath, Ont, Canada",North America,Canada,"CLEVELAND, OHIO",Maritime,Portland,ST MARYS CEMENT II,3014,,1 DBK, ,8164674," 8,165 ",9000 ST," $914,000.00 ",,000001,,15102010,1,NC,Classified: 2523.21,PORTLAND CEMENT,
PCMV225006B,1,6/18/2025,"Consignee: St Marys Cement Mary's Cement Corp., Detroit Plant; Goods Shipped: Portland Cement In Bulk; Consignee (Original Format): St Marys Cement; Vessel: St Marys Cement Ii; Shipper (Original Format): St Marys Cement; Shipper: Mary's Cement Corp.",Votorantim,Construction Materials,"ST MARYS CEMENT
250 JEFFERSON AVE
CLEVELAND, OHIO, 44113",Hejoassu Administração S.A.,Votorantim,"ST MARYS CEMENT
400, Waverly Road South
Bowmanville
Ontario
L1C 3K3
Canada",Hejoassu Administração S.A.,PCMV - Port City Marine Services,,,Canada,"Port Of Cleveland, Cleveland, Ohio",North Central Region,"Port Of Cleveland, Cleveland, Ohio",North Central Region,Great Lakes,"Bowmanville, Ont, Canada",North America,Canada,BOWMANVILLE,Maritime,Portland,ST MARYS CEMENT II,2506B,,1 BLK, CF,3947000," 3,947 ",3947 MT," $320,000.00 ",,000001,,15102010,1,NC,Classified: 2523.21,PORTLAND CEMENT IN BULK,
PCMV225006A,1,6/16/2025,"Consignee: St Marys Cement Mary's Cement Co., Detroit Plant; Goods Shipped: Portland Cement In Bulk; Consignee (Original Format): St Marys Cement; Vessel: St Marys Cement Ii; Shipper (Original Format): St Marys Cement; Shipper: Mary's Cement Corp.",Votorantim,Construction Materials,"ST MARYS CEMENT
9333 DEARBORN RD
DETROIT, MICH., 48209",Hejoassu Administração S.A.,Votorantim,"ST MARYS CEMENT
400, Waverly Road South
Bowmanville
Ontario
L1C 3K3
Canada",Hejoassu Administração S.A.,PCMV - Port City Marine Services,,,Canada,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,Great Lakes,"Bowmanville, Ont, Canada",North America,Canada,BOWMANVILLE,Maritime,Portland,ST MARYS CEMENT II,2506A,,1 BLK, CF,4980000," 4,980 ",4980 MT," $403,000.00 ",,000001,,15102010,1,NC,Classified: 2523.21,PORTLAND CEMENT IN BULK,
PCMV225009,1,6/15/2025,"Consignee: St Marys Cement Mary's Cement Co., Detroit Plant; Goods Shipped: Portland Cement In Bulk; Consignee (Original Format): St Marys Cement; Vessel: St Marys Cement Ii; Shipper (Original Format): St Marys Cement; Shipper: Mary's Cement Corp.",Votorantim,Construction Materials,"ST MARYS CEMENT
9333 DEARBORN RD
DETROIT, MICH., 48209",Hejoassu Administração S.A.,Votorantim,"ST MARYS CEMENT
400, Waverly Road South
Bowmanville
Ontario
L1C 3K3
Canada",Hejoassu Administração S.A.,PCMV - Port City Marine Services,,,Canada,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,Great Lakes,"Bowmanville, Ont, Canada",North America,Canada,BOWMANVILLE,Maritime,Portland,ST MARYS CEMENT II,25009,,1 BLK, CF,10000000," 10,000 ",10000 MT," $810,000.00 ",,000001,,15102010,1,NC,Classified: 2523.21,PORTLAND CEMENT IN BULK,
CSSLCTAD25032,1,6/4/2025,"Consignee: St Marys Cement Mary's Cement Co., Detroit Plant; Goods Shipped: Cement Clinker; Consignee (Original Format): St Marys Cement; Shipper (Original Format): St Marys Cement; Shipper: Mary's Cement Corp.",Votorantim,Construction Materials,"ST MARYS CEMENT
9333 DEARBORN STREET
DETROIT MI 48209",Hejoassu Administração S.A.,Votorantim,"ST MARYS CEMENT
400, Waverly Road South
Bowmanville
Ontario
L1C 3K3
Canada",Hejoassu Administração S.A.,CSSL - The Csl Group Inc,,,Canada,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,Great Lakes,"Bowmanville, Ont, Canada",North America,Canada,CANADA,Maritime,CEMENT CLINKER,CSL TADOUSSAC,25032,,1 BLK, CF,25750000," 25,750 ",25750000 KG," $2,009,000.00 ",,000001,,15102010,1,NC,Classified: 2523.10,CEMENT CLINKER,
PCMV225007A,1,5/26/2025,"Consignee: St Marys Cement Mary's Cement Co., Detroit Plant; Goods Shipped: Portland Cement In Bulk; Consignee (Original Format): St Marys Cement; Vessel: St Marys Cement Ii; Shipper (Original Format): St Marys Cement; Shipper: Mary's Cement Corp.",Votorantim,Construction Materials,"ST MARYS CEMENT
9333 DEARBORN RD
DETROIT, MICH., 48209",Hejoassu Administração S.A.,Votorantim,"ST MARYS CEMENT
400, Waverly Road South
Bowmanville
Ontario
L1C 3K3
Canada",Hejoassu Administração S.A.,PCMV - Port City Marine Services,,,Canada,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,Great Lakes,"Bowmanville, Ont, Canada",North America,Canada,BOWMANVILLE,Maritime,Portland,ST MARYS CEMENT II,2507A,,1 BLK, CF,4500000," 4,500 ",4500 MT," $522,000.00 ",,000001,,15102010,1,NC,Classified: 2523.21,PORTLAND CEMENT IN BULK,
PCMV125006,1,5/20/2025,"Consignee: St Marys Cement Mary's Cement Corp., Detroit Plant; Goods Shipped: Portland Cement In Bulk; Consignee (Original Format): St Marys Cement; Vessel: St Marys Cement; Shipper (Original Format): St Marys Cement; Shipper: Mary's Cement Corp.",Votorantim,Construction Materials,"ST MARYS CEMENT
250 JEFFERSON AVE
CLEVELAND, OHIO, 44113",Hejoassu Administração S.A.,Votorantim,"ST MARYS CEMENT
400, Waverly Road South
Bowmanville
Ontario
L1C 3K3
Canada",Hejoassu Administração S.A.,PCMV - Port City Marine Services,,,Canada,"Port Of Cleveland, Cleveland, Ohio",North Central Region,"Port Of Cleveland, Cleveland, Ohio",North Central Region,Great Lakes,"Bowmanville, Ont, Canada",North America,Canada,BOWMANVILLE,Maritime,Portland,ST MARYS CEMENT,25006,,1 BLK, CF,7155883," 7,156 ",7888 ST," $830,000.00 ",,000001,,15102010,1,NC,Classified: 2523.21,PORTLAND CEMENT IN BULK,
PCMV125005,1,5/12/2025,"Consignee: St Marys Cement Mary's Cement Corp., Detroit Plant; Goods Shipped: Portland Cement In Bulk; Consignee (Original Format): St Marys Cement; Vessel: St Marys Cement; Shipper (Original Format): St Marys Cement; Shipper: Mary's Cement Corp.",Votorantim,Construction Materials,"ST MARYS CEMENT
250 JEFFERSON AVE
CLEVELAND, OHIO, 44113",Hejoassu Administração S.A.,Votorantim,"ST MARYS CEMENT
400, Waverly Road South
Bowmanville
Ontario
L1C 3K3
Canada",Hejoassu Administração S.A.,PCMV - Port City Marine Services,,,Canada,"Port Of Cleveland, Cleveland, Ohio",North Central Region,"Port Of Cleveland, Cleveland, Ohio",North Central Region,Great Lakes,"Bowmanville, Ont, Canada",North America,Canada,BOWMANVILLE,Maritime,Portland,ST MARYS CEMENT,25005,,1 BLK, CF,5000000," 5,000 ",5000 MT," $580,000.00 ",,000001,,15102010,1,NC,Classified: 2523.21,PORTLAND CEMENT IN BULK,
PCMV225005,1,5/10/2025,"Consignee: St Marys Cement Mary's Cement Co., Detroit Plant; Goods Shipped: Portland Cement In Bulk; Consignee (Original Format): St Marys Cement; Vessel: St Marys Cement Ii; Shipper (Original Format): St Marys Cement; Shipper: Mary's Cement Corp.",Votorantim,Construction Materials,"ST MARYS CEMENT
9333 DEARBORN RD
DETROIT, MICH., 48209",Hejoassu Administração S.A.,Votorantim,"ST MARYS CEMENT
400, Waverly Road South
Bowmanville
Ontario
L1C 3K3
Canada",Hejoassu Administração S.A.,PCMV - Port City Marine Services,,,Canada,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,"Detroit/Wayne County Port Authority, Detroit, Michigan",North Central Region,Great Lakes,"Bowmanville, Ont, Canada",North America,Canada,BOWMANVILLE,Maritime,Portland,ST MARYS CEMENT II,25005,,1 BLK, CF,10284000," 10,284 ",10284 MT," $1,193,000.00 ",,000001,,15102010,1,NC,Classified: 2523.21,PORTLAND CEMENT IN BULK,
