Bill of Lading Number,Shipment Date,Matching Fields,Shipper,Shipper Address,Shipper City,Shipper State/Region,Shipper Postal Code,Shipper Country,Shipper Full Address,Shipper Email 1,Shipper Email 2,Shipper Email 3,Shipper Phone 1,Shipper Phone 2,Shipper Phone 3,Shipper Fax,Shipper Website 1,Shipper Website 2,Shipper Profile,Shipper SPCIQ ID,Shipper MI Key,Shipper D-U-N-S®,Shipper Industry,Shipper Revenue,Shipper Employees,Shipper Market Capitalization,Shipper Incorporation Year,Shipper Trade Roles,Shipper SIC Codes,Shipper Stock Tickers,Shipper (Original Format),Shipper Global HQ,Shipper Global HQ Address,Shipper Global HQ D-U-N-S®,Shipper Domestic HQ,Shipper Domestic HQ Address,Shipper Domestic HQ D-U-N-S®,Shipper Ultimate Parent,Shipper Ultimate Parent Website,Shipper Ultimate Parent Headquarters Address,Shipper Ultimate Parent Profile,Shipper Ultimate Parent SPCIQ ID,Shipper Ultimate Parent MI Key,Shipper Ultimate Parent Stock Tickers,Carrier,Shipment Destination,Port of Lading,Port of Lading Region,Port of Lading Country,Port of Unlading,Port of Unlading Region,Port of Unlading Country,Place of Receipt,Vessel,Vessel Country,Vessel SCAC,Transport Flight Code,Is Containerized,Volume (TEU),Item Quantity,Weight (kg),Weight (t),Weight (Original Format),Value of Goods (USD),Equipment Type,Equipment Dimensions,Industry - GICS,Industry - GICS Description,Container Number,HS Code,Goods Shipped,Container Quantities,Divided/LCL
1,2023-01-30,,Intl Materials Inc.,327 Plaza Real,Boca Raton,Florida,33432,United States,"327 Plaza Real #320, Boca Raton, FL 33432, USA",,,,+1 561 705 0350,,,,,,https://panjiva.com/Intl-Materials-Inc/31825099,,,187846217.0,,51070647.0,140.0,,1987.0,,6221,,International Materials,,,,,,,,,,,,,,LCIR - Lafarge Canada Inc,Canada,"Port of Seattle, Seattle, Washington",Pacific Region,United States,"Vancouver, BC, Canada",North America,Canada,SEATTLE,TCT 8000,CANADA,LCIR - Lafarge Canada Inc,24356,,,1,7800000.0,7800.0,7800.0,3822000.0,,,15102010,Construction Materials,,2520.10,GYPSUM,,
85425,2023-01-27,,Trico International,101 N Summit St,Tenafly,New Jersey,07670-1036,,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",,,,+1 941 747 9021,,,,,,https://panjiva.com/Trico-International/7671798,1945032877.0,135554787.0,,Distributors,337107.0,27.0,,1981.0,,5032,,Trico International,,,,,,,Trico International Inc.,www.tricointernational.com,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",https://panjiva.com/Trico-International-Inc/226174008,1945032877.0,135554787.0,,UASC,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,W PALM BCH,DUKE OF TOPSAIL,St Kitts & Nevis,,854,,,90,123400.0,123.4,123.4,19700.0,,,15102010,Construction Materials,,2523.90,PORTLAND CEMENT,,
85435,2023-01-27,,Trico International,101 N Summit St,Tenafly,New Jersey,07670-1036,,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",,,,+1 941 747 9021,,,,,,https://panjiva.com/Trico-International/7671798,1945032877.0,135554787.0,,Distributors,337107.0,27.0,,1981.0,,5032,,Trico International,,,,,,,Trico International Inc.,www.tricointernational.com,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",https://panjiva.com/Trico-International-Inc/226174008,1945032877.0,135554787.0,,UASC,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,W PALM BCH,DUKE OF TOPSAIL,St Kitts & Nevis,,854,,,11,20260.0,20.26,20.26,3200.0,,,15102010,Construction Materials,,2523.90,PORTLAND CEMENT,,
85439,2023-01-27,,Trico International,101 N Summit St,Tenafly,New Jersey,07670-1036,,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",,,,+1 941 747 9021,,,,,,https://panjiva.com/Trico-International/7671798,1945032877.0,135554787.0,,Distributors,337107.0,27.0,,1981.0,,5032,,Trico International,,,,,,,Trico International Inc.,www.tricointernational.com,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",https://panjiva.com/Trico-International-Inc/226174008,1945032877.0,135554787.0,,UASC,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,W PALM BCH,DUKE OF TOPSAIL,St Kitts & Nevis,,854,,,22,39990.0,39.99,39.99,14800.0,,,15102010,Construction Materials,,2523.21,CEMENT,,
1,2023-01-27,,Lafarge Na,5400 West Marginal Way Southwest,Seattle,Washington,98106,United States,"5400 W Marginal Way SW, Seattle, WA 98106, USA",,,,,,,,,,https://panjiva.com/Lafarge-Na/133148007,,,,,,,,,,,,Lafarge Na,,,,,,,,,,,,,,SBBL - Salmon Bay Barge Line Inc,Canada,"Port of Seattle, Seattle, Washington",Pacific Region,United States,"Vancouver, BC, Canada",North America,Canada,SEATTLE,LAFARGE EAGLE,USA,SBBL - Salmon Bay Barge Line Inc,24353,,,1,5800000.0,5800.0,5800.0,1450000.0,,,15102010,Construction Materials,,2523.29,SLAG CEMENT,,
SSPHSAV9023736,2023-01-24,,Thermal Ceramics,2102 Old Savannah Road,Augusta,Georgia,30906,,"2102 Old Savannah Road, Augusta Georgia 30906, United States",ed.pippin@morganplc.com,,,+1 706 796 4200,,,,,,https://panjiva.com/Thermal-Ceramics/38160071,6511212.0,6350003.0,8936460.0,Construction Materials,77293219.0,600.0,,1986.0,Manufacturer,"3255, 3264, 3296, 3299, 5085",,Thermal Ceramics Inc.,,,,,,,Morgan Advanced Materials Plc,www.morganadvancedmaterials.com,"York House, Sheet Street, Windsor Berkshire SL4 1DD, United Kingdom",https://panjiva.com/Morgan-Advanced-Materials-plc/59707164,874470.0,4992984.0,LSE:MGAM,ZIMU - Zim Integrated Shipping Services Ltd,Egypt,"Georgia Ports Authority, Savannah, Georgia",Southeast Region,United States,"Alexandria, Egypt",Northern Africa,Egypt,,Zim Qingdao,,ZIMU - Zim Integrated Shipping Services Ltd,,,,See 'Container Quantities' column,120883.6,120.8836,120883.6 kg,470000.0,,,15102010,Construction Materials,TEMU2538285; FSCU4930853; TGHU5119685; TGHU5147584; TGHU5198180; TGHU5220540; TGHU5230976,Parsed: 6902.20.10.20; Parsed: 6902.20.10.20; Parsed: 6902.20.10.20; Parsed: 6902.20.10.20; Parsed: 6902.20.10.20; Parsed: 6902.20.10.20; Parsed: 6902.20.10.20,"GEN SLAG WOOL, ROCK WOOL
AND SIMILAR MINERAL
WOOLS, IN BULK, SHEETS, OR
ROLLS
CERACHEM BLANKET
SRN 079254C, 0006
ASSIUD PROJECT
HARMONIZED CODE: 6902.20.1020
ITN X20230118962050
AES: ITN* X20230118962050; GEN SLAG WOOL, ROCK WOOL
AND SIMILAR MINERAL
WOOLS, IN BULK, SHEETS, OR
ROLLS
CERACHEM BLANKET
SRN 079254C, 0006
ASSIUD PROJECT
HARMONIZED CODE: 6902.20.1020
ITN X20230118962050
AES: ITN* X20230118962050; GEN SLAG WOOL, ROCK WOOL
AND SIMILAR MINERAL
WOOLS, IN BULK, SHEETS, OR
ROLLS
CERACHEM BLANKET
SRN 079254C, 0006
ASSIUD PROJECT
HARMONIZED CODE: 6902.20.1020
ITN X20230118962050
AES: ITN* X20230118962050; GEN SLAG WOOL, ROCK WOOL
AND SIMILAR MINERAL
WOOLS, IN BULK, SHEETS, OR
ROLLS
CERACHEM BLANKET
SRN 079254C, 0006
ASSIUD PROJECT
HARMONIZED CODE: 6902.20.1020
ITN X20230118962050
AES: ITN* X20230118962050; GEN SLAG WOOL, ROCK WOOL
AND SIMILAR MINERAL
WOOLS, IN BULK, SHEETS, OR
ROLLS
CERACHEM BLANKET
SRN 079254C, 0006
ASSIUD PROJECT
HARMONIZED CODE: 6902.20.1020
ITN X20230118962050
AES: ITN* X20230118962050; GEN SLAG WOOL, ROCK WOOL
AND SIMILAR MINERAL
WOOLS, IN BULK, SHEETS, OR
ROLLS
CERACHEM BLANKET
SRN 079254C, 0006
ASSIUD PROJECT
HARMONIZED CODE: 6902.20.1020
ITN X20230118962050
AES: ITN* X20230118962050; GEN SLAG WOOL, ROCK WOOL
WOOLS, IN BULK, SHEETS, OR
ROLLS
CERACHEM BLANKET
SRN 079254C, 0006
ASSIUD PROJECT
HARMONIZED CODE: 6902.20.1020
ITN X20230118962050
AES: ITN* X20230118962050",5 PACKAGE; 21 PACKAGE; 21 PACKAGE; 21 PACKAGE; 21 PACKAGE; 21 PACKAGE; 21 PACKAGE,
SPCTPRG44342,2023-01-23,,Augusta Sportswear,425 Park West Drive,Grovetown,Georgia,30813,,"425 Park West Drive, Grovetown Georgia 30813, United States",,,,,,,,,,https://panjiva.com/Augusta-Sportswear/133048790,6526451.0,7405803.0,,"Textiles, Apparel and Luxury Goods",,,,1977.0,,,,Augusta Sportswear,,,,,,,"Augusta Sportswear, Inc.",www.augustasportswear.com,"425 Park West Drive, Grovetown Georgia 30813, United States",https://panjiva.com/Augusta-Sportswear-Inc/54306184,6526451.0,7405803.0,,LPUS - Linea Peninsular Inc,Mexico,"Port Panama City  Florida, Panama City, Florida",South Central Region,United States,"Progreso, Mexico",North America,Mexico,PANAMA CY FL,PROGRESO,Cyprus,LPUS - Linea Peninsular Inc,4414S,,,2,680.0,0.68,0.68,1500.0,,,15102010,Construction Materials,,2517.49,APPAREL PRODUCTS RECEIVED WITH BOXES CRUSHED UNDER WRAPPING  LINEA PENINSULAR NOT RESPONSIBLE FOR DAMAGES,,
SPCTPRG44340,2023-01-23,,American Textile & Apparel,West State Road 84,Fort Lauderdale,Florida,33324,United States,"W State Rd 84, Fort Lauderdale, FL 33324, USA",,,,,,,,,,https://panjiva.com/American-Textile-Apparel/46836795,,,,,,,,,Manufacturer,,,American Textile And Apparel,,,,,,,,,,,,,,LPUS - Linea Peninsular Inc,Mexico,"Port Panama City  Florida, Panama City, Florida",South Central Region,United States,"Progreso, Mexico",North America,Mexico,PANAMA CY FL,PROGRESO,Cyprus,LPUS - Linea Peninsular Inc,4414S,,,3,1670.0,1.67,1.67,3700.0,,,15102010,Construction Materials,,2517.49,LATEX FREE ELASTIC RECEIVED WITH PALLETS LEANING BOXES CRUSHED TORN & OPENED  LINEA PENINSULAR NOT RESPONSIBLE FOR DAMAGES,,
PEVNBI007039,2023-03-31,,Jrr Exp. Experts,,Fort Lauderdale,Florida,,United States,"Fort Lauderdale, FL, USA",,,,,,,,,,https://panjiva.com/Jrr-Exp-Experts/133157663,,,,,,,,,Trading Company,,,Jrr Export Expert,,,,,,,,,,,,,,SILJ - Seacor Island Lines,Bahamas,"Port Of Entry-Port Everglades/Fort Lauderdale, Port Everglades, Florida",Southeast Region,United States,"Bimini Island, Bahamas",Caribbean,Bahamas,PT EVERGLADES,CAPE EXPRESS,Antigua & Barbuda,SILJ - Seacor Island Lines,1819S,,,1,340.0,0.34,0.34,68.0,,,15102010,Construction Materials,,2523,1 GC PRECEDENTCLUB CAR2007 JRR INV 5419 NOEEI 30.37A CONSIGNEE RISK VINA9737605753,,
OOLU2714150800,2023-03-31,,Emo Trans. International Freight F,377 Oak Street Ste 202,Garden City,New York,11530,,"377 Oak Street, Ste 202, Garden City New York 11530, United States",emoatlchb@emotrans.com,luis.cantuarias@emotrans-usa.com,emodfw-import@emotrans.com,+1 404 761 1956,,,,,,https://panjiva.com/Emo-Trans-International-Freight-F/1442737,4281426.0,7391007.0,66961608.0,Air Freight and Logistics,,300.0,,1965.0,"Logistics, Wholesale",4731,,"Emo Trans, Inc.",Emo Trans Inc.,"377 Oak Street, Ste 202, Garden City New York 11530, United States",,Emo Trans Inc.,"377 Oak Street, Ste 202, Garden City New York 11530, United States",66961608.0,"Emo Trans, Inc.",www.emotrans-global.com,"377 Oak Street, Ste 202, Garden City New York 11530, United States",https://panjiva.com/EMO-TRANS-Inc/54757818,4281426.0,7391007.0,,OOLU - Orient Overseas Container Line Ltd,,"Georgia Ports Authority, Savannah, Georgia",Southeast Region,United States,"Kajang, Malaysia",South-Eastern Asia,Malaysia,,Cma Cgm Amerigo Vespucc,,OOLU - Orient Overseas Container Line Ltd,229N,,,800 BG,18144.0,18.144,18144 KG,4000.0,,"L: unknown
H: unknown
W: unknown",15102010,Construction Materials,,Classified: 6802.91,LIMESTONE,,
