Bill of Lading Number,Arrival Date,Matching Fields,Consignee,Consignee D-U-N-S®,Consignee Global HQ D-U-N-S®,Consignee Domestic HQ D-U-N-S®,Shipper,Shipper D-U-N-S®,Shipper Global HQ D-U-N-S®,Shipper Domestic HQ D-U-N-S®,Carrier,Notify Party,Port of Unlading,Port of Lading,Vessel,Vessel Voyage ID,Vessel IMO,Quantity,Measurement,Weight (kg),Weight (t),Weight (Original Format),Value of Goods (USD),Manifest Number,Industry - GICS,Industry - GICS Description,HS Code,Goods Shipped,_source_file,_source_dir,Group,Category,Cargo,Cargo Detail,Shipper Unified,Consignee Unified,Notify Unified,Report 1,Report 2,Report 3,Report 4,Report 5,Report 6,Filter,Count,H_Shipper_Unified,H_Shipper_Ultimate_Parent,H_Shipper_SIC_Codes,H_Shipper_Match_Method,H_Shipper_Match_Confidence,H_Shipper_Dict_Key,H_Consignee_Unified,H_Consignee_Ultimate_Parent,H_Consignee_Primary_Region,H_Consignee_Match_Method,H_Consignee_Match_Confidence,H_Consignee_Dict_Key,H_Carrier_Unified,H_Carrier_Type,H_Carrier_Match_Method,H_Carrier_Match_Confidence,H_HS2,H_HS4,H_HS6,H_HS_Parsed,H_HS_Match_Method,H_HS_Match_Confidence,H_Cargo_Group,H_Cargo_Category,H_Cargo_Type,H_Cargo_Detail,H_Cargo_Match_Method_wsd,H_Cargo_Match_Confidence,H_Port_Unlading_Unified,H_Port_Unlading_Region,H_Agency_Market,H_Port_Lading_Unified,H_Port_Lading_Country,H_Country_Code,H_Country_ISO,H_Subregion,H_World_Region,H_Trade_Region,H_Trade_Lane,H_Is_Bulk,H_Weight_Tier,H_Shipper_Dict_Version,H_Shipper_Match_Timestamp,H_Consignee_Dict_Version,H_Consignee_Match_Timestamp,Year,H_Cargo_Match_Method,H_Port_Lading_Region
CSSLBAHA230422,12/31/2023,,Martin Marietta Aggregates,,,,Bahama Rock Ltd.,,,,CSSL - The Csl Group Inc,,"Alabama State Port Authority, Mobile, Alabama","Freeport, Grand Bahama I, Bahamas",BAHAMA SPIRIT,23042,,1 BLK, ,36000000.0,36000.0,36000000 KG,42624000.0,1.0,15102010,Construction Materials,Classified: 6802.91,LIMESTONE,Panjiva-US_Imports-all-results_1_to_2638_of_2638-2025-12-03-11-09.csv,us_gulf,,,,,,,,,,,,,,,,BAHAMA ROCK,,,exact,1.0,NAME_BAHAMAROCK,MARTIN MARIETTA AGGREGATES,,Southeast Region,exact,1.0,NAME_MARTINMARIETTAAGGREGATES,,,,,68.0,6802.0,680291.0,680291.0,direct,1.0,Construction Materials,,Stone,"Worked monumental or building stone (except slate) and articles thereof, other than goods of heading 6801; mosaic cubes and the like, of natural stone (including slate), whether or not on a backing; artificially colored granules, chippings and powder, of natural stone (including slate):",hs_based,0.9,Mobile,Gulf,Mobile,Freeport,Bahamas,2360.0, BS,Caribbean,Americas,Trans-shipment,AMER → Mobile,False,Large,20251206,20251207_121759,20251206,20251207_121759,2023,,
DOSOBRADARE12291,12/29/2023,,Shell Offshore Inc.,831578583.0,,,Shell Offshore Inc.,131489817.0,,131489817.0,DOSO - Dsv Marine Services,"SHELL OFFSHORE INC.
PO BOX 4525, HOUSTON, TX 772104525 US","Port of Morgan City, Morgan City, Louisiana","High Seas,Gulf Of Mexico",BRAD DARTEZ,E1229,,46 PCS, CM,399252.0,399.25,399252 KG,25200.0,1.0,15102010,Construction Materials,Classified: 2511.10,"BASKET WITH SUPPLIES CONTAINER (EMPTY) CONTAINER (EMPTY) CONTAINER WITH SUPPLIES CARGO BOX (EMPTY) CARGO BOX (EMPTY CARGO BOX WITH SUPPLIES CARGO BOX WITH SUPPLIES CARGO BOX (EMPTY CARGO BOX WITH SUPPLIES CARGO BOX WITH SUPPLIES EMPTY GROCERY BOX EMPTY GROCERY BOX EMPTY GROCERY BOX EMPTY GROCERY BOX BASKET WITH SUPPLIES CONTAINER WITH SUPPLIES BASKET WITH SUPPLIES BASKET WITH EMPTY SPOOL BASKET (EMPTY) PIPE RACK PIPE RACK BASKET ROPE 5000 SXS BARITE (RETURN TO MI FOR CREDIT) 253 SXS TXI CEMENT FOR DISPOSAL OMEGA BOX TOTE WITH EMPTY HR 6L EMPTY TOTE OF HELIFUEL (UN1993) EMPTY TOTE OF GADINIA S3-40 EMPTY TOTE OF GADINIA S3-40 EMPTY TOTE OF GADINIA S3-40 EMPTY TOTE OF GADINIA S3-40 SOOLING UNIT SPOOL WITH SPREADER BAR EMPTY TOTE OF GADINIA S3-40 EMPTY SWIRE BASKET EMPTY TOTE OF GADINIA S3-40 EMPTY TOTE OF HELIFUEL (UN1993) EMPTY TOTE OF GADINIA S3-40 EMPTY TOTE OF GADINIA S3-40 EMPTY TOTE OF GADINIA S3-40 EMPTY TOTE OF GADINIA S3-40 EMPTY SWIRE BASKET 35 JOINTS 5-7 8"" HWDP (5 BUNDLES OF 7 EACH) DRUM WITH OLD DRILL LINE EMPTY BASKET",Panjiva-US_Imports-all-results_1_to_2638_of_2638-2025-12-03-11-09.csv,us_gulf,,,,,,,,,,,,,,,,,,,unmatched,0.0,,,,,unmatched,0.0,,,,,,25.0,2511.0,251110.0,251110.0,direct,1.0,Minerals,,Barite,"Natural barium sulfate (barytes); natural barium carbonate (witherite), whether or not calcined, other than barium oxide of heading 2816:",hs_based,0.9,Lower Miss River,,Lower Miss River,,,,,,,,,False,Small,20251206,20251207_121759,20251206,20251207_121759,2023,,
DMNACANO00010201,12/27/2023,,Cemex Construction Materials,189840945.0,,,"Long Son Industrials Co., Ltd.",,,,DMNA - Dampskibsselskabet Norden Aktieselskab,"CEMEX CONSTRUCTION MATERIALS
FLORIDA, LLC., 10100 KATY FREEWAY, SUITE 300, HOUSTON TX77043 US","Tampa, Florida","All Other Viet Nam Ports, Vietnam",CANO,102,,1 BLK, ,15000000.0,15000.0,15000 ET,1680000.0,140665.0,15102010,Construction Materials,Classified: 2523.21,ORDINARY PORTLAND CEMENT IN BULK,Panjiva-US_Imports-all-results_1_to_2638_of_2638-2025-12-03-11-09.csv,us_gulf,,,,,,,,,,,,,,,,"LONG SON INDUSTRIALS .,",,,exact,1.0,NAME_LONGSONINDUSTRIALS,"CEMEX, B.","Cemex, S.A.B. De C.V.",Southeast Region,exact,1.0,UPSPCIQ_404061,,,,,25.0,2523.0,252321.0,252321.0,direct,1.0,Construction Materials,,Cement,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",hs_based,0.9,Tampa Bay,Gulf,Tampa Bay,All Other Viet Nam Ports,Vietnam,5520.0, VN,Southeast Asia,Asia-Pacific,Manufacturing,APAC → Tampa Bay,False,Large,20251206,20251207_121759,20251206,20251207_121759,2023,,
DOSOHARVAE122323,12/23/2023,,Shell Offshore Inc.,831578583.0,,,Shell Offshore Inc.,131489817.0,,131489817.0,DOSO - Dsv Marine Services,"SHELL OFFSHORE INC.
PO BOX 4525, HOUSTON, TX 772104525 US","Port of Morgan City, Morgan City, Louisiana","High Seas,Gulf Of Mexico",HARVEY AMERICA,E1223,,67 PCS, CM,2057204.0,2057.2,2057204 KG,30525000.0,1.0,20106020,Industrial Machinery,Classified: 8479.89,"EMPTY HELIFUEL TOTE (UN1993) EMPTY GROCERY BOX EMPTY GROCERY BOX EMPTY GROCERY BOX EMPTY GROCERY BOX EMPTY GROCERY BOX EMPTY GROCERY BOX EMPTY GROCERY BOX EMPTY GROCERY BOX EMPTY GROCERY BOX BASKET WITH SENTINEL VALVES BASKET WITH STORM PACKER OMEGA BOX OMEGA BOX BASKET WITH EZSV PACKERS TOTE OF RHEMUL TOTE OF HRP TOTE OF HRP TOTE OF SUREMOD TOTE OF RHEMUL EMPTY TOTE OF DEGREASER BASKET WITH CEMENT HEAD CARGO BOX SUPPLIES BASKET WITH SUPPLIES PALLET BOX WITH PALLETS CACL2 ECOTROL PALLET BOX WITH PALLETS DUO-VIS PALLET BOX WITH PALLETS CACL2 PALLET BOX WITH FLANGES AND VALVES MIX ON THE FLY PALLET BOXES WITH PALLETS CACL2 & DUROMOD PALLET BOX WITH PALLETS ECOTROL RD EMPTY PALLET BOX PALLET BOX WITH JUNK PALLETS EMPTY PALLET BOX PLASTIC TOTES AND LAB SUPPLIES PALLET BOX WITH CROSSOVERS PALLET BOX WITH TOTE OF NAN-O2 (UN1993) PALLET BOX WITH SUPER SACK WITH UNUSED SMOKE HOODS BASKET RETURN TO SWIRE NOBLE CARGO BOX NOBLE CARGO BOX NOBLE CARGO BOX BASKET WITH BUSTER TOOL FULL CUTTING BOX FULL CUTTING BOX FULL CUTTING BOX BASKET WITH PERF GUNS (UN04984) BASKET EQUIPMENT CARGO CONTAINER WITH WITH BATTERIES FOR DISPOSAL (UN2800) BASKET WITH TOOLS BASKET WITH PROTECTORS AND SLEEVES CONTAINER WITH EQUIPMENT CONTAINER WITH EQUIPMENT CARGO CONTAINER WITH SUPPLIES BASKET WITH SUPPLIES TANK CLEANING UNIT (UN1002) BASKET WITH PUMPS & HOSES RIG BOX WITH EQUIPMENT CARGO CONTAINER WITH SUPPLIES MPT WITH ENGINE SLUDGE (DISPOSAL) MPT WITH ENGINE SLUDGE (DISPOSAL) BASKET WITH EQUIPMENT BASKET WITH EQUIPMENT 380 BBLS SYNTHETIC B BASE OIL 9000 BBLS RHEGUARD (SBM) DRUM RACK WITH WASTE OIL OMEGA BASKET WITH PANEL, SHUTTLE TOOL & HOSE REELS NOBLE ROTARY SOCK (2 PIECES)",Panjiva-US_Imports-all-results_1_to_2638_of_2638-2025-12-03-11-09.csv,us_gulf,,,,,,,,,,,,,,,,,,,unmatched,0.0,,,,,unmatched,0.0,,,,,,84.0,8479.0,847989.0,847989.0,direct,1.0,General Cargo,,Machinery,"Machines and mechanical appliances having individual functions, not specified or included elsewhere in this chapter; parts thereof:",hs_based,0.9,Lower Miss River,,Lower Miss River,,,,,,,,,False,Medium,20251206,20251207_121759,20251206,20251207_121759,2023,,
DMNASYROTRAD0501,12/23/2023,,Houston Cement Co.,791309052.0,,791309052.0,Medcem Global Pazarlama A.S.,519966047.0,,519966047.0,DMNA - Dampskibsselskabet Norden Aktieselskab,"HOUSTON CEMENT COMPANY, L.P.
363 NORTH SAM HOUSTON PARKWAY E, SUITE 750, HOUSTON TX77060 US","Houston, Houston, Texas","All Other Turkey Mediterranean Region Ports, Turkey",SYROS TRADER,5,,1 BLK, ,46900000.0,46900.0,46900 ET,5112000.0,128215.0,15102010,Construction Materials,Classified: 2523.21,"ORDINARY PORTLAND CEMENT IN BULK (TYPE I/II LOW ALKALI CONFORMING TO ASTM C-150) (46, 900. 00 METRIC TONS)",Panjiva-US_Imports-all-results_1_to_2638_of_2638-2025-12-03-11-09.csv,us_gulf,,,,,,,,,,,,,,,,MEDCEM GLOBAL PAZARLAMA A.S,,5039,exact,1.0,NAME_MEDCEMGLOBALPAZARLAMAAS,"HOUSTON CEMENT , L.P","Houston Cement Company, L.P.",Southwest Region,exact,1.0,UPSPCIQ_28943272,,,,,25.0,2523.0,252321.0,252321.0,direct,1.0,Construction Materials,,Cement,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",hs_based,0.9,Houston Ship Channel,Gulf,Houston Ship Channel,All Other Turkey Mediterranean Region Ports,Turkey,4890.0, TR,Eastern Europe,Europe,Steel Origins,EUR → Houston Ship Channel,False,Large,20251206,20251207_121759,20251206,20251207_121759,2023,,
VULI23364A,12/22/2023,,Vulcan Construction Materials,805344798.0,,,Agregados Del Caribe S A De C V,,,,VULI - Vulica Shipping Company Limited,"VULCAN CONSTRUCTION MATERIALS
1200 URBAN CENTER DRIVE, BIRMINGHAM AL 35242 US","Houston, Houston, Texas","Puerto Cortes, Honduras",IRELAND,23364,9770543.0,1 BLK, CF,51017000.0,51017.0,51017000 KG,60404000.0,1.0,15102010,Construction Materials,Classified: 6802.91,"LIMESTONE IN BULK, 499, 56, 237 ST",Panjiva-US_Imports-all-results_1_to_2638_of_2638-2025-12-03-11-09.csv,us_gulf,,,,,,,,,,,,,,,,,,,unmatched,0.0,,,,,unmatched,0.0,,,,,,68.0,6802.0,680291.0,680291.0,direct,1.0,Construction Materials,,Stone,"Worked monumental or building stone (except slate) and articles thereof, other than goods of heading 6801; mosaic cubes and the like, of natural stone (including slate), whether or not on a backing; artificially colored granules, chippings and powder, of natural stone (including slate):",hs_based,0.9,Houston Ship Channel,Gulf,Houston Ship Channel,Puerto Cortes,Honduras,2150.0, HN,Central America,Americas,Agriculture,AMER → Houston Ship Channel,False,Large,20251206,20251207_121759,20251206,20251207_121759,2023,,
CINT3835MORHER02,12/22/2023,,Argos Usa Tampa Cement Plant,,,,Nuh Cimento Sanayi A.S.,,,,CINT - Cargill International S A,"ARGOS USA TAMPA CEMENT PLANT
2001 MARITIME BLVD, TAMPA, FLORIDA 33605, ATTN: STEVEN ANDERSEN","Tampa, Florida","All Other Turkey Black Sea and Sea of Marmara Port, Turkey",BULK FREEDOM,1,,1 BLK, ,27000000.0,27000.0,27000 ET,376299000.0,1.0,15102010,Construction Materials,Classified: 3824.50,"27, 000 MT GREY CEMENT IN BULK",Panjiva-US_Imports-all-results_1_to_2638_of_2638-2025-12-03-11-09.csv,us_gulf,,,,,,,,,,,,,,,,NUH ÇIMENTO SANAYI A.S,Nuh çimento Sanayi A.S.,,exact,1.0,UPSPCIQ_9673374,,,,unmatched,0.0,,,,,,38.0,3824.0,382450.0,382450.0,direct,1.0,General Cargo,,General Cargo,"Prepared binders for foundry molds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included:",hs_based,0.9,Tampa Bay,Gulf,Tampa Bay,All Other Turkey Black Sea and Sea of Marmara Port,Turkey,4890.0, TR,Eastern Europe,Europe,Steel Origins,EUR → Tampa Bay,False,Large,20251206,20251207_121759,20251206,20251207_121759,2023,,
VULI23363A,12/20/2023,,Vulcan Construction Materials,805344798.0,,,Agregados Del Caribe S A De C V,,,,VULI - Vulica Shipping Company Limited,"VULCAN CONSTRUCTION MATERIALS
1200 URBAN CENTER DRIVE, BIRMINGHAM AL 35242 US","Corpus Christi, Corpus Christi, Texas","Puerto Cortes, Honduras",DONALD M JAMES,23363,9770555.0,1 BLK, CF,55859000.0,55859.0,55859000 KG,66137000.0,1.0,15102010,Construction Materials,Classified: 6802.91,"LIMESTONE IN BULK, 499, 61, 574 ST",Panjiva-US_Imports-all-results_1_to_2638_of_2638-2025-12-03-11-09.csv,us_gulf,,,,,,,,,,,,,,,,,,,unmatched,0.0,,,,,unmatched,0.0,,,,,,68.0,6802.0,680291.0,680291.0,direct,1.0,Construction Materials,,Stone,"Worked monumental or building stone (except slate) and articles thereof, other than goods of heading 6801; mosaic cubes and the like, of natural stone (including slate), whether or not on a backing; artificially colored granules, chippings and powder, of natural stone (including slate):",hs_based,0.9,South Texas,Gulf,South Texas,Puerto Cortes,Honduras,2150.0, HN,Central America,Americas,Agriculture,AMER → South Texas,False,Large,20251206,20251207_121759,20251206,20251207_121759,2023,,
DMNABELMONDO0101,12/18/2023,,Houston Cement Co.,791309052.0,,791309052.0,Titan Cement Company S.A.,728442224.0,,,DMNA - Dampskibsselskabet Norden Aktieselskab,"HOUSTON CEMENT COMPANY, L.P.
363 NORTH SAM HOUSTON PARKWAY E, SUITE 750, HOUSTON TX77060 US","Houston, Houston, Texas","Elefsis, Greece",BELMONDO,1,,1 BLK, ,42450000.0,42450.0,42450 ET,4754000.0,126252.0,15102010,Construction Materials,Classified: 2523.21,"PORTLAND CEMENT IN BULK, TYPE I/II LOW ALKALI CONFORMING TO ASTM C-150 (42, 450 METRIC TONS)",Panjiva-US_Imports-all-results_1_to_2638_of_2638-2025-12-03-11-09.csv,us_gulf,,,,,,,,,,,,,,,,TITAN,Titan S.A.,"3241, 3255",exact,1.0,UPSPCIQ_874331,"HOUSTON CEMENT , L.P","Houston Cement Company, L.P.",Southwest Region,exact,1.0,UPSPCIQ_28943272,,,,,25.0,2523.0,252321.0,252321.0,direct,1.0,Construction Materials,,Cement,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",hs_based,0.9,Houston Ship Channel,Gulf,Houston Ship Channel,Elefsis,Greece,4840.0, GR,Southern Europe,Europe,Manufacturing,EUR → Houston Ship Channel,False,Large,20251206,20251207_121759,20251206,20251207_121759,2023,,
CSSLBAHA23040,12/18/2023,,Martin Marietta Aggregates,809750912.0,,809750912.0,Bahama Rock Ltd.,,,,CSSL - The Csl Group Inc,,"Port Manatee, Florida","Freeport, Grand Bahama I, Bahamas",BAHAMA SPIRIT,23040,,1 BLK, ,43300000.0,43300.0,43300000 KG,51267000.0,1.0,15102010,Construction Materials,Classified: 6802.91,LIMESTONE,Panjiva-US_Imports-all-results_1_to_2638_of_2638-2025-12-03-11-09.csv,us_gulf,,,,,,,,,,,,,,,,BAHAMA ROCK,,,exact,1.0,NAME_BAHAMAROCK,MARTIN MARIETTA AGGREGATES,,Southeast Region,exact,1.0,NAME_MARTINMARIETTAAGGREGATES,,,,,68.0,6802.0,680291.0,680291.0,direct,1.0,Construction Materials,,Stone,"Worked monumental or building stone (except slate) and articles thereof, other than goods of heading 6801; mosaic cubes and the like, of natural stone (including slate), whether or not on a backing; artificially colored granules, chippings and powder, of natural stone (including slate):",hs_based,0.9,Tampa Bay,Gulf,Tampa Bay,Freeport,Bahamas,2360.0, BS,Caribbean,Americas,Trans-shipment,AMER → Tampa Bay,False,Large,20251206,20251207_121759,20251206,20251207_121759,2023,,
