report_date,destination_region,coal_type,metric_tons,mom_pct,source_file
2021-08-01,Mediterranean,MET,170355.0,-37.38,USEC-and-USG-Combined-August-2021.pdf
2021-08-01,Mediterranean,THERMAL,592508.0,-3.61,USEC-and-USG-Combined-August-2021.pdf
2021-08-01,Northern Europe,MET,797330.0,16.94,USEC-and-USG-Combined-August-2021.pdf
2021-08-01,Northern Europe,THERMAL,507425.0,16.24,USEC-and-USG-Combined-August-2021.pdf
2021-08-01,Africa,MET,0.0,0.0,USEC-and-USG-Combined-August-2021.pdf
2021-08-01,Africa,THERMAL,99897.0,52.29,USEC-and-USG-Combined-August-2021.pdf
2021-08-01,Americas,MET,346135.0,-30.0,USEC-and-USG-Combined-August-2021.pdf
2021-08-01,Americas,THERMAL,283352.0,25.77,USEC-and-USG-Combined-August-2021.pdf
2021-08-01,Far East,MET,1633185.0,-17.3,USEC-and-USG-Combined-August-2021.pdf
2021-08-01,Far East,THERMAL,564894.0,64.0,USEC-and-USG-Combined-August-2021.pdf
2021-09-01,Mediterranean,MET,423108.0,148.37,USEC-and-USG-Combined-September-2021.pdf
2021-09-01,Mediterranean,THERMAL,484457.0,-18.24,USEC-and-USG-Combined-September-2021.pdf
2021-09-01,Northern Europe,MET,612728.0,-23.15,USEC-and-USG-Combined-September-2021.pdf
2021-09-01,Northern Europe,THERMAL,210969.0,-58.42,USEC-and-USG-Combined-September-2021.pdf
2021-09-01,Africa,MET,59874.0,0.0,USEC-and-USG-Combined-September-2021.pdf
2021-09-01,Africa,THERMAL,0.0,-100.0,USEC-and-USG-Combined-September-2021.pdf
2021-09-01,Americas,MET,650116.0,87.82,USEC-and-USG-Combined-September-2021.pdf
2021-09-01,Americas,THERMAL,245339.0,-13.42,USEC-and-USG-Combined-September-2021.pdf
2021-09-01,Far East,MET,1534239.0,-6.06,USEC-and-USG-Combined-September-2021.pdf
2021-09-01,Far East,THERMAL,601745.0,6.52,USEC-and-USG-Combined-September-2021.pdf
2021-10-01,Mediterranean,MET,122118.0,-72.47,USEC-and-USG-Combined-October-2021.pdf
2021-10-01,Mediterranean,THERMAL,304535.0,-37.14,USEC-and-USG-Combined-October-2021.pdf
2021-10-01,Northern Europe,MET,1325720.0,116.36,USEC-and-USG-Combined-October-2021.pdf
2021-10-01,Northern Europe,THERMAL,775589.0,267.63,USEC-and-USG-Combined-October-2021.pdf
2021-10-01,Africa,MET,0.0,,USEC-and-USG-Combined-October-2021.pdf
2021-10-01,Africa,THERMAL,0.0,,USEC-and-USG-Combined-October-2021.pdf
2021-10-01,Americas,MET,646304.0,-0.59,USEC-and-USG-Combined-October-2021.pdf
2021-10-01,Americas,THERMAL,180254.0,-26.53,USEC-and-USG-Combined-October-2021.pdf
2021-10-01,Far East,MET,1599649.0,4.26,USEC-and-USG-Combined-October-2021.pdf
2021-10-01,Far East,THERMAL,897313.0,49.12,USEC-and-USG-Combined-October-2021.pdf
2021-11-01,Mediterranean,MET,239599.0,96.2,USEC-and-USG-Combined-November-2021.pdf
2021-11-01,Mediterranean,THERMAL,474231.0,34.89,USEC-and-USG-Combined-November-2021.pdf
2021-11-01,Northern Europe,MET,806790.0,-35.31,USEC-and-USG-Combined-November-2021.pdf
2021-11-01,Northern Europe,THERMAL,481186.0,-38.13,USEC-and-USG-Combined-November-2021.pdf
2021-11-01,Africa,MET,76728.0,0.0,USEC-and-USG-Combined-November-2021.pdf
2021-11-01,Africa,THERMAL,0.0,0.0,USEC-and-USG-Combined-November-2021.pdf
2021-11-01,Americas,MET,307320.0,-51.7,USEC-and-USG-Combined-November-2021.pdf
2021-11-01,Americas,THERMAL,262079.0,42.15,USEC-and-USG-Combined-November-2021.pdf
2021-11-01,Far East,MET,1637040.0,-5.49,USEC-and-USG-Combined-November-2021.pdf
2021-11-01,Far East,THERMAL,737018.0,-17.74,USEC-and-USG-Combined-November-2021.pdf
2021-12-01,Mediterranean,MET,2784284.0,-46.31,USEC-and-USG-Combined-December-2021.pdf
2021-12-01,Mediterranean,THERMAL,4777343.0,148.01,USEC-and-USG-Combined-December-2021.pdf
2021-12-01,Northern Europe,MET,11931992.0,-3.13,USEC-and-USG-Combined-December-2021.pdf
2021-12-01,Northern Europe,THERMAL,5280855.0,135.73,USEC-and-USG-Combined-December-2021.pdf
2021-12-01,Africa,MET,460952.0,86.47,USEC-and-USG-Combined-December-2021.pdf
2021-12-01,Africa,THERMAL,426444.0,238.16,USEC-and-USG-Combined-December-2021.pdf
2021-12-01,Americas,MET,6388786.0,-22.11,USEC-and-USG-Combined-December-2021.pdf
2021-12-01,Americas,THERMAL,3721321.0,19.65,USEC-and-USG-Combined-December-2021.pdf
2021-12-01,Far East,MET,18576826.0,65.87,USEC-and-USG-Combined-December-2021.pdf
2021-12-01,Far East,THERMAL,12096607.0,53.99,USEC-and-USG-Combined-December-2021.pdf
2022-01-01,Mediterranean,MET,375485.0,107.14,USEC-and-USG-Combined-January-2022.pdf
2022-01-01,Mediterranean,THERMAL,373295.0,30.46,USEC-and-USG-Combined-January-2022.pdf
2022-01-01,Northern Europe,MET,994059.0,-15.97,USEC-and-USG-Combined-January-2022.pdf
2022-01-01,Northern Europe,THERMAL,424358.0,-39.18,USEC-and-USG-Combined-January-2022.pdf
2022-01-01,Africa,MET,34197.0,0.0,USEC-and-USG-Combined-January-2022.pdf
2022-01-01,Africa,THERMAL,0.0,0.0,USEC-and-USG-Combined-January-2022.pdf
2022-01-01,Americas,MET,408235.0,-28.91,USEC-and-USG-Combined-January-2022.pdf
2022-01-01,Americas,THERMAL,215798.0,-48.54,USEC-and-USG-Combined-January-2022.pdf
2022-01-01,Far East,MET,1036892.0,-24.2,USEC-and-USG-Combined-January-2022.pdf
2022-01-01,Far East,THERMAL,601993.0,-9.41,USEC-and-USG-Combined-January-2022.pdf
2022-02-01,Mediterranean,MET,655224.0,74.5,USEC-and-USG-Combined-February-2022.pdf
2022-02-01,Mediterranean,THERMAL,501608.0,34.37,USEC-and-USG-Combined-February-2022.pdf
2022-02-01,Northern Europe,MET,1112181.0,11.88,USEC-and-USG-Combined-February-2022.pdf
2022-02-01,Northern Europe,THERMAL,633520.0,49.29,USEC-and-USG-Combined-February-2022.pdf
2022-02-01,Africa,MET,0.0,-100.0,USEC-and-USG-Combined-February-2022.pdf
2022-02-01,Africa,THERMAL,0.0,0.0,USEC-and-USG-Combined-February-2022.pdf
2022-02-01,Americas,MET,573142.0,40.4,USEC-and-USG-Combined-February-2022.pdf
2022-02-01,Americas,THERMAL,155781.0,-27.81,USEC-and-USG-Combined-February-2022.pdf
2022-02-01,Far East,MET,1084116.0,4.55,USEC-and-USG-Combined-February-2022.pdf
2022-02-01,Far East,THERMAL,748301.0,24.3,USEC-and-USG-Combined-February-2022.pdf
2022-03-01,Mediterranean,MET,386531.0,-41.34,USEC-and-USG-Combined-March-2022.pdf
2022-03-01,Mediterranean,THERMAL,551964.0,10.04,USEC-and-USG-Combined-March-2022.pdf
2022-03-01,Northern Europe,MET,2057237.0,97.21,USEC-and-USG-Combined-March-2022.pdf
2022-03-01,Northern Europe,THERMAL,679360.0,13.62,USEC-and-USG-Combined-March-2022.pdf
2022-03-01,Africa,MET,45155.0,0.0,USEC-and-USG-Combined-March-2022.pdf
2022-03-01,Africa,THERMAL,0.0,0.0,USEC-and-USG-Combined-March-2022.pdf
2022-03-01,Americas,MET,300715.0,-47.15,USEC-and-USG-Combined-March-2022.pdf
2022-03-01,Americas,THERMAL,198294.0,-20.99,USEC-and-USG-Combined-March-2022.pdf
2022-03-01,Far East,MET,1131292.0,-1.83,USEC-and-USG-Combined-March-2022.pdf
2022-03-01,Far East,THERMAL,904061.0,20.82,USEC-and-USG-Combined-March-2022.pdf
2022-04-01,Mediterranean,MET,634625.0,56.67,USEC-and-USG-Combined-April-2022.pdf
2022-04-01,Mediterranean,THERMAL,440186.0,-20.25,USEC-and-USG-Combined-April-2022.pdf
2022-04-01,Northern Europe,MET,1271300.0,-35.96,USEC-and-USG-Combined-April-2022.pdf
2022-04-01,Northern Europe,THERMAL,974742.0,29.21,USEC-and-USG-Combined-April-2022.pdf
2022-04-01,Africa,MET,,,USEC-and-USG-Combined-April-2022.pdf
2022-04-01,Africa,THERMAL,,,USEC-and-USG-Combined-April-2022.pdf
2022-04-01,Americas,MET,642708.0,113.65,USEC-and-USG-Combined-April-2022.pdf
2022-04-01,Americas,THERMAL,114355.0,-42.33,USEC-and-USG-Combined-April-2022.pdf
2022-04-01,Far East,MET,1250236.0,2.75,USEC-and-USG-Combined-April-2022.pdf
2022-04-01,Far East,THERMAL,795464.0,-2.51,USEC-and-USG-Combined-April-2022.pdf
2022-05-01,Mediterranean,MET,298678.0,-52.94,USEC-and-USG-Combined-May-2022.pdf
2022-05-01,Mediterranean,THERMAL,649768.0,47.61,USEC-and-USG-Combined-May-2022.pdf
2022-05-01,Northern Europe,MET,1076230.0,-15.34,USEC-and-USG-Combined-May-2022.pdf
2022-05-01,Northern Europe,THERMAL,997180.0,2.3,USEC-and-USG-Combined-May-2022.pdf
2022-05-01,Africa,MET,59897.0,0.0,USEC-and-USG-Combined-May-2022.pdf
2022-05-01,Africa,THERMAL,0.0,0.0,USEC-and-USG-Combined-May-2022.pdf
2022-05-01,Americas,MET,895726.0,39.37,USEC-and-USG-Combined-May-2022.pdf
2022-05-01,Americas,THERMAL,283115.0,147.58,USEC-and-USG-Combined-May-2022.pdf
2022-05-01,Far East,MET,1606734.0,28.51,USEC-and-USG-Combined-May-2022.pdf
2022-05-01,Far East,THERMAL,311624.0,-60.82,USEC-and-USG-Combined-May-2022.pdf
2022-06-01,Mediterranean,MET,326846.0,9.43,USEC-and-USG-Combined-June-2022.pdf
2022-06-01,Mediterranean,THERMAL,565421.0,-12.98,USEC-and-USG-Combined-June-2022.pdf
2022-06-01,Northern Europe,MET,1251394.0,16.28,USEC-and-USG-Combined-June-2022.pdf
2022-06-01,Northern Europe,THERMAL,576850.0,-42.15,USEC-and-USG-Combined-June-2022.pdf
2022-06-01,Africa,MET,0.0,-100.0,USEC-and-USG-Combined-June-2022.pdf
2022-06-01,Africa,THERMAL,43106.0,0.0,USEC-and-USG-Combined-June-2022.pdf
2022-06-01,Americas,MET,501111.0,-44.06,USEC-and-USG-Combined-June-2022.pdf
2022-06-01,Americas,THERMAL,404043.0,42.71,USEC-and-USG-Combined-June-2022.pdf
2022-06-01,Far East,MET,1677673.0,4.42,USEC-and-USG-Combined-June-2022.pdf
2022-06-01,Far East,THERMAL,826423.0,165.2,USEC-and-USG-Combined-June-2022.pdf
