report_date,port,coal_type,metric_tons,yoy_pct,ytd_metric_tons,ytd_yoy_pct,source_file
2021-08-01,BALTIMORE,MET,433127.0,-31.29,4126507.0,-0.04,USEC-and-USG-Combined-August-2021.pdf
2021-08-01,H ROADS,MET,2031479.0,54.48,17008553.0,13.65,USEC-and-USG-Combined-August-2021.pdf
2021-08-01,HOUSTON,MET,,,,,USEC-and-USG-Combined-August-2021.pdf
2021-08-01,MOBILE,MET,482399.0,-23.0,5279678.0,-4.24,USEC-and-USG-Combined-August-2021.pdf
2021-08-01,NOLA,MET,,,,,USEC-and-USG-Combined-August-2021.pdf
2021-08-01,TOTAL,MET,2947005.0,14.59,26414738.0,6.93,USEC-and-USG-Combined-August-2021.pdf
2021-08-01,BALTIMORE,THERMAL,967788.0,18.04,9537348.0,77.42,USEC-and-USG-Combined-August-2021.pdf
2021-08-01,H ROADS,THERMAL,367885.0,457.4,1654876.0,21.44,USEC-and-USG-Combined-August-2021.pdf
2021-08-01,HOUSTON,THERMAL,,,276304.0,,USEC-and-USG-Combined-August-2021.pdf
2021-08-01,MOBILE,THERMAL,28650.0,-13.18,182263.0,-44.78,USEC-and-USG-Combined-August-2021.pdf
2021-08-01,NOLA,THERMAL,698753.0,214.75,6522485.0,192.99,USEC-and-USG-Combined-August-2021.pdf
2021-08-01,TOTAL,THERMAL,2063076.0,80.83,18173277.0,95.53,USEC-and-USG-Combined-August-2021.pdf
2021-08-01,TOTAL,THERMAL,,,,,USEC-and-USG-Combined-August-2021.pdf
2021-09-01,BALTIMORE,MET,536589.0,7.68,4587937.0,-0.83,USEC-and-USG-Combined-September-2021.pdf
2021-09-01,H ROADS,MET,2311391.0,36.02,19297944.0,15.8,USEC-and-USG-Combined-September-2021.pdf
2021-09-01,HOUSTON,MET,,,,,USEC-and-USG-Combined-September-2021.pdf
2021-09-01,MOBILE,MET,432086.0,-38.67,5711764.0,-8.14,USEC-and-USG-Combined-September-2021.pdf
2021-09-01,NOLA,MET,,,,,USEC-and-USG-Combined-September-2021.pdf
2021-09-01,TOTAL,MET,3280066.0,13.02,29597645.0,7.21,USEC-and-USG-Combined-September-2021.pdf
2021-09-01,BALTIMORE,THERMAL,813662.0,-5.37,10351010.0,66.0,USEC-and-USG-Combined-September-2021.pdf
2021-09-01,H ROADS,THERMAL,162677.0,14.07,1817554.0,20.74,USEC-and-USG-Combined-September-2021.pdf
2021-09-01,HOUSTON,THERMAL,13300.0,,289604.0,,USEC-and-USG-Combined-September-2021.pdf
2021-09-01,MOBILE,THERMAL,161902.0,55.67,344165.0,-20.71,USEC-and-USG-Combined-September-2021.pdf
2021-09-01,NOLA,THERMAL,390969.0,279.95,6913454.0,196.83,USEC-and-USG-Combined-September-2021.pdf
2021-09-01,TOTAL,THERMAL,1542510.0,27.55,19715787.0,87.7,USEC-and-USG-Combined-September-2021.pdf
2021-09-01,TOTAL,THERMAL,,,,,USEC-and-USG-Combined-September-2021.pdf
2021-10-01,BALTIMORE,MET,804455.0,135.0,5392392.0,8.53,USEC-and-USG-Combined-October-2021.pdf
2021-10-01,H ROADS,MET,2097971.0,5.92,21365915.0,14.59,USEC-and-USG-Combined-October-2021.pdf
2021-10-01,HOUSTON,MET,,,,,USEC-and-USG-Combined-October-2021.pdf
2021-10-01,MOBILE,MET,791365.0,8.41,6503129.0,-6.4,USEC-and-USG-Combined-October-2021.pdf
2021-10-01,NOLA,MET,,,,,USEC-and-USG-Combined-October-2021.pdf
2021-10-01,TOTAL,MET,3693791.0,20.99,33261436.0,8.49,USEC-and-USG-Combined-October-2021.pdf
2021-10-01,BALTIMORE,THERMAL,819959.0,2.88,11170969.0,58.85,USEC-and-USG-Combined-October-2021.pdf
2021-10-01,H ROADS,THERMAL,280322.0,,2097876.0,39.36,USEC-and-USG-Combined-October-2021.pdf
2021-10-01,HOUSTON,THERMAL,13354.0,,302958.0,,USEC-and-USG-Combined-October-2021.pdf
2021-10-01,MOBILE,THERMAL,152654.0,46.78,496819.0,-7.66,USEC-and-USG-Combined-October-2021.pdf
2021-10-01,NOLA,THERMAL,891401.0,198.97,7804856.0,197.08,USEC-and-USG-Combined-October-2021.pdf
2021-10-01,TOTAL,THERMAL,2157690.0,79.93,21873477.0,86.9,USEC-and-USG-Combined-October-2021.pdf
2021-10-01,TOTAL,THERMAL,,,,,USEC-and-USG-Combined-October-2021.pdf
2021-11-01,BALTIMORE,MET,590380.0,25.01,6061963.0,11.41,USEC-and-USG-Combined-November-2021.pdf
2021-11-01,H ROADS,MET,2035358.0,12.25,23489951.0,14.81,USEC-and-USG-Combined-November-2021.pdf
2021-11-01,HOUSTON,MET,,,,,USEC-and-USG-Combined-November-2021.pdf
2021-11-01,MOBILE,MET,441739.0,-48.46,6955340.0,-10.88,USEC-and-USG-Combined-November-2021.pdf
2021-11-01,NOLA,MET,,,,,USEC-and-USG-Combined-November-2021.pdf
2021-11-01,TOTAL,MET,3067477.0,-2.39,36507254.0,8.0,USEC-and-USG-Combined-November-2021.pdf
2021-11-01,BALTIMORE,THERMAL,797123.0,-17.06,11970866.0,49.76,USEC-and-USG-Combined-November-2021.pdf
2021-11-01,H ROADS,THERMAL,299231.0,56.86,2434094.0,43.51,USEC-and-USG-Combined-November-2021.pdf
2021-11-01,HOUSTON,THERMAL,42064.0,,424680.0,,USEC-and-USG-Combined-November-2021.pdf
2021-11-01,MOBILE,THERMAL,32999.0,-67.43,526431.0,-17.66,USEC-and-USG-Combined-November-2021.pdf
2021-11-01,NOLA,THERMAL,783098.0,47.05,8754753.0,177.07,USEC-and-USG-Combined-November-2021.pdf
2021-11-01,TOTAL,THERMAL,1954515.0,9.45,24110824.0,78.75,USEC-and-USG-Combined-November-2021.pdf
2021-11-01,TOTAL,THERMAL,,,,,USEC-and-USG-Combined-November-2021.pdf
2021-12-01,BALTIMORE,MET,461995.0,-2.5,6681917.0,12.97,USEC-and-USG-Combined-December-2021.pdf
2021-12-01,H ROADS,MET,2332130.0,24.97,25992429.0,16.42,USEC-and-USG-Combined-December-2021.pdf
2021-12-01,HOUSTON,MET,,,,,USEC-and-USG-Combined-December-2021.pdf
2021-12-01,MOBILE,MET,512353.0,-49.33,7479849.0,-15.16,USEC-and-USG-Combined-December-2021.pdf
2021-12-01,NOLA,MET,,,,,USEC-and-USG-Combined-December-2021.pdf
2021-12-01,TOTAL,MET,3306478.0,-1.34,40154196.0,8.08,USEC-and-USG-Combined-December-2021.pdf
2021-12-01,BALTIMORE,THERMAL,888555.0,-3.66,12719422.0,42.66,USEC-and-USG-Combined-December-2021.pdf
2021-12-01,H ROADS,THERMAL,150145.0,6.59,2484986.0,35.28,USEC-and-USG-Combined-December-2021.pdf
2021-12-01,HOUSTON,THERMAL,13363.0,,533548.0,,USEC-and-USG-Combined-December-2021.pdf
2021-12-01,MOBILE,THERMAL,198541.0,19.63,728359.0,-9.56,USEC-and-USG-Combined-December-2021.pdf
2021-12-01,NOLA,THERMAL,817135.0,51.2,9836255.0,165.83,USEC-and-USG-Combined-December-2021.pdf
2021-12-01,TOTAL,THERMAL,2067739.0,16.85,26302571.0,72.38,USEC-and-USG-Combined-December-2021.pdf
2021-12-01,TOTAL,THERMAL,,,,,USEC-and-USG-Combined-December-2021.pdf
2022-01-01,BALTIMORE,MET,588357.0,31.69,588357.0,31.69,USEC-and-USG-Combined-January-2022.pdf
2022-01-01,H ROADS,MET,1921429.0,-10.61,1921429.0,-10.61,USEC-and-USG-Combined-January-2022.pdf
2022-01-01,HOUSTON,MET,,,,,USEC-and-USG-Combined-January-2022.pdf
2022-01-01,MOBILE,MET,339082.0,-51.26,339082.0,-51.26,USEC-and-USG-Combined-January-2022.pdf
2022-01-01,NOLA,MET,,,,,USEC-and-USG-Combined-January-2022.pdf
2022-01-01,TOTAL,MET,2848868.0,-13.46,2848868.0,-13.46,USEC-and-USG-Combined-January-2022.pdf
2022-01-01,BALTIMORE,THERMAL,581835.0,-44.42,581835.0,-44.42,USEC-and-USG-Combined-January-2022.pdf
2022-01-01,H ROADS,THERMAL,284595.0,,284595.0,,USEC-and-USG-Combined-January-2022.pdf
2022-01-01,HOUSTON,THERMAL,42306.0,,42306.0,,USEC-and-USG-Combined-January-2022.pdf
2022-01-01,MOBILE,THERMAL,82999.0,-24.49,82999.0,-24.49,USEC-and-USG-Combined-January-2022.pdf
2022-01-01,NOLA,THERMAL,623709.0,3.9,623709.0,3.9,USEC-and-USG-Combined-January-2022.pdf
