vessel_name,port,terminal,shipper,shipper_norm,destination_country,receiver_group,coal_type,metric_tons,report_date,report_year,report_month,source_file
DANSAS,BALTIMORE,CNX,XCOAL,XCOAL,BRAZIL,GERDAU,MET,33347.0,2021-08-01,2021,8,USEC-and-USG-Combined-August-2021.pdf
NIREAS,BALTIMORE,CNX,XCOAL,XCOAL,BRAZIL,TERNIUM,MET,,2021-08-01,2021,8,USEC-and-USG-Combined-August-2021.pdf
XIN HONG,BALTIMORE,CNX,ROBINDALE,ROBINDALE,CHINA,TO ORDER,MET,49509.0,2021-08-01,2021,8,USEC-and-USG-Combined-August-2021.pdf
DANSAS,BALTIMORE,CSX,ARCH,ARCH,BRAZIL,GERDAU,MET,,2021-08-01,2021,8,USEC-and-USG-Combined-August-2021.pdf
CSSC GLADSTONE,BALTIMORE,CSX,ALLIANCE COAL,ALLIANCE,CHINA,TO ORDER,MET,80000.0,2021-08-01,2021,8,USEC-and-USG-Combined-August-2021.pdf
KT BIRDIE,BALTIMORE,CSX,ROBINDALE,ROBINDALE,CHINA,TO ORDER,MET,,2021-08-01,2021,8,USEC-and-USG-Combined-August-2021.pdf
NAVIOS HELIOS,BALTIMORE,CSX,ARCH,ARCH,JAPAN,NIPPON STEEL,MET,65000.0,2021-08-01,2021,8,USEC-and-USG-Combined-August-2021.pdf
MINERAL HAIKU,BALTIMORE,CSX,UNITED,UNITED,UKRAINE,METINVEST,MET,,2021-08-01,2021,8,USEC-and-USG-Combined-August-2021.pdf
DANSAS,H ROADS,DTA,BLACKHAWK,BLACKHAWK,BRAZIL,GERDAU,MET,21999.0,2021-08-01,2021,8,USEC-and-USG-Combined-August-2021.pdf
GENCO FREEDOM,H ROADS,DTA,ALPHA,ALPHA,BRAZIL,ARCELORMITTAL,MET,,2021-08-01,2021,8,USEC-and-USG-Combined-August-2021.pdf
SARA,H ROADS,DTA,ALPHA,ALPHA,BRAZIL,CSP,MET,43436.0,2021-08-01,2021,8,USEC-and-USG-Combined-August-2021.pdf
