shipper_norm,year,production_st,production_mt_equiv,vessel_calls_n,calls_with_tons,raw_exports_mt,annual_corr_factor,corrected_exports_mt,export_fraction_pct
ALLIANCE,2021,32217705.0,29227902.0,2.0,1.0,80000.0,2.232689430705837,178615.0,0.6
ALLIANCE,2022,35476965.0,32184703.0,7.0,4.0,181699.0,1.9700504815059154,357956.0,1.1
ALLIANCE,2023,34877324.0,31640708.0,4.0,2.0,63000.0,2.1102734257739506,132947.0,0.4
ALLIANCE,2024,32166339.0,29181303.0,5.0,3.0,186683.0,2.0641557547316407,385343.0,1.3
ALLIANCE,2025,33144950.0,30069099.0,,,,,0.0,0.0
ALPHA,2021,15835372.0,14365849.0,60.0,28.0,1303215.0,2.232689430705837,2909674.0,20.3
ALPHA,2022,15867344.0,14394854.0,161.0,74.0,4227537.0,1.9700504815059154,8328461.0,57.9
ALPHA,2023,16212735.0,14708193.0,182.0,94.0,5070904.0,2.1102734257739506,10700994.0,72.8
ALPHA,2024,15518008.0,14077937.0,205.0,109.0,5919502.0,2.0641557547316407,12218774.0,86.8
ALPHA,2025,14730561.0,13363565.0,91.0,85.0,4829818.0,1.9886938064949435,9605029.0,71.9
ALPHA,2026,0.0,0.0,6.0,6.0,356640.0,1.8476221035807328,658936.0,
AMCI,2024,0.0,0.0,1.0,1.0,85000.0,2.0641557547316407,175453.0,
AMCI,2025,0.0,0.0,2.0,2.0,114000.0,1.9886938064949435,226711.0,
AMCI,2026,0.0,0.0,2.0,2.0,64000.0,1.8476221035807328,118248.0,
ARCH,2021,0.0,0.0,36.0,14.0,682064.0,2.232689430705837,1522837.0,
ARCH,2022,0.0,0.0,93.0,51.0,3308863.0,1.9700504815059154,6518627.0,
ARCH,2023,0.0,0.0,90.0,42.0,2229510.0,2.1102734257739506,4704876.0,
ARCH,2024,0.0,0.0,110.0,54.0,2729889.0,2.0641557547316407,5634916.0,
ARCH,2025,0.0,0.0,10.0,6.0,313652.0,1.9886938064949435,623758.0,
AVANZA,2024,0.0,0.0,9.0,5.0,224387.0,2.0641557547316407,463170.0,
AVANZA,2025,0.0,0.0,13.0,11.0,703704.0,1.9886938064949435,1399452.0,
AVANZA TRADING,2024,0.0,0.0,3.0,2.0,108000.0,2.0641557547316407,222929.0,
AVANZA TRADING,2025,0.0,0.0,1.0,1.0,30000.0,1.9886938064949435,59661.0,
BELGIUM,2023,0.0,0.0,1.0,1.0,24000.0,2.1102734257739506,50647.0,
BLACKHAWK,2021,5978123.0,5423353.0,10.0,8.0,379397.0,2.232689430705837,847076.0,15.6
BLACKHAWK,2022,5381422.0,4882026.0,41.0,23.0,1140826.0,1.9700504815059154,2247485.0,46.0
