MINE_ID,CURRENT_MINE_NAME,CURRENT_CONTROLLER_NAME,STATE,CURRENT_MINE_STATUS,shipper_norm,prod_2021_st,prod_2022_st,prod_2023_st,prod_2024_st,prod_2025_st,prod_avg_annual_st,prod_total_st,basin,inferred_coal_type,longitude,latitude,railroad,export_relevant,coal_type_curated,is_active
1519374,RIVER VIEW MINE,Alliance Resource Partners LP,KY,Active,ALLIANCE,9847709.0,10158148.0,9714510.0,8999873.0,7085056.0,9161059.0,45805296.0,Central/Northern Appalachian,Unknown,-87.939,37.681,CSX; barge,True,Thermal_bituminous,1
4608864,Tunnel Ridge Mine,Alliance Resource Partners LP,WV,Active,ALLIANCE,7212501.0,8312644.0,7664330.0,6030327.0,5248018.0,6893564.0,34467820.0,Central/Northern Appalachian,Unknown,-80.748,39.987,CSX; barge,True,Crossover,1
1103203,Mine No. 1,Alliance Resource Partners LP,IL,Active,ALLIANCE,4938788.0,4693251.0,5624399.0,4773185.0,6470672.0,5300059.0,26500295.0,Illinois Basin,Thermal (bituminous),-88.494,37.967,CSX; barge,True,Thermal_bituminous,1
1202388,Gibson South,Alliance Resource Partners LP,IN,Active,ALLIANCE,3290186.0,5255627.0,5317234.0,5698564.0,5488076.0,5009937.0,25049687.0,Illinois Basin,Thermal (bituminous),-87.687,38.327,CSX; CN; barge,True,Thermal_bituminous,1
1517216,CARDINAL,Alliance Resource Partners LP,KY,Active,ALLIANCE,4141430.0,4115682.0,4375920.0,4406080.0,4483911.0,4304605.0,21523023.0,Central/Northern Appalachian,Unknown,-87.542,37.283,barge; CSX,True,Thermal_bituminous,1
4609028,Mountain View Mine,Alliance Resource Partners LP,WV,Active,ALLIANCE,1539656.0,1426966.0,820334.0,1082802.0,1167839.0,1207519.0,6037597.0,Central/Northern Appalachian,Unknown,-79.577,39.082,CSX,True,Crossover,1
1519838,Excel #5,Alliance Resource Partners LP,KY,Active,ALLIANCE,1247435.0,1514647.0,1233948.0,921222.0,669900.0,1117430.0,5587152.0,Central/Northern Appalachian,Unknown,-82.382,37.552,CSX,True,Crossover,1
1502709,Henderson County Mine,Alliance Resource Partners LP,KY,Active,ALLIANCE,0.0,0.0,126649.0,254286.0,2531478.0,582483.0,2912413.0,Central/Northern Appalachian,Unknown,,,,,,1
1103058,Pattiki ,Alliance Resource Partners LP,IL,NonProducing,ALLIANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Illinois Basin,Thermal (bituminous),,,,,,0
1103242,Hamilton County Coal Processing,Alliance Resource Partners LP,IL,Active,ALLIANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Illinois Basin,Thermal (bituminous),,,,,,1
1202494,Gibson North Processing,Alliance Resource Partners LP,IN,NonProducing,ALLIANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Illinois Basin,Thermal (bituminous),,,,,,0
1502129,Hamilton 1,Alliance Resource Partners LP,KY,NonProducing,ALLIANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Central/Northern Appalachian,Unknown,,,,,,0
1503178,River View Facilities,Alliance Resource Partners LP,KY,Active,ALLIANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Central/Northern Appalachian,Unknown,,,,,,1
1511012,"UC Processing, LLC",Alliance Resource Partners LP,KY,NonProducing,ALLIANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Central/Northern Appalachian,Unknown,,,,,,0
1511935,Smith Mine,Alliance Resource Partners LP,KY,NonProducing,ALLIANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Central/Northern Appalachian,Unknown,,,,,,0
1514335,Warrior Preparation Plant,Alliance Resource Partners LP,KY,Active,ALLIANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Central/Northern Appalachian,Unknown,,,,,,1
1517733,Preparation Plant,Alliance Resource Partners LP,KY,Active,ALLIANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Central/Northern Appalachian,Unknown,,,,,,1
1518547,Onton #9 ,Alliance Resource Partners LP,KY,Temporarily Idled,ALLIANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Central/Northern Appalachian,Unknown,,,,,,0
1519515,Mine #4,Alliance Resource Partners LP,KY,Abandoned and Sealed,ALLIANCE,0.0,,,,,0.0,0.0,Central/Northern Appalachian,Unknown,,,,,,0
1800671,Mettiki General,Alliance Resource Partners LP,MD,Active,ALLIANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Unknown,,,,,,1
4407223,Deep Mine 41,Alpha Metallurgical Resources Inc,VA,Active,ALPHA,2299854.0,2202104.0,2463315.0,2384072.0,2353926.0,2340654.0,11703271.0,Central Appalachian,Metallurgical,-82.223,37.211,NS,True,HCC,1
4609475,Workman Creek Surface,Alpha Metallurgical Resources Inc,WV,Active,ALPHA,2324938.0,1993727.0,1827237.0,1845651.0,1735019.0,1945314.0,9726572.0,Central/Northern Appalachian,Unknown,-81.347,37.762,CSX,True,PCI,1
4609522,Road Fork #52 Mine,Alpha Metallurgical Resources Inc,WV,Active,ALPHA,1471247.0,1813483.0,1963202.0,1772725.0,1689961.0,1742124.0,8710618.0,Central/Northern Appalachian,Unknown,-81.818,37.618,CSX,True,Semi-soft,1
4609575,Lynn Branch No. 2 Mine,Alpha Metallurgical Resources Inc,WV,Active,ALPHA,1030426.0,1442141.0,1257296.0,1213109.0,1255738.0,1239742.0,6198710.0,Central/Northern Appalachian,Unknown,-81.877,37.792,CSX,True,PCI,1
