port,terminal,vessel_calls,calls_with_tons,raw_mt_sum,avg_vessel_mt,met_pct,top_shippers_str,top_countries_str,unique_shippers,basin_origin,states_origin,tonnage_completeness_pct
H ROADS,NS,1102,635,30198947.0,47557.0,89.7,JAVELIN / INTEGRITY / XCOAL,BRAZIL / NETHERLANDS / INDIA,28,Central Appalachian,WV/VA,57.6
H ROADS,DTA,926,508,25913136.0,51010.0,97.3,ALPHA / ARCH / RAMACO,BRAZIL / INDIA / NETHERLANDS,16,Central Appalachian,WV/VA,54.9
MOBILE,MCDUFFIE,598,347,21780947.0,62769.0,94.5,WARRIOR / JAVELIN / PEABODY,BRAZIL / CHINA / NETHERLANDS,12,Warrior Basin,AL,58.0
BALTIMORE,CNX,489,265,20065045.0,75717.0,36.2,CONSOL / CNX / XCOAL,INDIA / BRAZIL / NETHERLANDS,11,Northern Appalachian,PA/WV,54.2
H ROADS,PIER IX,593,329,16937484.0,51482.0,76.7,JERA / BLACKHAWK / XCOAL,BRAZIL / INDIA / MOROCCO,17,Central Appalachian,WV/VA,55.5
BALTIMORE,CSX,354,200,16282802.0,81414.0,60.2,ARCH / JAVELIN / UNITED,INDIA / CHINA / JAPAN,14,Northern Appalachian,PA/WV,56.5
BALTIMORE,CONSOL,273,195,13714930.0,70333.0,49.1,CONSOL / CORE / ROBINDALE,INDIA / CHINA / BRAZIL,10,Northern Appalachian,PA/WV,71.4
NOLA,CMT,303,177,11064781.0,62513.0,2.0,JAVELIN / UK / TO ORDER,EGYPT / NETHERLANDS / INDIA,10,Illinois Basin / Gulf,KY/IL,58.4
NOLA,UBT,168,104,7046572.0,67756.0,2.4,IMI / JAVELIN / GLENCORE,EGYPT / INDIA / NETHERLANDS,14,Illinois Basin / Gulf,KY/IL,61.9
NOLA,MIDSTREAM,140,65,3278964.0,50446.0,3.6,MOROCCO / EGYPT / NETHERLANDS,MOROCCO / EGYPT / ROMANIA,37,Unknown,?,46.4
NOLA,BURNSIDE,34,24,1361584.0,56733.0,5.9,AVANZA / JAVELIN / TRAFIGURA,MOROCCO / CHINA / ARGENTINA,5,Illinois Basin / Gulf,KY/IL,70.6
HOUSTON,DEEPWATER,23,16,793741.0,49609.0,0.0,ARCH / TO ORDER,NETHERLANDS / CHILE / GERMANY,2,Gulf Coast Thermal,KY/IL/MS,69.6
MOBILE,CHIPCO,27,17,632290.0,37194.0,100.0,WARRIOR / UK,ARGENTINA / NETHERLANDS / ITALY,2,Warrior Basin,AL,63.0
HOUSTON,HBT,17,9,224028.0,24892.0,0.0,GUATEMALA / CHILE / BRAZIL,,4,Unknown,?,52.9
MOBILE,PASCAGOULA,3,2,111418.0,55709.0,100.0,XCOAL,JAPAN,1,Warrior Basin,AL/MS,66.7
NOLA,MCDUFFIE,4,2,108000.0,54000.0,0.0,HONDURAS,GERMANY / JAPAN / NETHERLANDS,1,Warrior Basin,AL,50.0
NOLA,ASCENSION,1,1,72000.0,72000.0,0.0,AVANZA,MOROCCO,1,Gulf Coast Thermal,KY/IL/MS,100.0
H ROADS,DEEPWATER,1,1,60374.0,60374.0,0.0,ARCH,NETHERLANDS,1,Gulf Coast Thermal,KY/IL/MS,100.0
PASCAGOULA,PASCAGOULA,1,1,57844.0,57844.0,100.0,,JAPAN,0,Warrior Basin,AL/MS,100.0
NOLA,IMT,2,2,54000.0,27000.0,0.0,MEXICO / BELGIUM,,2,Unknown,?,100.0
