name,company,facility_types,city,state,lat,lon,capacity_kt,capacity_notes,products,markets,feedstock,port_adjacent,water_access,barge_access,rail_served,status,startup_year,employees,notes
Freeport-McMoRan Miami Smelter,Freeport-McMoRan Inc.,primary_smelter|wire_rod_mill,Claypool,AZ,33.4106,-110.8426,590,Smelter ~590kt concentrate; IsaSmelt + 4 Hoboken converters; rod mill on-site,"blister copper, anode, copper rod","wire & cable, industrial","concentrate (FCX AZ mines), scrap",False,False,False,True,operating,1915,,"Only operating primary copper smelter in US besides Kennecott. IsaSmelt furnace (primary), ELKEM electric furnace (secondary), 4 Hoboken converters, acid plant. Processes concentrate from Morenci, Bagdad, Safford/Lone Star, Sierrita. SX/EW capacity 200M lbs/yr. Rod mill commissioned 1966."
Kennecott Utah Copper Smelter,Rio Tinto (Kennecott),primary_smelter,Magna,UT,40.7108,-112.0947,300,~300kt anode; Outotec flash smelter + Mitsubishi converter,copper anode (to adjacent refinery),cathode production,concentrate (Bingham Canyon mine),False,False,False,True,operating,1907,,"Flash smelting furnace + Mitsubishi continuous converting. Major rebuild 2023 (offline May-Sep). Returned to normal operations Q1 2024. Processes concentrate from Bingham Canyon (world's deepest open pit). Acid plant, molybdenum plant co-located."
Kennecott Utah Copper Refinery,Rio Tinto (Kennecott),primary_refinery,Magna,UT,40.7115,-112.093,280,Electrolytic refinery ~280kt cathode/yr,"LME Grade A copper cathode, gold, silver, selenium, tellurium","wire rod mills, brass mills, tube mills",anode (from adjacent smelter),False,False,False,True,operating,1907,,"Electrolytic refinery co-located with smelter. Rebuilds completed 2023-2024. Produces precious metals (Au, Ag) and specialty metals (Se, Te) as byproducts. Cathode shipped to domestic rod/brass mills."
Freeport-McMoRan El Paso Refinery & Rod Mill,Freeport-McMoRan Inc.,primary_refinery|wire_rod_mill,El Paso,TX,31.7851,-106.4016,408,Refinery capacity ~408kt cathode/yr (900M lbs); rod mill co-located,"copper cathode, copper rod, nickel carbonate, copper telluride, precious metals slimes (Au, Ag, Pt, Pd)","wire & cable, electrical, industrial","anode (from Miami smelter), scrap",False,False,False,True,operating,1993,,Sufficient capacity to refine all anode from Miami operation. Electrolytic refinery + continuous cast rod mill. One of world's largest copper rod producers. Copper Mark designation received 2021.
ASARCO Amarillo Refinery,ASARCO LLC (Grupo Mexico),primary_refinery,Amarillo,TX,35.222,-101.8313,185,Electrolytic refinery ~185kt; idled since Oct 2019,copper cathode,wire rod mills,anode,False,False,False,True,idled,1975,,Idled October 2019 along with ASARCO Hayden smelter. Grupo Mexico ownership. No announced restart date.
Freeport-McMoRan Morenci SX/EW,Freeport-McMoRan Inc.,sxew_refinery,Morenci,AZ,33.0851,-109.3412,363,SX/EW ~800M lbs/yr cathode from leach solutions,copper cathode (SX/EW),"wire rod mills, brass mills",pregnant leach solution (oxide ore),False,False,False,True,operating,1987,,"World's largest SX/EW copper operation. Part of Morenci mine complex (72% FCX, 15% Sumitomo, 13% SMM). SX/EW plant commissioned 1987."
Freeport-McMoRan Bagdad SX/EW,Freeport-McMoRan Inc.,sxew_refinery,Bagdad,AZ,34.5801,-113.2065,30,,copper cathode (SX/EW),,pregnant leach solution,False,False,False,True,operating,1970,,One of the longest continuously operating SX/EW plants in the world (since 1970). Bagdad 2X expansion under study to double mine production.
Freeport-McMoRan Safford/Lone Star SX/EW,Freeport-McMoRan Inc.,sxew_refinery,Safford,AZ,32.834,-109.7071,91,~200M lbs/yr; expansion to 300M lbs target,copper cathode (SX/EW),,pregnant leach solution,False,False,False,True,operating,,,Includes Lone Star mine (began 2020). Expansion projects underway to increase to 300M lbs/yr.
Freeport-McMoRan Sierrita SX/EW,Freeport-McMoRan Inc.,sxew_refinery,Green Valley,AZ,31.8743,-111.0897,25,,"copper cathode (SX/EW), molybdenum concentrate",,pregnant leach solution,False,False,False,True,operating,,,Open-pit copper-moly mine south of Tucson.
Freeport-McMoRan Tyrone SX/EW,Freeport-McMoRan Inc.,sxew_refinery,Silver City,NM,32.7307,-108.3422,45,SX/EW max capacity ~100M lbs/yr,copper cathode (SX/EW),,pregnant leach solution,False,False,False,True,operating,,,Open-pit porphyry copper mine. SX/EW only — no concentrator or smelter.
Freeport-McMoRan Chino/Santa Rita SX/EW,Freeport-McMoRan Inc.,sxew_refinery,Hurley,NM,32.7001,-108.1358,35,,"copper cathode (SX/EW), molybdenum",,pregnant leach solution + concentrator,False,False,False,True,operating,,,Historic Chino mine (Santa Rita). Open-pit. Concentrator + SX/EW.
ASARCO Ray SX/EW,ASARCO LLC (Grupo Mexico),sxew_refinery,Kearny,AZ,33.0541,-110.9118,60,,"copper cathode (SX/EW), copper concentrate",,pregnant leach solution,False,False,False,True,operating,,,Large open-pit copper mine with SX/EW + concentrator. Concentrate shipped to third-party smelters.
