bill of lading number,bill of lading type,arrival date,consignee (original format),shipper (original format),shipper (roll),consignee (roll),carrier,notify party,shipment origin,shipment destination,shipment destination region,shipment destination region roll,port of unlading roll up,port of unlading region,port of lading,port of lading country,place of receipt,vessel,vessel voyage id,vessel imo,quantity,measurement, weight (t) ,weight (original format),value of goods (usd),industry - gics,hs code,goods shipped,group,category,cargo,cargo detail,shipper unified,consignee unified,notify unified,report 1,report 2,report 3,report 4,report 5,report 6,filter,count
FALH5A7HRTOBP002,Simple,6/20/2025,"YARA NORTH AMERICA INC.
100 NORTH TAMPA STREET
SUITE 3200
TAMPA FL US 33602","YARA PORSGRUNN
Heroya Industripark
Porsgrunn
N 3908
Norway",YARA ,YARA,FALH - Federal Atlantic Lakes Line,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Toledo-Lucas Port Authority, Toledo, Ohio",North Central Region,North Central Region,Great Lakes,North Central Region,"All Other Norway Ports, Norway",Norway,NOHRY,FEDERAL KIVALINA,2504,9205885,1 DBK, ,3917,3917 E,15288000,30202030,Classified: 1604.14,CNG-STG,Bulk,Fertilizer,"Misc, Complex Fertilizers",Misc Specialty Fertilizers,",",",",",",,,,,,,,1
SFFVSMXXSA503001,Simple,5/27/2025,"YARA NORTH AMERICA, INC.
100 NORTH TAMPA STREET, SUITE 3800
P.O.BOX 24926
TAMPA, FLORIDA FL US 33602","YARA SUOMI OY
UUSIKAUPUNKI PLANT P.O.BOX 5
UUSIKAUPUNKI FI FI 23501",YARA ,YARA,SFFV - Spliethoff Transport B V,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Finland,"Georgia Ports Authority, Savannah, Georgia",Southeast Region,Southeast Region,Georgia Ports,Southeast Region,"Rauma, Finland",Finland,FIRAU,SAMPOGRACHT,2503,9288071,2673 PKG, ,3207.6,3207600 K,1572000,15101030,Parsed: 3105.20,"Fertiliser in Big Bags AMMONIUM NITRATE BASED FERTILIZER (NON-HAZARDOUS) COMPLEX FERTILIZER NK 22-0-12 IN 2750 BIG BAGS OF 1, 200. 00 KG NET / 1, 202. 40 KG GROSS HS/CN CODE 31052010",Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
SFFVSRPPJA504001,Simple,5/8/2025,"YARA NORTH AMERICA, INC.
100 NORTH TAMPA STREET, SUITE 3800
P.O.BOX 24926
TAMPA, FLORIDA FL US 33602","YARA SUOMI OY
UUSIKAUPUNKI PLANT P.O.BOX 5
UUSIKAUPUNKI FI FI 23501",YARA ,YARA,SFFV - Spliethoff Transport B V,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Finland,"Jacksonville, Florida",Southeast Region,Southeast Region,North Florida,Southeast Region,"Rauma, Finland",Finland,FIRAU,SPAARNEGRACHT,2504,9202558,3006 PKG, ,3607.2,3607200 K,1768000,15101030,Parsed: 3105.20,"Fertiliser in Big Bags AMMONIUM NITRATE BASED FERTILIZER (NON-HAZARDOUS) COMPLEX FERTILIZER NPK 17-07-14 IN 3084 BIG BAGS OF 1, 200. 00 KG NET / 1, 202. 40 KG GROSS HS/CN CODE 31052010",Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
FALH5AKHRTOBP002,Simple,4/17/2025,"YARA NORTH AMERICA INC.
100 NORTH TAMPA STREET
SUITE 3200
TAMPA FL US 33602","YARA PORSGRUNN
Heroya Industripark
Porsgrunn
N 3908
Norway",YARA ,YARA,FALH - Federal Atlantic Lakes Line,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Toledo-Lucas Port Authority, Toledo, Ohio",North Central Region,North Central Region,Great Lakes,North Central Region,"All Other Norway Ports, Norway",Norway,NOHRY,FEDERAL KATSURA,2503,9293923,1 DBK, ,3100,3100000 K,344000,15101030,Classified: 3102.60,CALCIUM NITRATE IN BULK,Bulk,Fertilizer,Nitrogen Fertilizers,Calcium Nitrate,",",",",",",,,,,,,,1
FALH5AKGLTOBP001,Simple,4/17/2025,"YARA NORTH AMERICA INC.
100 NORTH TAMPA STREET
SUITE 3200
TAMPA FL US 33602","YARA GLOMFJORD
PO BOX 190
GLOMFJORD  NO 8161",YARA ,YARA,FALH - Federal Atlantic Lakes Line,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Toledo-Lucas Port Authority, Toledo, Ohio",North Central Region,North Central Region,Great Lakes,North Central Region,"All Other Norway Ports, Norway",Norway,NOGLO,FEDERAL KATSURA,2503,9293923,1 DBK, ,2350,2350000 K,261000,15101030,Classified: 3102.60,CALCIUM NITRATE IN BULK,Bulk,Fertilizer,Nitrogen Fertilizers,Calcium Nitrate,",",",",",",,,,,,,,1
TOBOKOCI02253,Simple,4/4/2025,"YARA NORTH AMERICA INC
100 N.TAMPA STREET, SUITE 3200
P.O. BOX 24926
TAMPA, FL 33602","YARA SLUISKIL B.V.
INDUSTRIEWEG 10
HAVEN 2111, 4541 HJ SLUIDKIL
THE NETHERLANDS
TETAX ID: NL0060 06 802 B01",YARA ,YARA,TOBO - Tma Bulk & Logistics Inc. C/O Tma Bulk Gmbh & Co.Kg,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Netherlands,"Port of New Orleans, New Orleans, Louisiana",South Central Region,South Central Region,Lower Mississippi River,South Central Region,"Sluiskil, Netherlands",Netherlands,SLUISKIL,KOCIEWIE,006L,9423798,1 BLK, ,13200,13200000 ET,8303000,15101030,Classified: 3105.20,"FERTILIZERS WITHOUT NITRATES, AMIDAS, IN BULK",Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
GSSWHNA23553A,Simple,4/4/2025,"YARA NORTH AMERICA INC.
YARA NORTH AMERICA INC. 100 NORTH T
AMPA STREET  SUITE 3200 P.O. BOX 24
926 TAMPA  FLORIDA 33602 USA","YARA NORGE AS
YARA NORGE AS YARA PORSGRUNN 3905 P
ORSGRUNN NORWAY",YARA ,YARA,GSSW - G2 Ocean Us Inc,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Port of Stockton, Stockton, California",Pacific Region,Pacific Region,California Ports,Pacific Region,"All Other Norway Ports, Norway",Norway,NOHRY,HANSA NAREE,2501,9738674,1 UNT, ,4003,4003000 K,1889000,15101030,Classified: 3105.20,NPK Description: 1 BULK AMMONIUM NITRATE BASED FERTILIZER (NON-H COMPLEX FERTILIZER 15-15-15S IN BULK Marks: NO MARKS,Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
GSSWHNA23555A,Simple,4/4/2025,"YARA NORTH AMERICA  INC.
YARA NORTH AMERICA  INC. 100 N. TAM
PA STREET A  SUITE 3200 TAMPA  FLA
A  33602A USA","YARA NORGE AS
YARA NORGE AS YARA GLOMFJORD ORNESV
EIEN 3 8160  GLOMFJORD NORWAY    47
75 71 91 00",YARA ,YARA,GSSW - G2 Ocean Us Inc,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Port of Stockton, Stockton, California",Pacific Region,Pacific Region,California Ports,Pacific Region,"Antwerp, Belgium",Belgium,BEANR,HANSA NAREE,2501,9738674,2916 BAG, ,3506.2,3506198 K,393000,15101030,Parsed: 3102.60.00.00,CALCIUM NITRATE IN BIG BAGS Description: 2916 BAGS CALCIUM NITRATE SOLUTION QUALITY HS CODE 3102-60-0000 REMARKS AS PER M/R - QUANTITY FOR CARGO LOADED IS AS PER SHORE - CARGO WAS LOADED AS LOAD PORT / AS PER SHOR DO NOT ACCEPT ANY CLAIMS ARISING OUT OF SHORT - WEIGHT QUANTITY AND QUALITY UNKNOWN LOADED BREAKBULK SHIPPED ON BOARD Marks: SEKKER PA34IP1200,Bulk,Fertilizer,Nitrogen Fertilizers,Calcium Nitrate,",",",",",",,,,,,,,1
GSSWHNA23554A,Simple,4/4/2025,"YARA NORTH AMERICA INC.
YARA NORTH AMERICA INC. 100 NORTH T
AMPA STREET  SUITE 3200 P.O. BOX 24
926 TAMPA  FLORIDA 33602 USA","YARA NORGE AS
YARA NORGE AS YARA PORSGRUNN 3905 P
ORSGRUNN NORWAY",YARA ,YARA,GSSW - G2 Ocean Us Inc,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Port of Stockton, Stockton, California",Pacific Region,Pacific Region,California Ports,Pacific Region,"All Other Norway Ports, Norway",Norway,NOHRY,HANSA NAREE,2501,9738674,1 UNT, ,3500,3500000 K,12131000,15101010,Classified: 3811.21,CALCIUM NITRATE Description: 1 BULK CALCIUM NITRATE STG IN BULK Marks: NO MARKS,Bulk,Fertilizer,Nitrogen Fertilizers,Calcium Nitrate,",",",",",",,,,,,,,1
TOBOKOCI02252,Simple,3/22/2025,"YARA NORTH AMERICA INC
100 N.TAMPA STREET, SUITE 3200
P.O. BOX 24926
TAMPA, FL 33602","YARA SLUISKIL B.V.
INDUSTRIEWEG 10
HAVEN 2111, 4541 HJ SLUIDKIL
THE NETHERLANDS
TETAX ID: NL0060 06 802 B01",YARA ,YARA,TOBO - Tma Bulk & Logistics Inc. C/O Tma Bulk Gmbh & Co.Kg,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Netherlands,"Port Of Entry-Morehead City - Beaufort, Beaufortâ€‘Morehead City, North Carolina",Southeast Region,Southeast Region,North Carolina Ports,Southeast Region,"Sluiskil, Netherlands",Netherlands,SLUISKIL,KOCIEWIE,006L,9423798,1 BLK, ,6800,6800000 ET,5114000,15101030,Classified: 3105.20,"FERTILIZERS WITHOUT NITRATES, AMIDAS IN BULK",Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
