"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"IR3KETH7","book","1974","Subcommittee, United States Congress Senate Committee on Commerce Merchant Marine","Barge Operations on the Mississippi River: Hearing Before the Subcommittee on Merchant Marine of the Committee on Commerce, United States Senate, Ninety-third Congress, Second Session on Barge Operations on the Mississippi River at the Port of New Orleans, March 19, 1974","","","","","","","1974","2025-07-22 04:54:45","2025-07-22 04:54:45","","","52","","","","","Barge Operations on the Mississippi River","","","","","U.S. Government Printing Office","","en","","","","","Google Books","","Google-Books-ID: 1h0QAAAAIAAJ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UCA6G8G4","book","1990","Evans, J. J.; Marlow, P. B.","Quantitative methods in maritime economics. 2nd ed","","978-1-870093-31-6","","","","","1990","2025-05-23 06:25:30","2025-07-24 16:27:43","","","288","","","","","","","","","","Fairplay Publications","Coulsdon","eng","","","","","K10plus ISBN","","","","C:\Users\wsd3\Zotero\storage\QQBT6GET\Quantitative Methods in Maritime Economics.pdf; C:\Users\wsd3\Zotero\storage\WKLPCT3I\Quantitative Methods in Maritime Economics.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GRTNCVZM","book","2022","Sharma, Dinesh K.; Jain, Madhu","Data Analytics and Artificial Intelligence for Inventory and Supply Chain Management","","978-981-19-6336-0 978-981-19-6337-7","","","","Intro -- Foreword -- Preface -- Acknowledgements -- About This Book -- Contents -- Editors and Contributors -- 1 Markov Decision Processes of a Two-Tier Supply Chain Inventory System -- 1.1 Markov Decision Processes of a Supply Chain -- 1.2 M/M1 + M2/1 /K-Rule/f1-policy Queues + Inventory Model with Backorders -- 1.2.1 The Stable M/M1 + M/1 /K-rule/f1-policy Model -- 1.3 Performance Measures for the Inventory-Queueing System -- 1.4 Results for the SCM Attached to M/M/1 Queues with Zero Lead Time -- 1.5 SCM Attached M/M1 + M2/1/K-rule/f2-Policy with Dissatisfied Customers -- 1.5.1 Optimum Order Quantity ""Q*"" -- 1.6 Conclusion -- References -- 2 Nature-Inspired Optimization for Inventory Models with Imperfect Production -- 2.1 Introduction -- 2.2 An Imperfect Production Inventory Model -- 2.3 Inventory Production Systems with Process Reliability -- 2.4 Nature-Inspired Optimization at a Glance -- 2.5 Important Contributions on Nature-Inspired Optimization for Inventory Control -- 2.6 Economic Production Quantity (EPQ) Models and NIO Algorithms -- 2.7 Conclusions -- References -- 3 A Multi-objective Mathematical Model for Socially Responsible Supply Chain Inventory Planning -- 3.1 Introduction -- 3.2 Literature Survey -- 3.3 Assumptions and Notation -- 3.4 Multi-objective Model -- 3.4.1 Objective Functions -- 3.4.2 Constraints Sets -- 3.5 Solution Methodology and Result -- 3.6 Conclusions -- References -- 4 Artificial Intelligence Computing and Nature-Inspired Optimization Techniques for Effective Supply Chain Management -- 4.1 Introduction -- 4.2 Basic Concepts of AI -- 4.2.1 Categorization of AI -- 4.3 Nature-Inspired Optimization (NIO) -- 4.4 Supply Chain Management -- 4.4.1 Two Echelon Supply Chain Inventory Model -- 4.5 Role of AI and NIO Algorithm in SCM -- 4.5.1 Artificial Neural Network -- 4.5.2 Adaptive Neuro-Fuzzy Inference System (ANFIS)","2022","2025-06-17 06:08:47","2025-06-17 06:08:47","","","1","","","","","","Inventory Optimization Series","","","","Springer","Singapore","eng","","","","","K10plus ISBN","","","","C:\Users\wsd3\Zotero\storage\89NM8XI2\640215849-Inventory-Optimization-Dinesh-K-Sharma-Madhu-Jain-Data-Analytics-and-Artificial-Intelligence-for-Inventory-and-Supply-Chain-Management-Springer.pdf","","","","","","","Jain, Madhu","","","","","","","","","","","","","","","","1st ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JKNCZ5NM","book","2015","Sebastian, Hans-Jürgen; Mueller, Thomas","Quantitative Approaches in Logistics and Supply Chain Management: Proceedings of the 8th Workshop on Logistics and Supply Chain Management, Berkeley, California, October 3rd and 4th, 2013","","978-3-319-12855-9 978-3-319-12856-6","","","","This contributed volume presents selected research papers from the 8th workshop on Logistics and Supply Chain Management, which was held in October 2013 in Berkeley, California. It focuses on the topical issue of quantitative approaches in logistics and supply chain management, mainly covering facility location and location routing; vehicle routing and scheduling; courier, express and parcel service network design; healthcare logistics as well as logistics risk management. The target audience primarily comprises research experts and practitioners in the field, but the book will also be beneficial to graduate students","2015","2025-07-16 22:07:17","2025-07-24 16:57:37","","","196","","","","","Quantitative Approaches in Logistics and Supply Chain Management","Lecture Notes in Logistics","","","","Springer","Cham Heidelberg New York Dordrecht London","eng","","","","","K10plus ISBN","","","","C:\Users\wsd3\Zotero\storage\HCU6KCEV\470836586-Quantitative-Approaches-in-Logistics-and-Supply-Chain-Management-Proceedings-of-the-8th-Workshop-on-Logistics-and-Supply-Chain-Management-Berkeley.pdf; C:\Users\wsd3\Zotero\storage\WAJJ6ND2\470836586-Quantitative-Approaches-in-Logistics-and-Supply-Chain-Management-Proceedings-of-the-8th-Workshop-on-Logistics-and-Supply-Chain-Management-Berkeley.pdf","","","","Kaminsky, Philip","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B99TJ636","book","2016","Steele, Brian; Chandler, John; Reddy, Swarna","Algorithms for Data Science","","978-3-319-45795-6 978-3-319-45797-0","","","http://link.springer.com/10.1007/978-3-319-45797-0","","2016","2025-07-23 03:16:15","2026-01-01 21:35:30","2025-07-23 03:16:15","","","","","","","","","","","","Springer","Cham Heidelberg New York Dordrecht London","en","http://www.springer.com/tdm","","","","Crossref","","DOI: 10.1007/978-3-319-45797-0","","C:\Users\wsd3\Zotero\storage\3EHC4TPH\349817531-Algorithms-for-Data-Science-1st-Brian-Steele-Www-e_62105307.pdf; C:\Users\wsd3\Zotero\storage\ESJT4WPH\Steele et al.Algorithms for Data Scien2016.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSUQSAHW","book","2007","Yu, Tun‐Hsiang (Edward); Bessler, David A.; Fuller, Stephen W.","Price Dynamics in U.S. Grain and Freight Markets","","","","","https://onlinelibrary.wiley.com/doi/10.1111/j.1744-7976.2007.00098.x","This paper studies the spatial price linkages in U.S. grain and transportation markets using cointegration analysis and algorithms of inductive causation on directed acyclic graphs. Transport costs and prices from alternative transportation modes are considered to provide a relatively comprehensive view of the interaction between grain and freight markets over time. Dynamic relationship among corn prices in selected U.S. markets and freight rates, extending from January 1990 to December 2002, are explored. Results suggest the Mississippi Gulf (lower Mississippi River port area) is the most dominant corn market among evaluated export and domestic markets. Also, grain barge rates on the upper Mississippi/Illinois Rivers influence domestic corn markets in contemporaneous time. In the longer‐run, significant dynamic relationships among prices in domestic and export corn markets and freight rates are observed; perturbations in transportation rates affect the variation in corn prices considerably.                                         Le présent article examine les relations d'arbitrage spatial entre les prix pour les marchés des céréales et du transport aux États‐Unis à l'aide d'une analyse de cointégration et d'algorithmes utilisant la notion de causalité inductive sur des graphiques acycliques orientés. Les coûts et les prix de divers modes de transport sont examinés afin de fournir un tableau assez complet de l'interaction entre le marché des céréales et le marché du fret au fil du temps. Nous avons exploré la relation dynamique entre les prix du maïs sur des marchés états‐uniens sélectionnés et les taux de fret, entre janvier 1990 et décembre 2002. Les résultats indiquent que le golfe du Mississippi (zone portuaire du Mississippi inférieur) est le marché de maïs le plus important parmi les marchés intérieurs et extérieurs évalués. Les frais de transport des céréales par barge sur le cours supérieur du Mississippi et la rivière Illinois influencent les marchés intérieurs du maïs à l'heure actuelle. À long terme, des liens dynamiques importants entre les prix sur les marchés du maïs intérieur et extérieurs et les frais de transport sont observés. Des changements de frais de transport affectent considérablement la variation des prix du maïs.","2007-09","2025-08-15 01:04:57","2025-08-15 01:04:57","2025-08-15 01:04:57","","","","55","","","","","","","","","","en","http://onlinelibrary.wiley.com/termsAndConditions#vor","","","","DOI.org (Crossref)","","","","C:\Users\wsd3\Zotero\storage\M6VX6BE2\Yu et al.Price Dynamics in U.S. Gr092007.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WZ756DAP","book","","Chen, Zhenhua","Spatial Impact of Transportation Infrastructure: A Spatial Econometric CGE Approach","","","","","","Transportation infrastructure plays an important role in regional economic development both in the stimulation of growth and as a response to output expansion. However, measuring these effects quantitatively has been a challenge due to the complicated impact mechanisms of transportation infrastructure. This complication is due to two reasons: first, regional impacts of transportation infrastructure are achieved through a mechanism that involves both a demand influence through the variation of transportation price and a supply influence implemented through the variation of transportation cost; second, impacts of transportation are usually evaluated in a regional context where the presence of unobserved local or regional variables may give rise to spatial autocorrelation. As a result, impact analysis may become biased and spurious. This study develops a new method called Spatial Econometric Computable General Equilibrium (SECGE) model, which integrates both spatial econometrics with equilibrium modeling techniques to improve the effectiveness of impact analysis on transportation infrastructure.","","2025-08-15 01:05:10","2025-08-15 01:05:10","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\W229VWX5\ChenSpatial Impact of Transpo.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TXXPUD2P","book","","","Lock_Congestion_and_Its_Impact_on_Grain","","","","","","","","2025-08-15 01:27:23","2025-08-15 01:27:23","","","","","","","","","","","","","","","","","","","","","","","","C:\Users\wsd3\Zotero\storage\3GXC9KDB\Lock_Congestion_and_Its_I.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BP6RKD3F","book","","","Port_Performance_Freight_Statistics_Prog","","","","","","","","2025-08-15 01:29:29","2025-08-15 01:29:29","","","","","","","","","","","","","","","","","","","","","","","","C:\Users\wsd3\Zotero\storage\WQL8TQWJ\Port_Performance_Freight_.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"93SKVMPQ","book","2018","Melo, Isotilia Costa; Junior, Paulo Nocera Alves; Perico, Ana Elisa; Guzman, Maria Gabriela Serrano; Rebelatto, Daisy Aparecida Do Nascimento","Benchmarking freight transportation corridors and routes with data envelopment analysis (DEA)","","","","","http://www.emerald.com/bij/article/25/2/713-742/66191","Purpose               The purpose of this paper is to collectively measure and compare the efficiency of Brazilian and American soybean transport corridors, from farmers to export ports, using the data envelopment analysis (DEA).                                         Design/methodology/approach               This paper aims to determine routes from main producing micro-regions to main export ports, specifically using slack-based measure and variables that represent the three pillars of sustainability (economic, social, and environmental). The choice of variables was guided by literature review and analyzed through the principal component analysis. After the application of the model, the quantitative tiebreaking method of the composite index is applied.                                         Findings               The findings are coherent with a global report that compares soybean transportation in both countries (Brazil and USA). Efficient routes and corridors tend to present short distance truck trips and long distance train or barge trips. The efficiency of the inland waterway trips depends on how many barges are used in the same expedition. Routes with more than three modes tend to be inefficient which suggest that there is a limit for multimodality.                                         Originality/value               Corridor benchmarking is a rare topic in the literature and previous works normally focus on some specific and limited corridor performance characteristics, such as cost. The main contribution of this research is that it expands the discussion regarding corridor benchmarking and it focuses on efficiency as a whole. The paper also proposes a method that can be applied in different logistics contexts, like expanding the study to different countries. More specifically, this method could be used in infrastructure investments programs.","2018-03-05","2025-08-15 01:26:26","2026-01-01 21:35:13","2025-08-15 01:53:30","","","","25","","","","","","","","","","en","https://www.emerald.com/insight/site-policies","","","","DOI.org (Crossref)","","","","C:\Users\wsd3\Zotero\storage\33M6X39R\Benchmarking_freight_tran.pdf; C:\Users\wsd3\Zotero\storage\IPAP2VMZ\Melo et al.Benchmarking freight tran2018-03-05.pdf; C:\Users\wsd3\Zotero\storage\LTUFI7UN\Benchmarking_freight_tran.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
