facility_id,dataset_source,source_record_id,source_name,source_address,source_city,source_county,source_lat,source_lng,distance_meters,name_similarity,match_confidence,match_method
MRTIS_0004,EPA_FRS,110054247640,A WILBERT SONS 26 #1 PRODUCTION FACILITY,OFF HWY 415 ON I-10 FRONTAGE RD 6 MI SW OF,PORT ALLEN,WEST BATON ROUGE,30.43051,-91.32041,2054.4,0.178,LOW,spatial+fuzzy_name
MRTIS_0004,EPA_FRS,110071882061,A WILBERTS SONS NO. 1 FACILITY,"4.76 MILES NW OF BRUSLY, LA",BRUSLY,WEST BATON ROUGE COUNTY,30.434412,-91.32382,2595.0,0.235,LOW,spatial+fuzzy_name
MRTIS_0004,EPA_FRS,110071882062,A WILBERTS SONS NO. 3 FACILITY,"4.7 MILES NW OF BRUSLY, LA",BRUSLY,WEST BATON ROUGE COUNTY,30.427663,-91.32926,2387.2,0.235,LOW,spatial+fuzzy_name
MRTIS_0004,EPA_FRS,110007368160,ARCOSA MARINE PRODUCTS INC - PLANT #48 (1048),7555 CHOCTAW RD,BRUSLY,WEST BATON ROUGE,30.38831,-91.31271,2941.2,0.13,LOW,spatial+fuzzy_name
MRTIS_0004,EPA_FRS,110071498770,ARCOSA MARINE PRODUCTS INC - PLANT 1048,7555 CHOCTAW RD,BRUSLY,WEST BATON ROUGE PARISH,30.38831,-91.31271,2941.2,0.15,LOW,spatial+fuzzy_name
MRTIS_0004,EPA_FRS,110011151056,BRUSLY WASTEWATER TREATMENT FACILITY,END OF LIVE OAK DRIVE,BRUSLY,WEST BATON ROUGE,30.4082,-91.2879,2189.8,0.098,LOW,spatial+fuzzy_name
MRTIS_0004,EPA_FRS,110054136671,NEW PAINT BUILDING,7555 CHOCTAW RD,BRUSLY,WEST BATON ROUGE,30.38831,-91.31271,2941.2,0.261,LOW,spatial+fuzzy_name
MRTIS_0004,EPA_FRS,110071782780,SCOTT THOMAS DEVELOPMENT LLC - MORLEY ACRES RV PARK,7246 CHOCTAW RD.,BRUSLY,WEST BATON ROUGE,30.38811,-91.311487,2953.4,0.115,LOW,spatial+fuzzy_name
MRTIS_0004,EPA_FRS,110071339131,TOTAL BARGE SERVICES,7555 CHOCTAW RD,BRUSLY,WEST BATON ROUGE,30.38831,-91.31271,2941.2,0.24,LOW,spatial+fuzzy_name
MRTIS_0016,EPA_FRS,110009014501,BELLSOUTH TELECOMMUNICATIONS,8201 SARO LN,ST BERNARD,ST. BERNARD,29.868301,-89.894524,2570.4,0.087,LOW,spatial+fuzzy_name
