facility_id,canonical_name,zone_name,facility_type,lat,lng,mrtis_mile,usace_mile,usace_name,port,waterway,owners,operators,commodities,city,county,state,epa_frs_links
MRTIS_0001,Chevron Empire,Chevron Empire,Tank Storage,29.3714103025487,-89.5544584475919,27.0,27.0,"CHEVRON PIPE LINE CO., EMPIRE WHARVES","Plaquemines Port, Harbor and Terminal District, LA","Mississippi River, New Orleans, LA to Mouth of Passes",,Current Operator: CHEVRON PIIPELINE CO. EMPIRE WHARVES Phone: 504-681-5615,Crude Petroleum,BURAS,Plaquemines,LA,0
MRTIS_0002,UBT Davant,United Bulk,Bulk Terminal,29.6168983461027,-89.8920515495492,55.0,55.0,UNITED BULK TERMINAL DEVANT LA,"Plaquemines Port, Harbor and Terminal District, LA","Mississippi River, New Orleans, LA to Mouth of Passes",,"Current Operator: TECO, BULK TERMINAL Phone: 985-333-7222 | Current Operator: UNITED BULK TERMINAL Phone: 985-3337400 FAX: 985-333-7333","Coal,Lignite & Coal Coke | Fertilizers | Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Material | Iron Ore and Iron & Steel Waste & Scrap",Davant,Plaquemines,LA,0
MRTIS_0003,UBT Davant,United Bulk Terminal,Bulk Terminal,29.6168983461027,-89.8920515495492,55.0,55.0,UNITED BULK TERMINAL DEVANT LA,"Plaquemines Port, Harbor and Terminal District, LA","Mississippi River, New Orleans, LA to Mouth of Passes",,"Current Operator: TECO, BULK TERMINAL Phone: 985-333-7222 | Current Operator: UNITED BULK TERMINAL Phone: 985-3337400 FAX: 985-333-7333","Coal,Lignite & Coal Coke | Fertilizers | Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Material | Iron Ore and Iron & Steel Waste & Scrap",Davant,Plaquemines,LA,0
MRTIS_0004,IMT Coal,IMT Coal,Bulk Terminal,30.4146144720698,-91.309489967174,57.0,57.0,MILE 57  PORT ALLEN ROUTE,"Port of Greater Baton Rouge, LA","Gulf Intracoastal Waterway, Morgan City-Port Allen Route, LA",,,,PORT ALLEN,West Baton Rouge,LA,9
MRTIS_0005,IMT Coal,IMT Coal Ship Dock,Bulk Terminal,29.6254673471383,-89.9187905571749,57.0,57.0,"CANDIES SHIPBUILDERS, LLC","Terrebonne Parish Port Commission, LA","Gulf Intracoastal Waterway, Mississippi River, LA, to Sabine River, TX",,"Current Operator: CANDIES SHIPBUILDERS, LLC Phone: 985-879-3346","Primary Iron and Steel Products (Ingots,Bars,Rods,etc.) | Primary Non-Ferrous Metal Products;Fabricated Metal Prods.",HOUMA,Terrebonne,LA,0
MRTIS_0006,MGMT,Mrytle Grove Marine Terminal,Mid-Stream,29.6308233480816,-89.9261165593885,57.0,57.0,MYRTLE GROVE MIDSTREAM TERMINAL (MGMT),"Plaquemines Port, Harbor and Terminal District, LA","Mississippi River, New Orleans, LA to Mouth of Passes",,,"Coal,Lignite & Coal Coke | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Pitches, Coke, Asphalt, Naptha and Solvents | Fertilizers | Other Chemicals and Related Products | Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Materia",,Plaquemines,LA,0
MRTIS_0007,MGMT,Myrtle Grove Marine,Mid-Stream,29.6308233480816,-89.9261165593885,57.0,57.0,MYRTLE GROVE MIDSTREAM TERMINAL (MGMT),"Plaquemines Port, Harbor and Terminal District, LA","Mississippi River, New Orleans, LA to Mouth of Passes",,,"Coal,Lignite & Coal Coke | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Pitches, Coke, Asphalt, Naptha and Solvents | Fertilizers | Other Chemicals and Related Products | Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Materia",,Plaquemines,LA,0
MRTIS_0008,Cenex Harvest States,Cenex Harvest States,Elevator,29.6741723563786,-89.9641725715335,62.0,61.8,"CENEX HARVEST STATES COOPERATIVES, MYRTLE GROVE TERMINAL WHARF","Plaquemines Port, Harbor and Terminal District, LA","Mississippi River, New Orleans, LA to Mouth of Passes",Current Owner and Operator: Cenex Harvest States Cooperatives. Phone: 985/656-2212 x 225 FAX: 985/656-7296,,"Coal,Lignite & Coal Coke | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Pitches, Coke, Asphalt, Naptha and Solvents | Fertilizers | Other Chemicals and Related Products | Forest Products, Lumber, Logs, Woodchips | Iron Ore and Iro",Myrtle Grove,Plaquemines,LA,0
MRTIS_0009,Phillips 66 Alliance,Phillips 66 Alliance 2,Tank Storage,29.690561359642,-89.9744495750093,63.0,63.0,HARVEST MIDSTREAM BERTH 2,"Plaquemines Port, Harbor and Terminal District, LA","Mississippi River, New Orleans, LA to Mouth of Passes","Current Owner and Operator: Phillips 66 Co., a division of Conoco Phillips, Inc. Phone: 504/656-3229 FAX: 504/656-3327",,"Petroleum and Petroleum Products | Crude Petroleum | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases",Alliance,Plaquemines,LA,0
MRTIS_0010,Phillips 66 Alliance ,Phillips 66 Alliance 1,Tank Storage,29.690561359642,-89.9744495750093,63.0,63.0,HARVEST MIDSTREAM BERTH 2,"Plaquemines Port, Harbor and Terminal District, LA","Mississippi River, New Orleans, LA to Mouth of Passes","Current Owner and Operator: Phillips 66 Co., a division of Conoco Phillips, Inc. Phone: 504/656-3229 FAX: 504/656-3327",,"Petroleum and Petroleum Products | Crude Petroleum | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases",Alliance,Plaquemines,LA,0
MRTIS_0011,Chevron Oak Point,Chevron Oak Point,Tank Storage,29.8091523845185,-90.0077075890201,72.0,72.3,"CHEVRON ORONITE, OAK POINT PLANT WHARF","Plaquemines Port, Harbor and Terminal District, LA","Mississippi River, New Orleans, LA to Mouth of Passes","Current Owner: Hero Lands Co., Inc.","Current Operator: Chevron Oronite, LLC, a subsidiary of ChevronTexaco, Inc. Phone: 504/391-6516 FAX: 504/391-6665","Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Pitches, Coke, Asphalt, Naptha and Solvents | Petroleum Products NEC | Other Chemicals and Related Products | Sand, Gravel, Stone, Rock, Limestone, Soil,",Belle Chasse,Plaquemines,LA,0
MRTIS_0012,Cooper Dockside Buoys ,Dockside Buoys Upper,Mid-Stream,29.8011823827408,-90.0088465889936,72.0,72.0,COOPER/CONSOLIDATED MIDSTREAM BUOY,"Plaquemines Port, Harbor and Terminal District, LA","Mississippi River, New Orleans, LA to Mouth of Passes",,,,Belle Chasse,Plaquemines,LA,0
MRTIS_0013,Copper Dockside Buoys ,Dockside Buoys Lower,Mid-Stream,29.8011823827408,-90.0088465889936,72.0,72.0,COOPER/CONSOLIDATED MIDSTREAM BUOY,"Plaquemines Port, Harbor and Terminal District, LA","Mississippi River, New Orleans, LA to Mouth of Passes",,,,Belle Chasse,Plaquemines,LA,0
MRTIS_0014,Stolthaven,Stolthaven 3,Tank Storage,29.8710954000563,-89.9451815746415,80.0,79.0,"STOLTHAVEN NEW ORLEANS, BERTHS NO. 3 & 4","Plaquemines Port, Harbor and Terminal District, LA","Mississippi River, New Orleans, LA to Mouth of Passes",,"Current Operator: STOLTHAVEN NEW ORLEANS, BERTHS NO. 3 & 4","Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Pitches, Coke, Asphalt, Naptha and Solvents | Petroleum Products NEC | Fertilizers | Other Chemicals and Related Products | Forest Products, Lumber, Logs,","Braithwaite, LA",Plaquemines,LA,0
MRTIS_0015,Stolthaven,Stolthaven 4,Tank Storage,29.8710954000563,-89.9451815746415,80.0,79.0,"STOLTHAVEN NEW ORLEANS, BERTHS NO. 3 & 4","Plaquemines Port, Harbor and Terminal District, LA","Mississippi River, New Orleans, LA to Mouth of Passes",,"Current Operator: STOLTHAVEN NEW ORLEANS, BERTHS NO. 3 & 4","Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Pitches, Coke, Asphalt, Naptha and Solvents | Petroleum Products NEC | Fertilizers | Other Chemicals and Related Products | Forest Products, Lumber, Logs,","Braithwaite, LA",Plaquemines,LA,0
MRTIS_0016,Violet Dock (idle),Violet Dock 2,General Cargo,29.8908424058098,-89.9004335633069,83.0,83.5,VIOLET DOCK PORT INC BERTHING FACILITY,"Port of New Orleans, LA","Mississippi River, New Orleans, LA to Mouth of Passes","Current Owner and Operator: Violet Dock Port, Inc. Phone: 504 682-8528 FAX: 504 682-8633",,"Coal,Lignite & Coal Coke | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Products NEC | Fertilizers | Other Chemicals and Related Products | Forest Products, Lumber, Logs, Woodchips | Paper & Allied Products | Wheat | Oilseeds (Soy",Violet,St. Bernard,LA,12
MRTIS_0017,Violet Dock (idle),Violet Dock 3,General Cargo,29.8908424058098,-89.9004335633069,83.0,83.5,VIOLET DOCK PORT INC BERTHING FACILITY,"Port of New Orleans, LA","Mississippi River, New Orleans, LA to Mouth of Passes","Current Owner and Operator: Violet Dock Port, Inc. Phone: 504 682-8528 FAX: 504 682-8633",,"Coal,Lignite & Coal Coke | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Products NEC | Fertilizers | Other Chemicals and Related Products | Forest Products, Lumber, Logs, Woodchips | Paper & Allied Products | Wheat | Oilseeds (Soy",Violet,St. Bernard,LA,12
MRTIS_0018,Violet Dock (idle),Violet Dock 4,General Cargo,29.8908424058098,-89.9004335633069,83.0,83.5,VIOLET DOCK PORT INC BERTHING FACILITY,"Port of New Orleans, LA","Mississippi River, New Orleans, LA to Mouth of Passes","Current Owner and Operator: Violet Dock Port, Inc. Phone: 504 682-8528 FAX: 504 682-8633",,"Coal,Lignite & Coal Coke | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Products NEC | Fertilizers | Other Chemicals and Related Products | Forest Products, Lumber, Logs, Woodchips | Paper & Allied Products | Wheat | Oilseeds (Soy",Violet,St. Bernard,LA,12
MRTIS_0019,Violet Dock (idle),Violet Dock 5,General Cargo,29.8908424058098,-89.9004335633069,83.0,83.5,VIOLET DOCK PORT INC BERTHING FACILITY,"Port of New Orleans, LA","Mississippi River, New Orleans, LA to Mouth of Passes","Current Owner and Operator: Violet Dock Port, Inc. Phone: 504 682-8528 FAX: 504 682-8633",,"Coal,Lignite & Coal Coke | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Products NEC | Fertilizers | Other Chemicals and Related Products | Forest Products, Lumber, Logs, Woodchips | Paper & Allied Products | Wheat | Oilseeds (Soy",Violet,St. Bernard,LA,12
