cluster_id,name,states,facility_count,center_lat,center_lng,distance_from_lower_miss,accessibility_score,density,dominant_type,type_diversity,main_waterway,facility_types
0,"Chicago, Ottawa","IL, IA, IN",190,41.12130323157895,-89.15523904736841,773.3998315406191,24.535129304200275,11.920520622584478,GRAIN_ELEVATOR,11,"Illinois River, IL","{'GRAIN_ELEVATOR': np.int64(68), 'GENERAL_CARGO': np.int64(63), 'FERTILIZER': np.int64(14), 'CEMENT': np.int64(12), 'STEEL_MILL': np.int64(10)}"
1,"Memphis, Cincinnati","MO, KY, IL",292,37.02762558561644,-88.80726260958903,496.0677232101114,58.744510328338315,5.442747136270396,GENERAL_CARGO,12,Ohio River,"{'GENERAL_CARGO': np.int64(106), 'GRAIN_ELEVATOR': np.int64(76), 'REFINERY': np.int64(30), 'AGGREGATE': np.int64(19), 'FERTILIZER': np.int64(15)}"
2,"Neville Island, Coraopolis",PA,73,40.46775812328767,-80.03723560273973,1002.9467399509087,7.271302061658129,77.85798749140265,GENERAL_CARGO,7,Ohio River,"{'GENERAL_CARGO': np.int64(32), 'COAL_TERMINAL': np.int64(12), 'STEEL_MILL': np.int64(8), 'AGGREGATE': np.int64(7), 'REFINERY': np.int64(6)}"
3,Nashville,TN,11,36.17039836363636,-86.782972,485.4477769589815,2.2612910410992684,1100.0,GENERAL_CARGO,4,"Cumberland River, Mouth to Nashville, TN","{'GENERAL_CARGO': np.int64(3), 'REFINERY': np.int64(3), 'CEMENT': np.int64(3), 'STEEL_MILL': np.int64(2)}"
4,Guntersville,AL,13,34.35160569230769,-86.288299,400.4104846094278,3.2385800815962726,1300.0,GRAIN_ELEVATOR,3,"Tennessee River, TN, AL and KY","{'GRAIN_ELEVATOR': np.int64(7), 'GENERAL_CARGO': np.int64(3), 'STEEL_MILL': np.int64(3)}"
5,"Houma, Port  Fourchon",LA,45,29.586643666666664,-90.9265884888889,64.20232778950832,69.01594088062748,32.33103259656158,GENERAL_CARGO,8,"Gulf Intracoastal Waterway, Mississippi River, LA,...","{'GENERAL_CARGO': np.int64(21), 'REFINERY': np.int64(11), 'AGGREGATE': np.int64(5), 'PIPELINE_TERMINAL': np.int64(2), 'STEEL_MILL': np.int64(2)}"
6,Chattanooga,TN,13,35.072894615384605,-85.32388930769231,481.8631979195544,2.6922739310039145,1300.0,GENERAL_CARGO,5,"Tennessee River, TN, AL and KY","{'GENERAL_CARGO': np.int64(5), 'STEEL_MILL': np.int64(3), 'CEMENT': np.int64(2), 'AGGREGATE': np.int64(2), 'GRAIN_ELEVATOR': np.int64(1)}"
7,"Harlingen, Rio Hondo",TX,6,26.215833,-97.59293183333334,579.5117166185772,1.0335708700160955,600.0,GENERAL_CARGO,3,"Tributary Arroyo Colorado, TX","{'GENERAL_CARGO': np.int64(4), 'REFINERY': np.int64(1), 'CHEMICAL': np.int64(1)}"
8,"Catoosa, Muskogee",OK,12,36.05677358333333,-95.56516875000001,566.8490190016952,2.113237779488737,27.295756367008643,GENERAL_CARGO,4,"Verdigris River, AR","{'GENERAL_CARGO': np.int64(5), 'FERTILIZER': np.int64(3), 'GRAIN_ELEVATOR': np.int64(3), 'STEEL_MILL': np.int64(1)}"
9,"Cleveland, Detroit","OH, MI",72,41.952363375000004,-82.59148304166666,975.7706242529523,7.371229049303832,16.03039893916618,GENERAL_CARGO,8,"Lake Erie, Including Upper Niagara River","{'GENERAL_CARGO': np.int64(21), 'CEMENT': np.int64(12), 'STEEL_MILL': np.int64(11), 'REFINERY': np.int64(10), 'PIPELINE_TERMINAL': np.int64(6)}"
10,"Duluth, Superior","MN, WI",26,46.74694657692308,-92.09839523076923,1167.409451322776,2.2252473198128415,2600.0,GRAIN_ELEVATOR,5,Duluth MN,"{'GRAIN_ELEVATOR': np.int64(10), 'GENERAL_CARGO': np.int64(10), 'CEMENT': np.int64(3), 'COAL_TERMINAL': np.int64(2), 'STEEL_MILL': np.int64(1)}"
11,"St. Paul, Red Wing",MN,19,44.89380542105263,-93.01677031578949,1050.978445723672,1.8061206555358282,57.7196983408294,GENERAL_CARGO,5,"Mississippi River, Minneapolis, MN to Mouth of Mis...","{'GENERAL_CARGO': np.int64(12), 'GRAIN_ELEVATOR': np.int64(2), 'AGGREGATE': np.int64(2), 'CEMENT': np.int64(2), 'PIPELINE_TERMINAL': np.int64(1)}"
12,Winona,MN,6,44.05298616666666,-91.63264033333333,979.0612845657483,0.6122066134525983,600.0,GENERAL_CARGO,3,"Mississippi River, Minneapolis, MN to Mouth of Mis...","{'GENERAL_CARGO': np.int64(3), 'GRAIN_ELEVATOR': np.int64(2), 'STEEL_MILL': np.int64(1)}"
13,"Green Bay, Manitowoc",WI,6,44.451244333333335,-87.95726366666668,1011.1496040651507,0.5927977421422563,38.72899177519156,COAL_TERMINAL,3,"Green Bay, WI","{'COAL_TERMINAL': np.int64(3), 'CEMENT': np.int64(2), 'GENERAL_CARGO': np.int64(1)}"
14,"Alpena, Presque Isle",MI,6,45.318901000000004,-83.72129916666667,1147.3708735027697,0.5224792911804489,9.603430558253576,GENERAL_CARGO,3,Lake Huron,"{'GENERAL_CARGO': np.int64(3), 'CEMENT': np.int64(2), 'STEEL_MILL': np.int64(1)}"
15,"Escanaba, Munising",MI,5,45.907095399999996,-86.9653098,1121.686196512191,0.4453604235567625,18.21180709383383,COAL_TERMINAL,2,Lake Michigan,"{'COAL_TERMINAL': np.int64(4), 'GENERAL_CARGO': np.int64(1)}"
