name,facility_type,lat,lng,region,waterway,city,state,source,dock_type,commodities
"Hall Towing, Barge Terminal, Lower Wharf.",GENERAL_CARGO,40.621389,-91.333056,Inland_Ports,"Mississippi River, Minneapolis, MN to Mouth of Missouri River",Fort Madison,IA,BTS_DOCK,Dock,nan
Delta Terminal Dock,GENERAL_CARGO,33.370256,-91.098177,Inland_Ports,"Mississippi River, Mouth of Ohio River to Baton Rouge, LA",Greenville,MS,BTS_DOCK,Dock,"Petroleum and Petroleum Products | Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Fertilizers | Other Chemicals and Related Products | Barley, Rye, Oats, Rice and Sorghum Grains | Oilseeds (Soybean, Flaxseed and"
Farmers Grain Terminal Greenville Wharf,GRAIN_ELEVATOR,33.373454,-91.094898,Inland_Ports,"Mississippi River, Mouth of Ohio River to Baton Rouge, LA",Greenville,MS,BTS_DOCK,Dock,"Fertilizers | Iron Ore and Iron & Steel Waste & Scrap | Sulphur (Dry), Clay & Salt | Other Non-Metal. Min. | Food and Farm Products | Wheat | Corn | Barley, Rye, Oats, Rice and Sorghum Grains | Oilseeds (Soybean, Flaxseed and Others) | Vegetable Products "
"Farmers Grain Terminal, Lake Village Dock",GRAIN_ELEVATOR,33.288528,-91.159808,Inland_Ports,"Mississippi River, Mouth of Ohio River to Baton Rouge, LA",Lake Village,AR,BTS_DOCK,Dock,"Food and Farm Products | Wheat | Corn | Barley, Rye, Oats, Rice and Sorghum Grains | Oilseeds (Soybean, Flaxseed and Others)"
"Viserion Grain, Lake Providence Elevator Dock",GRAIN_ELEVATOR,32.755639,-91.170992,Inland_Ports,"Mississippi River, Mouth of Ohio River to Baton Rouge, LA",Lake Providence,LA,BTS_DOCK,Dock,"Fertilizers | Food and Farm Products | Wheat | Corn | Barley, Rye, Oats, Rice and Sorghum Grains | Oilseeds (Soybean, Flaxseed and Others) | Vegetable Products | Animal Feed, Grain Mill Products, Flour, Processed Grains"
"Raley Transport, Goodrich Landing, Grain Elevator, Dock",GRAIN_ELEVATOR,32.638056,-91.163889,Inland_Ports,"Mississippi River, Mouth of Ohio River to Baton Rouge, LA",Transylvania,LA,BTS_DOCK,Dock,"Fertilizers | Food and Farm Products | Corn | Barley, Rye, Oats, Rice and Sorghum Grains | Oilseeds (Soybean, Flaxseed and Others)"
"Bunge North America, Tallulah Grain Elevator Dock",GRAIN_ELEVATOR,32.496707,-91.121145,Inland_Ports,"Mississippi River, Mouth of Ohio River to Baton Rouge, LA",Tallulah,LA,BTS_DOCK,Dock,"Fertilizers | Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Material | Iron Ore and Iron & Steel Waste & Scrap | Building Cement & Concrete; Lime; Glass | Primary Iron and Steel Products (Ingots,Bars,Rods,etc.) | Food and Farm Products | Wheat | Cor"
"Miller Materials, Wharf",STEEL_MILL,32.333333,-90.896111,Inland_Ports,"Mississippi River, Mouth of Ohio River to Baton Rouge, LA",Vicksburg,MS,BTS_DOCK,Dock,"Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Material | Animal Feed, Grain Mill Products, Flour, Processed Grains"
"Farmers Grain Terminal, Tallulah Elevator Wharf",GRAIN_ELEVATOR,32.347778,-90.98,Inland_Ports,"Mississippi River, Mouth of Ohio River to Baton Rouge, LA",Tallulah,LA,BTS_DOCK,Dock,"Fertilizers | Food and Farm Products | Wheat | Corn | Barley, Rye, Oats, Rice and Sorghum Grains | Oilseeds (Soybean, Flaxseed and Others) | Animal Feed, Grain Mill Products, Flour, Processed Grains"
"Cargill, Chicago Grain Wharf.",GRAIN_ELEVATOR,41.675556,-87.555,Inland_Ports,"Calumet Harbor and River, IL and IN",Chicago,IL,BTS_DOCK,Dock,Food and Farm Products
"Cargill, Chicago Salt Wharf.",GRAIN_ELEVATOR,41.673611,-87.555556,Inland_Ports,"Calumet Harbor and River, IL and IN",Chicago,IL,BTS_DOCK,Dock,"Fertilizers | Sulphur (Dry), Clay & Salt"
"First Energy, Penn Power Co., Bruce Mansfield Plant, Shippingport Coal Dock.",COAL_TERMINAL,40.640624,-80.412633,Inland_Ports,Ohio River,Shippingport,PA,BTS_DOCK,Dock,"Coal,Lignite & Coal Coke"
"Mulzer Crushed Stone, Rockport Repair Plant Upper Wharf.",AGGREGATE,37.888111,-87.046424,Inland_Ports,Ohio River,Rockport,IN,BTS_DOCK,Dock,nan
"Consolidated Grain and Barge Co., Naples Elevator Grain Dock.",GRAIN_ELEVATOR,39.748056,-90.615278,Inland_Ports,"Illinois River, IL",Naples,IL,BTS_DOCK,Dock,"Coal,Lignite & Coal Coke | Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Material | Primary Iron and Steel Products (Ingots,Bars,Rods,etc.) | Food and Farm Products | Unknown or Not Elsewhere Classified"
"Itapco-Paducah Terminal, Riverway Upper Wharf.",GENERAL_CARGO,37.072222,-88.585278,Inland_Ports,"Tennessee River, TN, AL and KY",Paducah,KY,BTS_DOCK,Dock,Petroleum and Petroleum Products
"Matt Canestrale Contracting, LaBelle Coal Dock.",COAL_TERMINAL,40.010278,-79.989167,Inland_Ports,"Monongahela River, PA and WV",LaBelle,PA,BTS_DOCK,Dock,"Coal,Lignite & Coal Coke"
"Cherokee Marine Terminal, Bulk Dock.",GENERAL_CARGO,36.176944,-86.78,Inland_Ports,"Cumberland River, Mouth to Nashville, TN",Nashville,TN,BTS_DOCK,Dock,"Coal,Lignite & Coal Coke | Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Material | Sulphur (Dry), Clay & Salt | Unknown or Not Elsewhere Classified"
"FirstEnergy, Penn Power Co., Bruce Mansfield Plant, Shippingport Lime Dock.",GENERAL_CARGO,40.634444,-80.421389,Inland_Ports,Ohio River,Shippingport,PA,BTS_DOCK,Dock,"Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Building Cement & Concrete; Lime; Glass"
"Pemiscot County Port Authority, Fertilizer Dock.",FERTILIZER,36.231475,-89.701734,Inland_Ports,"Mississippi River, Mouth of Ohio River to Baton Rouge, LA",Caruthersville,MO,BTS_DOCK,Dock,Fertilizers
"Pemiscot County Port Authority, General Cargo Terminal Wharf.",GENERAL_CARGO,36.229476,-89.69952,Inland_Ports,"Mississippi River, Mouth of Ohio River to Baton Rouge, LA",Caruthersville,MO,BTS_DOCK,Dock,Unknown or Not Elsewhere Classified
"S.H. Bell Co., Chicago Terminal, Barge Wharves.",GENERAL_CARGO,41.709444,-87.5425,Inland_Ports,"Calumet Harbor and River, IL and IN",Chicago,IL,BTS_DOCK,Dock,"Fertilizers | Iron Ore and Iron & Steel Waste & Scrap | Primary Iron and Steel Products (Ingots,Bars,Rods,etc.) | Unknown or Not Elsewhere Classified"
"S.H. Bell Co., Chicago Terminal, South Slip.",GENERAL_CARGO,41.710278,-87.540278,Inland_Ports,"Calumet Harbor and River, IL and IN",Chicago,IL,BTS_DOCK,Dock,"Primary Iron and Steel Products (Ingots,Bars,Rods,etc.) | Unknown or Not Elsewhere Classified"
"S.H. Bell Co., Chicago Terminal, Middle Slip.",GENERAL_CARGO,41.710833,-87.54,Inland_Ports,"Calumet Harbor and River, IL and IN",Chicago,IL,BTS_DOCK,Dock,nan
"S.H. Bell Co., Chicago Terminal, North Slip.",GENERAL_CARGO,41.711944,-87.54,Inland_Ports,"Calumet Harbor and River, IL and IN",Chicago,IL,BTS_DOCK,Dock,"Primary Iron and Steel Products (Ingots,Bars,Rods,etc.) | Unknown or Not Elsewhere Classified"
"Consolidated Grain and Barge Co., Dorena Elevator Dock",GRAIN_ELEVATOR,36.591111,-89.210833,Inland_Ports,"Mississippi River, Mouth of Ohio River to Baton Rouge, LA",Dorena,MO,BTS_DOCK,Dock,"Fertilizers | Food and Farm Products | Wheat | Corn | Barley, Rye, Oats, Rice and Sorghum Grains | Oilseeds (Soybean, Flaxseed and Others)"
"Consolidated Grain and Barge Co., Birds Point Terminal Dock",GRAIN_ELEVATOR,36.970028,-89.164444,Inland_Ports,"Mississippi River, Mouth of Missouri River to Mouth of Ohio River",Bertrand,MO,BTS_DOCK,Dock,"Food and Farm Products | Wheat | Corn | Barley, Rye, Oats, Rice and Sorghum Grains | Oilseeds (Soybean, Flaxseed and Others) | Animal Feed, Grain Mill Products, Flour, Processed Grains"
"Cargill Aghorizons, Buffalo Island Elevator Dock",GRAIN_ELEVATOR,37.028983,-89.36335,Inland_Ports,"Mississippi River, Mouth of Missouri River to Mouth of Ohio River",Charleston,MO,BTS_DOCK,Dock,"Food and Farm Products | Wheat | Corn | Barley, Rye, Oats, Rice and Sorghum Grains | Oilseeds (Soybean, Flaxseed and Others)"
"Lone Star Industries, Cape Girardeau Plant Dock",GENERAL_CARGO,37.267716,-89.528033,Inland_Ports,"Mississippi River, Mouth of Missouri River to Mouth of Ohio River",Cape Girardeau,MO,BTS_DOCK,Dock,"Coal,Lignite & Coal Coke | Petroleum Pitches, Coke, Asphalt, Naptha and Solvents | Fertilizers | Forest Products, Lumber, Logs, Woodchips | Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Material | Iron Ore and Iron & Steel Waste & Scrap | Slag | Bui"
"Amoco Corp., Cape Girardeau River Terminal Wharf",GENERAL_CARGO,37.271111,-89.527778,Inland_Ports,"Mississippi River, Mouth of Missouri River to Mouth of Ohio River",Cape Girardeau,MO,BTS_DOCK,Dock,"Corn | Oilseeds (Soybean, Flaxseed and Others)"
"Kidd's Oil Co., Cape Girardeau Dock",GENERAL_CARGO,37.307467,-89.517067,Inland_Ports,"Mississippi River, Mouth of Missouri River to Mouth of Ohio River",Cape Girardeau,MO,BTS_DOCK,Dock,nan
"Conagra Foods, Chester Grain Elevator Wharf",GRAIN_ELEVATOR,37.893833,-89.817867,Inland_Ports,"Mississippi River, Mouth of Missouri River to Mouth of Ohio River",Chester,IL,BTS_DOCK,Dock,"Coal,Lignite & Coal Coke | Food and Farm Products | Wheat | Corn | Animal Feed, Grain Mill Products, Flour, Processed Grains"
"Mississippi Lime Co., Lime Terminal Dock",GENERAL_CARGO,38.006111,-90.062117,Inland_Ports,"Mississippi River, Mouth of Missouri River to Mouth of Ohio River",Ste. Genevieve,MO,BTS_DOCK,Dock,"Coal,Lignite & Coal Coke | Fertilizers | Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Material | Non-Ferrous Ores and Scrap | Building Cement & Concrete; Lime; Glass | Primary Iron and Steel Products (Ingots,Bars,Rods,etc.) | Wheat | Corn | Oilseed"
"Gateway Fs, Kempers Landing Terminal Dock",GENERAL_CARGO,38.16144,-90.27538,Inland_Ports,"Mississippi River, Mouth of Missouri River to Mouth of Ohio River",Fults,IL,BTS_DOCK,Dock,"Food and Farm Products | Wheat | Corn | Oilseeds (Soybean, Flaxseed and Others)"
"Bunge North America, Vicksburg Harbor Wharf",GRAIN_ELEVATOR,32.3875,-90.895,Inland_Ports,"Yazoo River, MS Mouth of",Vicksburg,MS,BTS_DOCK,Dock,"Food and Farm Products | Wheat | Corn | Oilseeds (Soybean, Flaxseed and Others) | Animal Feed, Grain Mill Products, Flour, Processed Grains"
"Holcim, Vicksburg Terminal Dock",CEMENT,32.385,-90.880833,Inland_Ports,"Yazoo River, MS Mouth of",Vicksburg,MS,BTS_DOCK,Dock,Fertilizers | Slag | Building Cement & Concrete; Lime; Glass
"Citgo Petroleum Corp., Vicksburg Dock",REFINERY,32.388056,-90.890278,Inland_Ports,"Yazoo River, MS Mouth of",Vicksburg,MS,BTS_DOCK,Dock,"Petroleum and Petroleum Products | Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Material"
"American Commercial Terminals, Port of Guntersville, Dump Ramp Dock.",GENERAL_CARGO,34.359722,-86.289167,Inland_Ports,"Tennessee River, TN, AL and KY",Guntersville,AL,BTS_DOCK,Dock,"Coal,Lignite & Coal Coke | Unknown or Not Elsewhere Classified"
"Union Railroad Co., Duquesne Lower Coal Dock.",COAL_TERMINAL,40.384722,-79.851389,Inland_Ports,"Monongahela River, PA and WV",Duquesne,PA,BTS_DOCK,Dock,"Coal,Lignite & Coal Coke"
"Union Railroad Co., Duquesne Upper Coal Dock.",COAL_TERMINAL,40.380556,-79.845278,Inland_Ports,"Monongahela River, PA and WV",Duquesne,PA,BTS_DOCK,Dock,"Coal,Lignite & Coal Coke"
"Petroleum Products Corp., Coraopolis Terminal Lower Dock.",REFINERY,40.526506,-80.174379,Inland_Ports,Ohio River,Coraopolis,PA,BTS_DOCK,Dock,Petroleum and Petroleum Products
"Hanson Aggregates, Aggregate Landing Coraopolis Dock.",AGGREGATE,40.523333,-80.166111,Inland_Ports,Ohio River,Coraopolis,PA,BTS_DOCK,Dock,"Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Material"
McKees Rocks Industrial Enterprises Dock.,PIPELINE_TERMINAL,40.483611,-80.058889,Inland_Ports,Ohio River,McKees Rocks,PA,BTS_DOCK,Dock,"Crude Materials, Inedible Except Fuels | Iron Ore and Iron & Steel Waste & Scrap | Non-Ferrous Ores and Scrap"
"St. Charles Sand Co., Plant No. 1, Dock.",GENERAL_CARGO,38.786113,-90.47231,Inland_Ports,"Missouri River, Kansas City to the Mouth",Bridgeton,MO,BTS_DOCK,Dock,"Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Material"
"St. Charles Sand Co., Plant No. 2, Wharf.",GENERAL_CARGO,38.685833,-90.661389,Inland_Ports,"Missouri River, Kansas City to the Mouth",Weldon Spring,MO,BTS_DOCK,Dock,"Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Material"
"Helm Fertilizer Terminal, Memphis Liquid-Bulk Dock.",FERTILIZER,35.098607,-90.09851,Inland_Ports,"Memphis Harbor, TN",Memphis,TN,BTS_DOCK,Dock,Fertilizers | Other Chemicals and Related Products
"LTV Steel Corp., Chicago Mooring.",STEEL_MILL,41.6825,-87.551389,Inland_Ports,"Calumet Harbor and River, IL and IN",Chicago,IL,BTS_DOCK,Dock,nan
"General Mills, Rialto Grain Elevator Wharf.",STEEL_MILL,41.705833,-87.550833,Inland_Ports,"Calumet Harbor and River, IL and IN",Chicago,IL,BTS_DOCK,Dock,Food and Farm Products
"General Mills, Chicago Cereal Plant Wharf.",STEEL_MILL,41.705556,-87.551111,Inland_Ports,"Calumet Harbor and River, IL and IN",Chicago,IL,BTS_DOCK,Dock,nan
